Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
A fast and elitist multiobjective genetic algorithm: NSGA-II,"K. Deb, A. Pratap, S. Agarwal, T. Meyarivan, ",2002,10932,Concurrent optimisation method for three-dimensional power delivery network design,Approach for designing and modelling of nanoscale DG MOSFET devices using Kriging metamodelling technique,Fingerprint localisation algorithm for noisy wireless sensor network based on multi-objective evolutionary model,Modelling of squirrel cage induction motors for a bio-inspired multi-objective optimal design,Design of a controller for rail eddy current brake system,Design methodology of an interleaved buck converter for onboard automotive application multi-objective optimisation under multi-physic constraints,Optimal sizing of an electrical machine using a magnetic circuit model: application to a hybrid electrical vehicle,Application of non-dominated sorting gravitational search algorithm with disruption operator for stochastic multiobjective short term hydrothermal scheduling,Design of joint active and reactive power reserve market: a multi-objective approach using NSGA II,Special protection scheme against voltage collapse,Optimal DG allocation and sizing in presence of storage systems considering network configuration effects in distribution systems,Multi-objective restoration optimisation of power systems with battery energy storage systems,Risk-averse multi-objective generation dispatch considering transient stability under load model uncertainty,Optimal capacitor placement in distribution networks regarding uncertainty in active power load and distributed generation units production,Design considerations of superconducting fault current limiters for power system stability enhancement,Solution of reactive power optimisation including interval uncertainty using genetic algorithm,Multi-objective optimisation of step voltage regulator operation and optimal placement for distribution systems design using linkage combination update-non-dominated sorting genetic algorithm-II,Emission-economic dispatch of thermal power generation units in the presence of hybrid electric vehicles and correlated wind power plants,Improved normalised normal constraint method to solve multi-objective optimal power flow problem,Multi-objective hybrid estimation of distribution algorithm-interior point method-based meter placement for active distribution state estimation,Noise-refined image enhancement using multi-objective optimisation,Image segmentation framework based on multiple feature spaces,Robust multi-feature visual tracking via multi-task kernel-based sparse learning,Parameter optimisation of path-following fuzzy controller for a six-wheel lunar rover,Optimised design of a transformer and an electronic circuit for IGBT drivers signal impulse transmission function based on a virtual prototyping tool,Optimisation and characterisation of a planar transformer with a high voltage ratio and high output voltage for plasma reactors,Design methodology for optimising a high insulation voltage insulated gate bipolar transistor gate driver signal transmission function,Robust design optimisation for inductive power transfer systems from topology collection based on an evolutionary multi-objective algorithm,Probabilistic method for the operation of three-phase unbalanced active distribution networks,Segmented packed beds for improved thermal energy storage performance
A theory for multiresolution signal decomposition: the wavelet representation,"S. G. Mallat, ",1989,10221,Diffusion LMP algorithm with adaptive variable power,Code generator for implementing dual tree complex wavelet transform on reconfigurable architectures for mobile applications,High-frequency-based features for low and high retina haemorrhage classification,Motion artefact removals for wearable ECG using stationary wavelet transform,Fault detection classification and location for transmission lines and distribution systems: a review on the methods,Singular value decomposition and wavelet-based iris biometric watermarking,Robust transcale decentralised estimation fusion for multisensor systems based on wavelet packet decomposition,Addressing the illumination challenge in two-dimensional face recognition: a survey,Fusion of structural and textural features for melanoma recognition,Condition monitoring of 11 kV overhead power distribution line insulators using combined wavelet and LBP-HF features,Reduced memory low complexity embedded image compression algorithm using hierarchical listless discrete tchebichef transform,Medical image denoising by generalised Gaussian mixture modelling with edge information,Bayesian denoising of ultrasound images using heavy-tailed Levy distribution,Image segmentation framework based on multiple feature spaces,Content-based image retrieval using fuzzy class membership and rules based on classifier confidence,Sparse representation based on vector extension of reduced quaternion matrix for multiscale image denoising,Scheme for unsupervised colour–texture image segmentation using neutrosophic set and non-subsampled contourlet transform,Texture classification by multifractal spectrum and barycentric coordinates of bit planes of wavelet coefficients,Fast Coiflet magnetic field integral equation for scattering from open rough surfaces,Development of backscatter sounding single-site location system,Short-term forecasting of ionospheric total electron content over a low-latitude global navigation satellite system station,Real-time fault analysis of transmission lines using wavelet multi-resolution analysis based frequency-domain approach,Proposal of a novel fitness function for evaluation of wavelet shrinkage parameters on partial discharge denoising,Robust zero-point attraction least mean square algorithm on near sparse system identification,Comparative study of automatic speech recognition techniques,Robust transcale state estimation for multiresolution discrete-time systems based on wavelet transform,Improved sub-band adaptive thresholding function for denoising of satellite image based on evolutionary algorithms,Search of a robust defect signature in gear systems across adaptive Morlet wavelet of vibration signals,Transforming the SMV model into MMV model based on the characteristics of wavelet coefficients,Computing the proximity operator of the ℓ<sub>p</sub> norm with 0 &lt; p &lt; 1
Image quality assessment: from error visibility to structural similarity,"Zhou Wang, A. C. Bovik, H. R. Sheikh, E. P. Simoncelli, ",2004,8442,SUSAN controlled decay parameter adaption for non-local means image denoising,Fast and efficient blind image quality index in spatial domain,Combination of geometric clustering and nonlocal means for SAR image despeckling,Full-reference image quality assessment using statistical local correlation,Content-based image quality assessment using semantic information and luminance differences,On ambiguity of objective image quality assessment,Recursive anisotropic diffusion denoising,Removing ring artefacts in CT images via unidirectional relative variation model,JPEG quantisation requires bit-shifts only,Blind curvelet watermarking method for high-quality images,Real-time 3D ultrasound denoising based on adaptive regularisation Savitzky–Golay filter,Colour-reproduction algorithm for transmitting variable video frames and its application to capsule endoscopy,Effects of image compression on ear biometrics,Multi-frame super-resolution for long range captured iris polar image,Real-time depth enhancement by fusion for RGB-D cameras,Motion objects segmentation based on structural similarity background modelling,Strategy for aesthetic photography recommendation via collaborative composition model,Image dehazing using two-dimensional canonical correlation analysis,Improved anisotropic diffusion equation based on new non-local information scheme for image denoising,l<sub>2</sub>-norm-based prior for haze-removal from single image,Single image dehazing with bright object handling,High-order Markov random field for single depth image super-resolution,Noise-refined image enhancement using multi-objective optimisation,Optimised image retargeting using aesthetic-based cropping and scaling,Guided image filtering using signal subspace projection,Edge detection for illumination varying images using wavelet similarity,Is there a relationship between peak-signal-to-noise ratio and structural similarity index measure?,Layered-based exposure fusion algorithm,Non-parametric modified histogram equalisation for contrast enhancement,Fusion framework for multi-focus images based on compressed sensing
"Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images","Stuart Geman, Donald Geman, ",1984,7900,Automatic object segmentation of unstructured scenes using colour and depth maps,Bhattacharyya distance-based irregular pyramid method for image segmentation,Vertebral body segmentation using a probabilistic and universal shape model,A comparison of deep multilayer networks and Markov random field matching models for face recognition in the wild,Integrating wavelet transformation with Markov random field analysis for the depth estimation of light-field images,Image segmentation by a new weighted student's t-mixture model,Image segmentation by dirichlet process mixture model with generalised mean,Texture and edge preserving multiframe super-resolution,Synthetic aperture radar image segmentation using fuzzy label field-based triplet Markov fields model,Robust moving object detection using compressed sensing,Insights into prior learning for despeckling SAR images,A neural network architecture for preattentive vision,Entropy reduction and decorrelation in visual coding by oriented neural receptive fields,Multiple current dipole estimation using simulated annealing,A Bayesian approach to introducing anatomo-functional priors in the EEG/MEG inverse problem,Global optimization in the localization of neuromagnetic sources,Combined MEG and EEG source imaging by minimization of mutual information,Three-dimensional blind deconvolution of SPECT images,Bayesian analysis of blood glucose time series from diabetes home monitoring,A multiresolution framework to MEG/EEG source imaging,Bayesian approach to segmentation of statistical parametric maps,A sensor array processing approach to object region detection,Digital systems for artificial neural networks,On the RLSA antenna optimum design for DBS reception,Cooperative vision integration through data-parallel neural computations,Programmable BIST space compactors,A theoretical analysis of Monte Carlo algorithms for the simulation of Gibbs random field images,Recursive structure of noncausal Gauss-Markov random fields,A generalized wavelet transform for Fourier analysis: the multiresolution Fourier transform and its application to image and audio signal analysis,Vector quantization by deterministic annealing
A method for registration of 3-D shapes,"P. J. Besl, Neil D. McKay, ",1992,6192,Efficient scaling registration algorithm for partially overlapping point sets,Place recognition for visual loop-closures using similarities of object graphs,Efficient scan matching method using direction distribution,Adaptive 3D object registration based on point cloud distribution for mobile robot,Point match refinement through rigidity constraint and vote,View planning method for complete 3D digitisation of the scene,Effective scaling registration approach by imposing emphasis on scale factor,Towards X-ray free endovascular interventions – using HoloLens for on-line holographic visualisation,3D ear recognition using global and local features,Vertical edge-based mapping using range-augmented omnidirectional vision sensor,Soft shape registration under lie group frame,Contour matching using the affine-invariant support point set,Adaptive face modelling for reconstructing 3D face shapes from single 2D images,Nose tip detection on three-dimensional faces using pose-invariant differential surface features,Improvement of affine iterative closest point algorithm for partial registration,Rigid blocks matching method based on contour curves and feature regions,Effective outlier matches pruning algorithm for rigid pairwise point cloud registration using distance disparity matrix,Robust registration of partially overlapping point sets via genetic algorithm with growth operator,Reference-omitted affine soft correspondence algorithm,System for quantitative three-dimensional echocardiography of the left ventricle based on a magnetic-field position and orientation sensing system,A computer-assisted range image registration system for nuclear waste cleanup,Meshsweeper: dynamic point-to-polygonal mesh distance and applications,High-quality texture reconstruction from multiple scans,Extracting objects from range and radiance images,Sensor modeling probabilistic hypothesis generation and robust localization for object recognition,A mechanism of automatic 3D object modeling,Recovering the position and orientation of free-form objects from image contours using 3D distance maps,A spherical representation for recognition of free-form surfaces,Registering multiview range data to create 3D computer objects,Towards a general multi-view registration technique
Eigenfaces vs. Fisherfaces: recognition using class specific linear projection,"P. N. Belhumeur, J. P. Hespanha, D. J. Kriegman, ",1997,5790,Sparse exponential discriminant analysis,A generalization of weighted sparse decomposition to negative weights,Hierarchical class-specific kernel discriminant analysis for face verification,Illumination invariant feature based on neighboring radiance ratio,Smile stages classification based on kernel Laplacian-lips using selection of non linear function maximum value,Rapid one-shot acquisition of dynamic VR avatars,Demonstration: Rapid one-shot acquisition of dynamic VR avatars,Multi-image morphing: Summarizing visual information from similar ancient coin image regions,Face recognition through mismatch driven representations of the face,Discriminant Locality Preserving Projections: A New Method to Face Representation and Recognition,On Channel Reliability Measure Training for Multi-Camera Face Recognition,Adaptive Fusion of Gait and Face for Human Identification in Video,Mosaicfaces: a discrete representation for face recognition,An analysis of facial shape and texture for recognition: A large scale evaluation on FRGC ver2.0,A sparse representation approach to face matching across plastic surgery,A novel method for post-surgery face recognition using sum of facial parts recognition,Composite Discriminant Factor analysis,Automatic 4D Facial Expression Recognition Using DCT Features,De-correlating CNN Features for Generative Classification,Unsupervised Feature Extraction Inspired by Latent Low-Rank Representation,A Multi-modal 2D + 3D Face Recognition Method with a Novel Local Feature Descriptor,Discriminative FaceTopics for face recognition via latent Dirichlet allocation,Person re-identification using multiple first-person-views on wearable devices,Describing Unseen Classes by Exemplars: Zero-Shot Learning Using Grouped Simile Ensemble,Robust feature extracted by the generalized optimal discriminant vectors for face recognition,Human facial recognition based on multiple feature domains,Face Recognition Based on Image Enhancement and Gabor Features,Face Recognition using Laplacian+OPRA-faces,Face recognition based on improved PCA reconstruction,Face recognition using improved local texture patterns
Multiple emitter location and signal parameter estimation,"R. Schmidt, ",1986,5277,Adaptation mode controller using multiple signal classification for GSC-based beamforming,Accurate calibration of mutual coupling for conformal antenna arrays,Fluorescence lifetime extraction algorithm based on multiple signal classification,High-resolution time of arrival estimation for OFDM-based transceivers,Subspace-based DOA estimation with sliding signal-vector construction for ULA,Fluorescence lifetime estimation method for incomplete decay,Partial spectral search-based DOA estimation method for co-prime linear arrays,Non-negative matrix factorisation-based subband decomposition for acoustic source localisation,High-resolution DOA estimation for cooperation networks using space-time hopping,Super-resolution orbital angular momentum based radar targets detection,Single source bins detection-based localisation scheme for multiple speech sources,Improved DOA estimation algorithm for co-prime linear arrays using root-MUSIC algorithm,Spatial rotation technique with application to unmanned underwater vehicle (UUV) sonar arrays,Joint spectrum sensing for detection of primary users using cognitive relays with evolutionary computing,Non-stationary additive noise modelling in direction-of-arrival estimation,Positioning via direct localisation in C-RAN systems,Acoustic signal based detection and localisation of faults in motorcycles,Real-valued sparse representation for single snapshot direction-of-arrival estimation in shipborne high-frequency surface wave radar,Comparison of the acoustic performance and positioning accuracy of three kinds of planar partial discharge ultrasonic array sensors,Off-grid fast relevance vector machine algorithm for direction of arrival estimation,Direction-of-arrival estimation of incoherently distributed sources using Bayesian compressive sensing,Joint angle and delay estimation for underwater acoustic multicarrier CDMA systems using a vector sensor,Multiple targets direction-of-arrival estimation in frequency scanning array antennas,Development of backscatter sounding single-site location system,Iterative subspace alternating projection method for GNSS multipath DOA estimation,Direction of arrival estimation using array of antennas for low-altitude targets in multi-path environment,Joint power distribution and direction of arrival estimation for wideband signals using sparse Bayesian learning,Three-dimensional super resolution ISAR imaging based on 2D unitary ESPRIT scattering centre extraction technique,Low-angle target tracking using frequency-agile refined maximum likelihood algorithm,Radar system with enhanced angular resolution based on a novel frequency scanning reflector antenna
Scale-space and edge detection using anisotropic diffusion,"P. Perona, J. Malik, ",1990,5270,Noise reduction in magnetic resonance images using adaptive non-local means filtering,Improved anisotropic diffusion filtering for sar image despeckling,Improvement of nonlinear diffusion equation using relaxed geometric mean filter for low PSNR images,Recursive anisotropic diffusion denoising,Efficient algorithm for piecewise-smooth model with approximately explicit solutions,Value of graph topology in vascular biometrics,Non-subsampled contourlet transform based image Denoising in ultrasound thyroid images using adaptive binary morphological operations,Noise modelling for denoising and three-dimensional face recognition algorithms performance evaluation,Improved anisotropic diffusion equation based on new non-local information scheme for image denoising,Fast smoothing technique with edge preservation for single image dehazing,Direction sensitive wavelet packet for despeckling of ultrasound images,Non-ideal iris segmentation using anisotropic diffusion,Development and evaluation of perceptually adapted colour gradients,Non-linear fourth-order telegraph-diffusion equation for noise removal,Two anisotropic fourth-order partial differential equations for image inpainting,Image fusion using multiscale edge-preserving decomposition based on weighted least squares filter,Removing Gaussian noise for colour images by quaternion representation and optimisation of weights in non-local means filter,Efficient image sharpening and denoising using adaptive guided image filtering,Edge preservation image enlargement and enhancement method based on the adaptive Perona–Malik non-linear diffusion model,Speckle filtering of ultrasound images using a modified non-linear diffusion model in non-subsampled shearlet domain,Active contours for image segmentation using complex domain-based approach,Localised rank-ordered differences vector filter for suppression of high-density impulse noise in colour images,Diffusion-steered super-resolution method based on the Papoulis–Gerchberg algorithm,Semi-guided bilateral filter,Modified ultrasound despeckling assessment index for the Field II simulated cyst image,Sparse PDE for SAR image speckle suppression,Synthetic aperture radar image segmentation using non-linear diffusion-based hierarchical triplet Markov fields model,Dynamic RGB-to-CMYK conversion using visual contrast optimisation,Fractional-order tensor regularisation for image inpainting,Unsupervised cluster-based method for segmenting biological tumour volume of laryngeal tumours in <sup>18</sup>F-FDG-PET images
A tutorial on particle filters for online nonlinear/non-Gaussian Bayesian tracking,"M. S. Arulampalam, S. Maskell, N. Gordon, T. Clapp, ",2002,5062,Adaptive iterated particle filter,Least-squares particle filter,Particle filter for nonlinear systems with multiple step randomly delayed measurements,Towards multispectral multi-sensor indoor positioning and target identification,Theoretical and experimental analyses on location/channel parameters estimation for implantable medical devices,Reduced-complexity tracking scheme based on adaptive weighting for location estimation,Range-based localisation and tracking in non-line-of sight wireless channels with gaussian scatterer distribution model,Information weighted consensus-based distributed particle filter for large-scale sparse wireless sensor networks,Joint frequency domain equalisation and phase noise estimation for single-carrier modulations in doubly-selective channels,Hybrid global navigation satellite systems differential navigation satellite systems and time of arrival cooperative positioning based on iterative finite difference particle filter,Bayesian blind turbo equaliser with reduced complexity based on channel estimate monitoring,Distributed estimation using online semi-supervised particle filter for mobile sensor networks,Adaptive earth movers distance-based Bayesian multi-target tracking,Dezert–Smarandache theory for multiple targets tracking in natural environment,Object tracking using firefly algorithm,Multiple instance learning tracking method with local sparse representation,Particle filter framework for salient object detection in videos,Face tracking based on differential harmony search,Particle filter with spline resampling and global transition model,Spider monkey optimisation assisted particle filter for robust object tracking,Social-spider optimised particle filtering for tracking of targets with discontinuous measurement data,Derivative-free square-root cubature Kalman filter for non-linear brushless DC motors,Particle filter-based dual estimation for synchronous generators,Multimodal non-rigid registration methods based on local variability measures in computed tomography and magnetic resonance brain images,Integration of colour and uniform interlaced derivative patterns for object tracking,Robust detection system of illegal lane changes based on tracking of feature points,Circular particle fusion filter applied to map matching,Improved bearings-only target tracking with iterated Gaussian mixture measurements,PIAPF for manoeuvring target tracking in the presence of multiplicative noise,Robustness versus accuracy: multipath effects on land mobile satellite navigation
Cognitive radio: making software radios more personal,"J. Mitola, G. Q. Maguire, ",1999,4813,Discontinuous spectrum sensing scheme for energy-constrained cognitive radio networks,Spectrum sensing method based on goodness of fit test using chi-square distribution,Spectrum sensing based on goodness of fit test with unilateral alternative hypothesis,Spectrum sensing method based on likelihood ratio goodness-of-fit test,9-bit time–digital-converter-assisted compressive-sensing analogue–digital-converter with 4 GS/s equivalent speed,Efficient cooperative spectrum sensing for three-hop cognitive wireless relay networks,Spectrum sensing and power efficiency trade-off optimisation in cognitive radio networks over fading channels,Relay selection in cognitive radio networks with interference constraints,Total throughput maximisation in a cognitive radio network,Scheme for opportunistic spectrum access in cognitive radio,Joint design of sensing and transmission in energyefficient cognitive radio systems over fading channels,Cooperative spectrum sensing using opportunistic amplify-and-forward relaying over Nakagami-m fading channels,Optimisation of multi-channel cooperative sensing in cognitive radio networks,New algorithm for joint subchannel and power allocation in multi-cell OFDMA-based cognitive radio networks,Rate enhancement for cognitive radios using the relationship between transmission rate and signal-to-interference ratio statistics,Spectrum sensing in cognitive radio networks with known and unknown noise levels,Cooperative communication between cognitive and primary users,Constellation expansion-based sidelobe suppression for cognitive radio systems,Outage probability analysis of cognitive relay network with four relay selection and end-to-end performance with modified quasi-orthogonal space–time coding,Distributed space-time-frequency block code for cognitive wireless relay networks,Power allocation for orthogonal frequency division multiplexing-based cognitive radio networks with cooperative relays,Link decision algorithm in underlay cognitive radio networks over a Rayleigh fading channel,Centralised cooperative spectrum sensing under correlated shadowing,Cooperative spectrum sharing systems with relay selection in the presence of multiple primary receivers,Sliding window Dixon's tests for malicious users' suppression in a cooperative spectrum sensing system,Optimal power allocation for asymmetric analogue network coding in cognitive radio,Energy efficient cognitive radio network based on multiband sensing and spectrum sharing,Blind multiband spectrum sensing for cognitive radio systems with smart antennas,Joint detection scheme for spectrum sensing over time-variant flat fading channels,Joint resource allocation and power control for cellular and device-to-device multicast based on cognitive radio
