"The use of fast Fourier transform for the estimation of power spectra: A method based on time averaging over short, modified periodograms","P. Welch, ",1967,3147,Fuzzy logic-based risk of fall estimation using smartwatch data as a means to form an assistive feedback mechanism in everyday living activities,Efficient transient noise analysis of non-periodic mixed analogue/digital circuits,Performance evaluation of welch's periodogram-based energy detection for spectrum sensing,Digital signal processing of acoustic emission signals using power spectral density and counts statistic applied to single-point dressing operation,Automatic decomposition of selective needle-detected myoelectric signals,A time-shared ultrasound Doppler measurement and 2-D imaging system,Dynamic analysis of ventricular repolarization duration from 24-hour Holter recordings,On time delay estimation of epileptic EEG,A model of ultrasound backscatter for the assessment of myocardial tissue structure and architecture,Linear systems analysis of cutaneous Type I mechanoreceptors,Spectral analysis of a thalamus-to-cortex seizure pathway,Nonlinear Markov process amplitude EEG model for nonlinear coupling interaction of spontaneous EEG,Asthmatic airways obstruction assessment based on detailed analysis of respiratory sound spectra,Multiple-window spectrogram of peaks due to transients in the electroencephalogram,Measurements of BART magnetic fields with an automatic geomagnetic pulsation index generator,Excess low-frequency noise in PtSi on p-type Si Schottky diodes,The effects of windowing and quantization error on the amplitude of frequency-domain functions,An inference monitor with real-time FFT spectral analysis for a radio observator,A study on nonlinear averagings to perform the characterization of power spectral density estimation algorithms,Power spectral density estimation via overlapping nonlinear averaging,Speech enhancement for mobile telephony,Multidelay block frequency domain adaptive filter,Estimation of the power distribution function,Optimistic and pessimistic approximations to variance of time delay estimators,A separable cross-entropy approach to power spectral estimation,On implementation of the discrete Fourier transform-the STUSE algorithm for spectral estimation,Spectral estimation of irregularly sampled multidimensional processes by generalized prolate spheroidal sequences,Special problems in the estimation of power-law spectra as applied to topographical modeling,,Quality factor and resonant frequency measurement by ARMA process identification of randomly excited MEMS/NEMS cantilever
Secure spread spectrum watermarking for multimedia,"I. J. Cox, J. Kilian, F. T. Leighton, T. Shamoon, ",1997,2680,Fragile and blind watermarking technique based on Weber's law for medical image authentication,Covert communications through mobile voice channels,Image watermark detection in the wavelet domain using Bessel K densities,Robust quantisation index modulation-based approach for image watermarking,Efficient wavelet-based perceptual watermark masking for robust fingerprint image watermarking,Geometric modelling of the wavelet coefficients for image watermarking using optimum detector,Digital image watermarking using partial pivoting lower and upper triangular decomposition into the wavelet domain,Reversible data hiding in JPEG images utilising zero quantised coefficients,Block-based discrete wavelet transform-singular value decomposition image watermarking scheme using human visual system characteristics,Digital video steganalysis toward spread spectrum data hiding,Amplitude-adaptive spread-spectrum data embedding,Tracing traitors,Quantization index modulation: a class of provably good methods for digital watermarking and information embedding,Document identification for copyright protection using centroid detection,Data hiding in images via multiple-based number conversion and lossy compression,A watermarking technique based on one-way hash functions,A programmable DSP solution to a solid state audio player,An adaptive digital image watermarking technique for copyright protection,Fault resilient and compression tolerant digital signature for image authentication,Digital watermarking using zerotree of DCT,Joint wavelet and spatial transformation for digital watermarking,A watermarking sequence using parities of error control coding for image authentication and correction,Multiresolution watermarking for video based on gray-level digital watermark,Attacks on digital watermarks: classification estimation based attacks and benchmarks,Protecting digital image copyrights: a framework,Digital watermarking: from concepts to real-time video applications,Orientation tracking for outdoor augmented reality registration,A New 3D Watermarking Algorithm,Digital watermarks: Shedding light on the invisible,Hiding digital watermarks using multiresolution wavelet transform
"MiBench: A free, commercially representative embedded benchmark suite","M. R. Guthaus, J. S. Ringenberg, D. Ernst, T. M. Austin, T. Mudge, R. B. Brown, ",2001,1243,RetroDMR: Troubleshooting non-deterministic faults with retrospective DMR,Accurate private/shared classification of memory accesses: A run-time analysis system for the LEON3 multi-core processor,Improving the accuracy of the leakage power estimation of embedded CPUs,Reducing code management overhead in software-managed multicores,A static-placement dynamic-issue framework for CGRA loop accelerator,A Mechanism for energy-efficient reuse of decoding and scheduling of x86 instruction streams,Hardware-based on-line intrusion detection via system call routine fingerprinting,Instructionless general purpose coarse-grained reconfigurable processor performance in encryption,Power profile based runtime anomaly detection,Transparent acceleration of data dependent instructions for general purpose processors,Adaptive reduced bit-width Instruction Set Architecture (adapt-rISA),Observability-based coverage-directed path search using PBO for automatic test vector generation,A dynamic reconfiguration approach for accelerating highly defective processors,SoCGuard: A runtime verification solution for the functional correctness of SoCs,High-level timing analysis of concurrent applications on MPSoC platforms using memory-aware trace-driven simulations,Context-aware compiled simulation of out-of-order processor behavior based on atomic traces,Microprocessor reliability-performance tradeoffs assessment at the microarchitecture level,Online soft-error vulnerability estimation for memory arrays,Hybrid instruction set simulation for fast and accurate memory access profiling,PennBench: a benchmark suite for embedded Java,Characterization of embedded applications for decoupled processor architecture,A Novel Color Image Filtering Algorithm-Based on Gray Scale Space Extremum-median Filter,Efficient dynamic information flow tracking on a processor with core debug interface,Fixing the broken time machine: Consistency-aware checkpointing for energy harvesting powered non-volatile processor,Guidelines to design parity protected write-back L1 data cache,Improving worst-case cache performance through selective bypassing and register-indexed cache,Interleaved multi-bank scratchpad memories: A probabilistic description of access conflicts,Memory Heat Map: Anomaly detection in real-time embedded systems using memory behavior,Optimizing data placement for reducing shift operations on Domain Wall Memories,Ambient energy harvesting nonvolatile processors: From circuit to system
Robust text-independent speaker identification using Gaussian mixture speaker models,"D. A. Reynolds, R. C. Rose, ",1995,1232,Application of time-frequency principal component analysis to text-independent speaker identification,The integral decode: a smoothing technique for robust HMM-based speaker recognition,Speech enhancement using a mixture-maximum model,Bounded support Gaussian mixture modeling of speech spectra,Multigrained modeling with pattern specific maximum likelihood transformations for text-independent speaker recognition,Efficient text-independent speaker verification with structural Gaussian mixture models and neural network,A study on model-based error rate estimation for automatic speech recognition,Maximum a-posteriori probability pitch tracking in noisy environments using harmonic model,Singing voice identification using spectral envelope estimation,Speaker classification using composite hypothesis testing and list decoding,Multichannel audio synthesis by subband-based spectral conversion and parameter adaptation,Speaker model selection based on the Bayesian information criterion applied to unsupervised speaker indexing,Real-time speaker identification and verification,Automatic singer recognition of popular music recordings via estimation and modeling of solo vocal signals,Nonparallel training for voice conversion based on a parameter adaptation approach,Text-independent speaker recognition based on the Hurst parameter and the multidimensional fractional Brownian motion model,Spectrum restoration from multiscale auditory phase singularities by generalized projections,Musical instrument recognition by pairwise classification strategies,A Randomized Response Model for Privacy Preserving Smart Metering,Notions of intuition and attention modeled by a hierarchically arranged generalized regression neural network,Robust speaker's location detection in a vehicle environment using GMM models,On Using the Viterbi Path Along With HMM Likelihood Information for Online Signature Verification,GFM-Based Methods for Speaker Identification,On the use of different speech representations for speaker modeling,Gaussian Mixture Modeling of Keystroke Patterns for Biometric Applications,Marginal Likelihood for Estimation and Detection Theory,Jump Function Kolmogorov for Audio Classification in Noise-Mismatch Conditions,Formant features statistical analysis of male and female emotional speech in Czech and Slovak,Energy Detection Based Spectrum Sensing for Cognitive Radios Over Time-Frequency Doubly Selective Fading Channels,Comparison of one and two-level architecture of the GMM-based speaker age classifier
Quantization index modulation: a class of provably good methods for digital watermarking and information embedding,"B. Chen, G. W. Wornell, ",2001,1013,Design and Analysis of a Scalable Watermarking Scheme for the Scalable Audio Coder,Amplitude Scale Estimation for Quantization-Based Watermarking,Broadcast- and MAC-Aware Coding Strategies for Multiple User Information Embedding,Semi-fragile watermarking-based color image authentication with recovery capability,Fractional Krawtchouk Transform With an Application to Image Watermarking,A high payload reversible watermarking scheme based-on OFDM-CDMA,A High Capacity 3D Steganography Algorithm,A Blind Image-Adaptive Data Hiding Method in Wavelet Domain with Robustness against Compression,Data Hiding on 3D Meshes Based on Dither Modulation,Modified spread-transform dither modulation,Robust watermarking based on spread transform,DCT block location based data hiding,Secure semi-fragilewatermarking for image authentication,An extended analysis of discrete fourier tranform - rational dither modulation for non-white hosts,Secure and HVS-adaptive exhibition Spread Transform Dither Modulation watermarking for Digital Cinema,Active content fingerprinting: A marriage of digital watermarking and content fingerprinting,Towards transferable watermarks in buyer-seller watermarking protocols,Iterative filtering for semi-fragile self-recovery,Discrete Fourier Transform based multimedia colour image authentication for wireless communication (DFTMCIAWC),Steg-OFDM blend for highly secure multi-user communication,A Current-Based Security-Constrained Optimal Powe Flow by Multiple Particle Swarm Optimization,Multi-Modal Dictionary Learning for Image Separation With Application in Art Investigation,Features Classification Forest: A Novel Development that is Adaptable to Robust Blind Watermarking Techniques,Nested linear/lattice codes for structured multiterminal binning,The Gaussian watermarking game,Information-theoretic analysis of information hiding,The duality between information embedding and source coding with side information and some applications,A relationship between quantization and watermarking rates in the presence of additive Gaussian attacks,The parallel-Gaussian watermarking game,Capacity and codes for embedding information in gray-scale signals
"A Survey of Affect Recognition Methods: Audio, Visual, and Spontaneous Expressions","Zhihong Zeng, Maja Pantic, Glenn I. Roisman, Thomas S. Huang, ",2009,1004,Facial expression recognition with regional hidden Markov models,Extraction of adaptive wavelet packet filter-bank-based acoustic feature for speech emotion recognition,The Effect of Narrow-Band Transmission on Recognition of Paralinguistic Information From Human Vocalizations,Age Groups Classification in Social Network Using Deep Learning,Facial Expression Detection Techniques: Based on Viola and Jones Algorithm and Principal Component Analysis,OpenEAR — Introducing the munich open-source emotion and affect recognition toolkit,Requirements and software framework for adaptive multimodal affect recognition,Spotting agreement and disagreement: A survey of nonverbal audiovisual cues and tools,Guidelines for affective signal processing (ASP): From lab to life,Perception of emotional expressions in different representations using facial feature points,It's all in the game: Towards an affect sensitive and context aware game companion,Towards Robust Real-Time Valence Recognition from Facial Expressions for Market Research Applications,Using a Probabilistic Topic Model to Link Observers' Perception Tendency to Personality,An Automated Framework for Depression Analysis,Context Based Facial Expression Analysis in the Wild,Measuring Affect for the Study and Enhancement of Co-present Creative Collaboration,Action Unit Models of Facial Expression of Emotion in the Presence of Speech,Estimation of Attentiveness of People Watching TV Based on Their Emotional Behaviors,EEG-Based Emotion-Adaptive Advertising,Active Labeling of Facial Feature Points,Automatically Recognizing Facial Indicators of Frustration: A Learning-centric Analysis,Bayesian Inference Based Temporal Modeling for Naturalistic Affective Expression Classification,Continuous Emotion Recognition: Another Look at the Regression Problem,Facial Expression Recognition Using Deep Boltzmann Machine from Thermal Infrared Images,Facing Imbalanced Data--Recommendations for the Use of Performance Metrics,Laughter Type Recognition from Whole Body Motion,Local Gabor Binary Patterns from Three Orthogonal Planes for Automatic Facial Expression Recognition,Mouse Trajectories and State Anxiety: Feature Selection with Random Forest,Multimodal Engagement Classification for Affective Cinema,Towards incorporating affective feedback into context-aware intelligent environments
Maximum a posteriori estimation for multivariate Gaussian mixture observations of Markov chains,"J. -L. Gauvain, Chin-Hui Lee, ",1994,996,Speaker adaptation using probabilistic linear discriminant analysis for continuous speech recognition,Adaptation of hidden markov model mean parameters using two-dimensional PCA with constraint on speaker weight,,Large-vocabulary continuous speech recognition: advances and applications,On adaptive decision rules and decision parameter adaptation for automatic speech recognition,Voice access of global information for broad-band wireless: technologies of today and challenges of tomorrow,A review of large-vocabulary continuous-speech,Bayesian adaptive learning of the parameters of hidden Markov model for speech recognition,On-line adaptation of the SCHMM parameters based on the segmental quasi-Bayes learning for speech recognition,A maximum-likelihood approach to stochastic matching for robust speech recognition,On-line adaptive learning of the continuous density hidden Markov model based on approximate recursive Bayes estimate,A Markov random field approach to Bayesian speaker adaptation,A frequency warping approach to speaker normalization,An algorithm for maximum likelihood estimation of hidden Markov models with unknown state-tying,Speaker clustering and transformation for speaker adaptation in speech recognition systems,On-line adaptive learning of the correlated continuous density hidden Markov models for speech recognition,Efficient training algorithms for HMMs using incremental estimation,Online adaptation of hidden Markov models using incremental estimation algorithms,Robust speech recognition based on a Bayesian prediction approach,Robust text-independent speaker identification over telephone channels,Nonlinear compensation for stochastic matching,Online hierarchical transformation of hidden Markov models for speech recognition,Maximum likelihood and minimum classification error factor analysis for automatic speech recognition,Cluster adaptive training of hidden Markov models,Robust decision tree state tying for continuous speech recognition,Rapid speaker adaptation in eigenvoice space,A structural Bayes approach to speaker adaptation,Online adaptation of HMMs to real-life conditions: a unified framework,Online adaptive learning of continuous-density hidden Markov models based on multiple-stream prior evolution and posterior pooling,Transformation-based Bayesian predictive classification using online prior evolution
Information hiding-a survey,"F. A. P. Petitcolas, R. J. Anderson, M. G. Kuhn, ",1999,943,One-third probability embedding: a new ±1 histogram compensating image least significant bit steganography scheme,Reversible video data hiding using neighbouring similarity,Quantization index modulation: a class of provably good methods for digital watermarking and information embedding,Digital rights management and watermarking of multimedia content for m-commerce applications,Cloud Protection by Obfuscation: Techniques and Metrics,An Efficient VoIP Steganography Based on Random Binary Matrix,Multimedia watermarking techniques,Image authentication techniques for surveillance applications,Cocktail watermarking for digital image protection,Interword distance changes represented by sine waves for watermarking text images,Digital watermarking: algorithms and applications,Multipurpose watermarking for image authentication and protection,A class of authentication digital watermarks for secure multimedia communication,Denoising and copy attacks resilient watermarking by exploiting prior knowledge at detector,A High-Capacity 3D Steganography Algorithm With Adjustable Distortion,A Review of Text Watermarking: Theory Methods and Applications,Investigating Digital Watermark Dynamics on Carrier File by Feed-Forward Neural Network,Image watermarking with zero-mean patches,A wavelet-based blind and readable image watermarking algorithm,Fragile IP Watermarking Techniques,Region adaptive digital image watermarking system using DWT-SVD algorithm,A comparative study of PVD-based schemes for data hiding in digital images,Bat inspired optimization approach for audio watermarking algorithm,A Steganographic Method Based on SOM and Wavelet Contrast,ART2-based genetic watermarking,Enhanced Least Significant Bit Scheme Robust against Chi-Squared Attack,A blind watermarking algorithm based on DWT for color image,A One-Dimensional Technique for Embedding Data in A JPEG Color Image,Secret Image Sharing Based on Array Codes,A Novel Phase Coding Technique for Steganography in Auditive Media
RASTA processing of speech,"H. Hermansky, N. Morgan, ",1994,805,Analysis and implementation of low-power perceptual multiband noise reduction for the hearing aids application,Discrete-level memristive circuits for HTM-based spatiotemporal data classification system,Optimisation of multiple feature stream weights for distributed speech processing in mobile environments,Robust speech recognition system using bidirectional Kalman filter,Admissible wavelet packet sub-band-based harmonic energy features for Hindi phoneme recognition,Multi-objective optimisation of wavelet features for phoneme recognition,Radon transform of auditory neurograms: a robust feature set for phoneme classification,Development of speechreading supplements based on automatic speech recognition,A recurrent neural fuzzy network for word boundary detection in variable noise-level environments,Time-frequency analysis and auditory modeling for automatic recognition of speech,Automatic recognition and understanding of spoken language - a first step toward natural human-machine communication,Audio-visual speech modeling for continuous speech recognition,A robust word boundary detection algorithm for variable noise-level environment in cars,Continuous speech recognition,Robust speaker recognition: a feature-based approach,Voice dictation of Mandarin Chinese,RASTA processing of speech,SmarTspelL/sup TM/: a multipass recognition system for name retrieval over the telephone,A model of dynamic auditory perception and its application to robust word recognition,Robust text-independent speaker identification over telephone channels,Reducing the effects of linear channel distortion on continuous speech recognition,Perceptual speech processing and phonetic feature mapping for robust vowel recognition,On the temporal decorrelation of feature parameters for noise-robust speech recognition,Noise-compensated hidden Markov models,Word boundary detection with mel-scale frequency bank in noisy environment,Estimation of handset nonlinearity with application to speaker recognition,GA-based noisy speech recognition using two-dimensional cepstrum,New approaches for domain transformation and parameter combination for improved accuracy in parallel model combination (PMC) techniques,Noise robust speech parameterization using multiresolution feature extraction,Filtering on hidden Markov models
Quality-of-service routing for supporting multimedia applications,"Zheng Wang, J. Crowcroft, ",1996,791,The most reliable data-path transmission,Algorithm for minimum end-to-end delay paths,An adaptive bandwidth reservation scheme for high-speed multimedia wireless networks,CEDAR: a core-extraction distributed ad hoc routing algorithm,Service-specific resource allocation in WDM networks with quality constraints,A hierarchical multilayer QoS routing system with dynamic SLA management,Quality-of-service routing in IP networks,QoS routing in networks with uncertain parameters,Routing with end-to-end QoS guarantees in broadband networks,A new distributed route selection approach for channel establishment in real-time networks,A distributed algorithm for delay-constrained unicast routing,Unslotted deflection routing: a practical and efficient protocol for multihop optical networks,Evaluating the impact of stale link state on quality-of-service routing,Optimal partition of QoS requirements on unicast paths and multicast trees,Heuristic algorithms for multiconstrained quality-of-service routing,Connectivity Modeling and Analysis for Internet of Vehicles in Urban Road Scene,ABC Supporting QoS Unicast Routing Scheme with Particle Swarm Optimization,A Web service composition system based on semantic parsing,A Multiobjective Model for Energy Efficient QoS Provisioning Using Genetic Algorithm,Performance evaluation of pre-computation algorithms for inter-domain QoS routing,Criticality-aware service composition for cloud and network brokerage,User QoE-based adaptive routing system for future Internet CDN,About a new localized multi-criterion routing algorithm – a solution to assure quality of network,Routing on Shortest Pair of Disjoint Paths with Bandwidth Guaranteed,A Multicast Routing Algorithm for GEO/LEO Satellite IP Networks,The research of scheduling algorithm for time-triggered ethernet based on path-hop,Reliability-constrained least-cost routing in multihop networks,Uncertain metrics applied to QoS multipath routing,Extending Policy Languages with Utility and Prioritization Knowledge: The CAPRI Approach,A Novel Hybrid QoS Multicast Routing Based on Clonal Selection and Artificial Fish Swarm Algorithm
