Further developments in LP-based optimal power flow,"O. Alsac, J. Bright, M. Prais, B. Stott, ",1990,272,Optimal power flow based on successive linear approximation of power flow equations,Optimal active OPF with FACTS devices by an innovative load-equivalent approach,Real-time implementation of optimal reactive power flow,The implementation of an energy brokerage system using linear programming,Optimal power flow emulation of interchange brokerage systems using linear programming,Features of a hybrid expert system for security enhancement,Network constrained security control using an interior point algorithm,Sensitivity-based reactive power control for voltage profile improvement,Implementation of the import optimizer function for Florida Power and Light,Reactive power optimization using fuzzy load representation,A direct nonlinear predictor-corrector primal-dual interior point algorithm for optimal power flows,Application of fuzzy sets to optimal reactive power planning with security constraints,Active-reactive coupling in optimal reactive dispatch: a solution via Karush-Kuhn-Tucker optimality conditions,Application of decomposition techniques to VAr planning: methodological and computational aspects,A simple two stage optimization algorithm for constrained power economic dispatch,A load flow and fuzzy linear programming based external network modeling approach,Static security in power system operation with fuzzy real load conditions,AI approach to optimal VAr control with fuzzy reactive loads,Effect of EMF on minimum cost power transmission,A hybrid tool to assist the operator in reactive power/voltage control and optimization,Linear programming based optimal power flow using second order sensitivities,Short-term generation scheduling with transmission and environmental constraints using an augmented Lagrangian relaxation,Optimization method for reactive power planning by using a modified simple genetic algorithm,OPF for reactive pricing studies on the NGC system,Fuzzy constraint enforcement and control action curtailment in an optimal power flow,A hybrid decoupled approach to optimal power flow,Application of interior point methods to power flow unsolvability,A methodology for probabilistic simultaneous transfer capability analysis,Critical cases in the optimal power flow,Remote cranking of steam electric stations
New Avenues in Opinion Mining and Sentiment Analysis,"Erik Cambria, Bj&ouml;rn Schuller, Yunqing Xia, Catherine Havasi, ",2013,238,Towards Emotionally Aware AI Smart Classroom: Current Issues and Directions for Engineering and Education,Multimodal multimodel emotion analysis as linked data,Sentiment analysis using image-based deep spectrum features,Developing Turkish sentiment lexicon for sentiment analysis using online news media,Sentiment Lexicon Enrichment Using Emotional Vector Representation,A multiscale theory for the dynamical evolution of sentiment in novels,Regularized Supervised Distance Preserving Projections for Short-Text Classification,Unlock big data emotions: Weighted word embeddings for sentiment classification,Using Topic and Subjectivity Analysis for Overlapped Co-clustering Documents,Stock market prediction using hybrid approach,Sentiment analysis: Approaches and open issues,Identification of informative reviews enhanced by dependency parsing and sentiment analysis,Opinion mining to strengthen teaching learning process,Semantic disambiguation in a social information discovery system,A statistical approach to opinion target extraction using domain relevance,Debate on political reforms in Twitter: A hashtag-driven analysis of political polarization,Using Freeware Resources to Analyse Sentiments in Social Media,Soft sensors for social sensing in cultural heritage,Multidimensional knowledge representation of text analytics results in knowledge bases,Fuzzy approach for sentiment analysis,Cross-Domain Sentiment Analysis of Product Reviews by Combining Lexicon-Based and Learn-Based Techniques,Mining features for web ner model construction based on distant learning,An approach towards comprehensive sentimental data analysis and opinion mining,Learning domain-specific and domain-independent opinion oriented lexicons using multiple domain knowledge,Gathering user reviews for an opinion dictionary,Opinion mining and Sentiment Analysis for contextual online-advertisement,Image sentiment analysis using latent correlations among visual textual and sentiment views,Feature-based sentiment analysis in online Arabic reviews,Collective intelligence &amp; sentimental analysis of twitter data by using StandfordNLP libraries with software as a service (SaaS),Polarity detection of online news articles based on sentence structure and dynamic dictionary
Detection of Duplicate Defect Reports Using Natural Language Processing,"Per Runeson, Magnus Alexandersson, Oskar Nyholm, ",2007,149,Classifying bug severity using dictionary based approach,Automatic Bug Assignment Using Information Extraction Methods,Detecting Duplicate Bug Report Using Character N-Gram-Based Features,Towards more accurate retrieval of duplicate bug reports,Automatic recommendation of API methods from feature requests,Predicting Delays in Software Projects Using Networked Classification (T),APIBot: Question answering bot for API documentation,Duplicate Bug Report Detection Using Clustering,Automated Dataset Construction from Web Resources with Tool Kayur,Mining Bug Repositories--A Quality Assessment,A Bug Rule Based Technique with Feedback for Classifying Bug Reports,Implicit Social Network Model for Predicting and Tracking the Location of Faults,Towards Training Set Reduction for Bug Triage,A Source Code Recommender System to Support Newcomers,An Improved Discriminative Model for Duplication Detection on Bug Reports with Cluster Weighting,Natural Language Processing Based Detection of Duplicate Defect Patterns,Determining Bug severity using machine learning techniques,Automated construction of a software-specific word similarity database,An Initial Study on the Bug Report Duplication Problem,Comparing Mining Algorithms for Predicting the Severity of a Reported Bug,Improved Duplicate Bug Report Identification,A Comparative Study of the Performance of IR Models on Duplicate Bug Detection,Finding Duplicates of Your Yet Unwritten Bug Report,Analyzing Networks of Issue Reports,Performance evaluation of information retrieval models in bug localization on the method level,Automated duplicate detection for bug tracking systems,Crash graphs: An aggregated view of multiple crashes to improve crash triage,Is It Really a Defect? An Empirical Study on Measuring and Improving the Process of Software Defect Reporting,Impact of Triage: A Study of Mozilla and Gnome,Automated Duplicate Bug Report Classification Using Subsequence Matching
Jumping NLP Curves: A Review of Natural Language Processing Research [Review Article],"Erik Cambria, Bebo White, ",2014,125,Chinese Natural Language Processing Based on Semantic Structure Tree,Multilingual cyberbullying detection system: Detecting cyberbullying in Arabic content,Multi-source Multi-modal Activity Recognition in Aerial Video Surveillance,An NLP based text-to-speech synthesizer for Moroccan Arabic,Cyberbullying Detection: A Survey on Multilingual Techniques,Approach to develop ship design evaluation rule-base,rLDCP: R package for text generation from data,Exploring NLP web APIs for building Arabic systems,Convolutional MKL Based Multimodal Emotion Recognition and Sentiment Analysis,Phonetic-Based Microtext Normalization for Twitter Sentiment Analysis,Query based information retrieval and knowledge extraction using Hadith datasets,SentiReview: Sentiment analysis based on text and emoticons,A concept-level approach in analyzing review readership for E-Commerce persuasive recommendation,A Privacy Guard Service,Ensemble application of convolutional and recurrent neural networks for multi-label text categorization,A novel text mining algorithm based on deep neural network,Establishing Verification and Validation Objectives for Safety-Critical Bayesian Networks,Matrix-Based News Aggregation: Exploring Different News Perspectives,Sentiment Data Flow Analysis by Means of Dynamic Linguistic Patterns,Learning User and Product Distributed Representations Using a Sequence Model for Sentiment Analysis,Statistical Learning Theory and ELM for Big Social Data Analysis,Conversation system for natural communication with robot partner,Affective Computing and Sentiment Analysis,Sentiment Analysis Is a Big Suitcase,Identify the Semantic Meaning of Service Rules with Natural Language Processing,Converting Service Rules to Semantic Rules,Salient corporate performance forecasting based on financial and textual information,Bootstrapping Social Emotion Classification with Semantically Rich Hybrid Neural Networks,A Neural Word Embeddings Approach for Multi-Domain Sentiment Analysis,Distantly Supervised Lifelong Learning for Large-Scale Social Media Sentiment Analysis
A solution of optimal power flow with multicontingency transient stability constraints,"Yue Yuan, J. Kubokawa, H. Sasaki, ",2003,116,Robust Power System Security Assessment Under Uncertainties Using Bi-Level Optimization,Robust Transient Stability-Constrained Optimal Power Flow With Uncertain Dynamic Loads,Parallel Transient Stability-Constrained Optimal Power Flow Using GPU as Coprocessor,A nonlinear optimization model for transient stable line switching,Chemical Reaction Optimization for solving transient stability constrained optimal power flow,Optimization of a power system with Interior Point method,Contingency analysis via SDP relaxations of the OPF problem,Evolutionary Programming Incorporating Neural Network for Transient Stability Constrained Optimal Power Flow,Steady-state behavior of a system under market environment near the maximum loading limit,Dynamic load dispatch for power system robust security against uncertainties,New Constriction Particle Swarm Optimization for Security-Constrained Optimal Power Flow Solution,Adaptive Evolutionary Programming with Neural Network for Transient Stability Constrained Optimal Power Flow,A novel deterministic and probabilistic dynamic security assessment approach for isolated microgrids,Monitoring the region of robust power system security against uncertainties,A method for evaluating robust power system security against uncertainties,Security Constrained Power Management System for the NG IPS ships,An efficient transient stability constrained optimal power flow using trajectory sensitivity,Grey wolf optimization algorithm based dynamic security constrained optimal power flow,Optimal Generation Rescheduling for Security Operation of Power Systems Using Optimal Control Theory,Integrating security constraints in optimal power flow studies,The effect of dynamic security constraints on the locational marginal prices,Transient stability constrained optimal power flow,Transient stability preventive control and optimization via power system stability region analysis,Fast and Accurate Method for Dynamic Security-constrained Economic Dispatch via Sensitivity Analysis,Stability Constrained Optimal Power Flow in a Practical Balancing Market,Calculation for optimal power flow with transient stability constraints based on semi-infinite programming algorithm,Step size optimization based interior point algorithm: Applications and treatment of ill-conditioning in optimal power flow solutions,Global transient stability-constrained optimal power flow using the SIME method,Computation of transient stability related security regions and generation rescheduling based on decision trees,Global Transient Stability-Constrained Optimal Power Flow using SIME sensitivity analysis
Sentiment analyzer: extracting sentiments about a given topic using natural language processing techniques,"J. Yi, T. Nasukawa, R. Bunescu, W. Niblack, ",2003,115,Automatic Expandable Large-Scale Sentiment Lexicon of Modern Standard Arabic and Colloquial,Recognizing the sarcastic statement on WhatsApp Group with Indonesian language text,Weighted multi-label classification model for sentiment analysis of online news,Mining the emotional words from Chinese reviews based on part of speech and syntax,Development of Serbian higher education corpus,A Multi-fold Time Approach to Address Emotions in Live and Virtualized Collaborative Learning,A Computational Model for Managing Emotions and Affections in Emotional Learning Platforms and Learning Experience in Emotional Computing Context,Super Parsing:Sentiment Classification with Review Extraction,Opinion Searching in Multi-Product Reviews,A new linguistic approach to sentiment automatic processing,Sentiment Analysis Based Approaches for Understanding User Context in Web Content,Semantic Analysis Supporting De-Radicalisation,Sentiment analysis as a text categorization task: A study on feature and algorithm selection for Italian language,News search using discourse analytics,Text Mining for Opinion Target Detection,Semantic based Chinese sentence sentiment analysis,Integration of heterogeneous data for real world domain,Controversy is Marketing: Mining Sentiments in Social Media,Extracting Product Features from Reviews Using Feature Ontology Tree Applied on LDA Topic Clusters,Aspect based Sentiment Analysis using support vector machine classifier,Natural Language Processing for Sentiment Analysis: An Exploratory Analysis on Tweets,Incorporating Affect into Educational Design Patterns and Frameworks,Free-tagging methods for opinion analysis of online news comments,Sentiment classification for online comments on Chinese news,Feature-based sentiment analysis in online Arabic reviews,A sentiment classification method for Chinese document,“The Godfather” vs. “Chaos”: Comparing Linguistic Analysis Based on On-line Knowledge Sources and Bags-of-N-Grams for Movie Review Valence Estimation,Sentiment mining in WebFountain,A product retrieval system robust to subjective queries,A Regularized Recommendation Algorithm with Probabilistic Sentiment-Ratings
"Review of Reactive Power Planning: Objectives, Constraints, and Algorithms","Wenjuan Zhang, Fangxing Li, Leon M. Tolbert, ",2007,104,Reactive power planning under high penetration of wind energy using Benders decomposition,A novel index for identification of weak nodes for reactive compensation to improve voltage stability,Expected security constrained reactive power planning,MILP branch flow model for concurrent AC multistage transmission expansion and reactive power planning with security constraints,Approach of generation fleet voltage schedule validation for power system voltage stability,Improved extreme-scenario extraction method for the economic dispatch of active distribution networks,Discussion and Researching on Dynamic Reactive Power Planning,Application of neural network in voltage stability assessment in real-time power market,A vehicle-to-grid based reactive power dispatch approach using particle swarm optimization,Reactive Shunt Compensation Planning by Optimal Power Flows and Linear Sensitivities,Sensitivity of Var compensation economic benefits considering generator marginal cost,Investigating the effects of selecting different slack bus on power systems,Optimal voltage scheduling procedure for Croatian power system,Remote voltage controls adjustment algorithm based on optimal voltage scheduling,Reactive Power Planning - sequential approach,Stochastic optimization for reactive power planning problems,Artificial intelligence technique based reactive power planning using FVSI,Reactive power optimization using repeated genetic algorithm and data prediction,Reactive Power Planning using Evolutionary Algorithms,FVSI based Reactive Power Planning using Evolutionary Programming,Artificial intelligence technique based Reactive Power Planning incorporating FACTS Controllers in Real Time Power Transmission System,A solution of power quality issues by adaptive FACTS controller: A modelling and simulation,Reactive planning considering Offshore Wind Power generation,Application of SVC for voltage regulation in real-time power market,Var planning assessment in a meshed AC/DC system: The future Irish Transmission System,Improvement of power flow convergence using switched shunt jacobian,Adequate Planning of Shunt Power Capacitors Involving Transformer Capacity Release Benefit,Real time optimal power flow integrating large scale storage devices and wind generation,Application of regression analysis for predication of voltage collapse in power systems,Reactive power planning against power system steady state voltage instability
The effect of mobility-induced location errors on geographic routing in mobile ad hoc sensor networks: analysis and improvement using mobility prediction,"D. Son, A. Helmy, B. Krishnamachari, ",2004,92,Location error resilient geographical routing for vehicular ad-hoc networks,An overview of geographic protocols in ad hoc and sensor networks,Towards location error resilient geographic routing for VANETs,GeO-LANMAR: a scalable routing protocol for very large dense ad hoc networks with group motion,Localization Error-Resilient Geographic Routing for Wireless Sensor Networks,Feedback Based Multicast Approach for Video Conferencing in Ad Hoc Networks,Geographic routing in the presence of location errors,Adaptive Position Update in Geographic Routing,Efficient Flooding Scheme Based on 2-Hop Backward Information in Ad Hoc Networks,Energy consumption reduction methods of geographic routing protocols with out-of-date location information in mobile ad hoc networks,Research on location prediction of vehicular networks,Efficient exclusive opportunistic routing for vastly dynamic mobile Ad Hoc networks,Speed Aware Modified Span for Wireless Mobile Ad Hoc Networks,Reliable data delivery in MANETs using VDVH framework,Reliable data delivery for highly dynamic mobile ad hoc networks,Implementation of a Topology Control Algorithm for MANETs Using Nomadic Community Mobility Model,Impact of mobility metrics on greedy ad hoc network routing protocol and improvement using angular prediction model,JRGP: Jamming resilient geocasting protocol for mobile tactical ad hoc networks,Mobility models broadcasting methods and factors contributing towards the efficiency of the MANET routing protocols: Overview,Self-Adaptive On Demand Geographic Routing Protocols for Mobile Ad-hoc Networks,On the Cost of Knowledge of Mobility in Dynamic Networks,Rendezvous regions: a scalable architecture for service location and data-centric storage in large-scale wireless networks,Geographic routing based on on-demand neighbor position information in large-scale mobile sensor networks,A Reactive Geographic Routing Protocol for wireless sensor networks,Improved mesh WSN support for a realistic mobility model,A Routing Algorithm for Mobile Multiple Sinks in Large-Scale Wireless Sensor Networks,Stateless Data Flow Approach with Void Avoidance for Wireless Ad Hoc and Sensor Networks,Impact of mobility on geographic routing,Enhanced GPSR using Neighbor-Awareness position Update and Beacon-assist Geographic Forwarding in vehicular ad hoc networks,Design of a time and location based One-Time Password authentication scheme
Optimum Coordination of Directional Overcurrent Relays Using the Hybrid GA-NLP Approach,"Prashant Prabhakar Bedekar, Sudhir Ramkrishna Bhide, ",2011,90,Optimal coordination of directional overcurrent relays in power systems using Symbiotic Organism Search Optimisation technique,Hybrid GSA-SQP algorithm for optimal coordination of directional overcurrent relays,Adaptive modified firefly algorithm for optimal coordination of overcurrent relays,Coordination of directional over-current relays in active distribution networks using generalised benders decomposition,Optimal coordination of directional overcurrent relays using improved mathematical formulation,Considering the series compensation in optimal coordination of directional overcurrent protections using PSO technique,The optimal coordination of over-current relay protection in radial network based on Particle Swarm Optimization,Optimal coordination of directional overcurrent relays using hybrid BBO-LP algorithm with the best extracted time-current characteristic curve,Determining optimum TMS and PS of overcurrent relays using linear programming technique,Optimal coordination of Directional Overcurrent Relays using hybrid CSA-FFA method,Notice of Retraction<br/> Optimum coordination of directional overcurrent relays in presence of distributed generation,Notice of Retraction<br/> A protection scheme for optimum coordination of directional overcurrent relays in presence of distributed generation,Reducing over-current relays operating times in adaptive protection of distribution networks considering dg penetration,Optimal coordination of directional overcurrent relays using hybrid BBO/DE algorithm and considering double primary relays strategy,Application of nature inspired metaheuristic techniques to overcurrent relay coordination,A study on protection issues in presence of distributed generation,Optimal relay coordination for microgrids using interval linear programming approach,Impact of distributed generation on relay coordination,Optimal overcurrent relay coordination in distribution system,Comparative analysis of different optimization methods for optimal coordination of directional overcurrent relays,A new formulation and solving of protective relays setting and coordination problem using multi-objective optimization and fuzzy logic,Optimum coordination of overcurrent and distance relays using JAYA optimization algorithm,Optimum values of TMS and ps of overcurrent relays using amalgam of GA-NLP methods,On 8-bus test system for solving challenges in relay coordination,Framework arrangement of directional relays in meshed networks based on differential evolution algorithm,Optimal coordination of IDMT directional overcurrent relays in the presence of series compensation using Differential Evolution algorithm,Optimal relay coordination suitable for grid-connected and islanded operational modes of microgrid,Determining optimum time multiplier setting of overcurrent relays using modified Jaya algorithm,Optimal Coordination of Directional Overcurrent Relays Using NM-PSO Technique,Optimum coordination of directional overcurrent relay in presence of distributed generation using genetic algorithm
"Computing With Words Is an Implementable Paradigm: Fuzzy Queries, Linguistic Data Summaries, and Natural-Language Generation","Janusz Kacprzyk, Slawomir Zadrozny, ",2010,80,Fuzzy linguistic summaries: Where are we where can we go?,On efficiency-oriented support of consensus reaching in a group of agents in a fuzzy environment with a cost based preference updating approach,Fuzzy linguistic reporting in driving simulators,Hesitant Fuzzy Linguistic Term Set Based Document Classification,Image description generation without image processing using fuzzy inference,Towards bipolar linguistic summaries: a novel fuzzy bipolar querying based approach,Oppositions in Fuzzy Linguistic Summaries,On a new type of contextual queries and linguistic summaries of a bipolar type,A novel three-way decision based on linguistic evaluation,Using specificity to measure referential success in referring expressions with fuzzy properties,Natural language generation and fuzzy sets: An exploratory study on geographical referring expression generation,On a fairness type approach to consensus reaching support under fuzziness via linguistic summaries,rLDCP: R package for text generation from data,An exploratory study on the benefits of using natural language for explaining fuzzy rule-based systems,An empirical approach for modeling fuzzy geographical descriptors,Multi-objective linguistic optimization: Extensions and new directions using 2-tuple fuzzy linguistic representation model,A comprehensive comparison of time series described by linguistic summaries and its application to the comparison of performance of a mutual fund and its benchmark,Multiple attribute decision making using hesitant triangular fuzzy sets,Visual linguistic data mining using Self- Organizing Maps,On the evaluation of the linguistic summarization of temporally focused time series using a measure of informativeness,Outlier detection in medical data using linguistic summaries,Linguistic reporting of driver behavior: Summary and event description,Jumping NLP Curves: A Review of Natural Language Processing Research [Review Article],From computing with words (CWW) to reasoning with fuzzy concepts (RFC),A Generic Method for the Evaluation of Interval Type-2 Fuzzy Linguistic Summaries,Hesitant Fuzzy Linguistic Term Sets for Decision Making,Enhanced Interval Approach for Encoding Words Into Interval Type-2 Fuzzy Sets and Its Convergence Analysis,Participatory Learning of Propositional Knowledge,Linguistic Descriptions for Automatic Generation of Textual Short-Term Weather Forecasts on Real Prediction Data,Formalization of Generalized Constraint Language: A Crucial Prelude to Computing With Words
Thermal via planning for 3-D ICs,"J. Cong, Yan Zhang, ",2005,69,Through-Silicon Via (TSV)-induced noise characterization and noise mitigation using coaxial TSVs,Multi-step approach for thermal optimization of 3D-IC and package,Thermal performance of 3D ICs: Analysis and alternatives,Thermal-Aware 3D IC Placement Via Transformation,Thermal simulator of 3D-IC with modeling of anisotropic TSV conductance and microchannel entrance effects,Stacking signal TSV for thermal dissipation in global routing for 3D IC,Cluster-based thermal-aware 3D-floorplanning technique with post-floorplan TTSV insertion at via-channels,Bio-inspired thermal management techniques for three dimensional heterogeneous stacked network-on-chip systems,Exploring compromises among timing power and temperature in three-dimensional integrated circuits,Integrated circuit white space redistribution for temperature optimization,Statistical thermal modeling and optimization considering leakage power variations,LastZ: An Ultra Optimized 3D Networks-on-Chip Architecture,3D IC cooling mechanism by using signaling vias,Thermal-aware steiner routing for 3D stacked ICs,A 3D physical design flow based on Open Access,Whitespace redistribution for thermal via insertion in 3D stacked ICs,Reduction of temperature rise in 3D IC routing,Study of solder based self assembled 3D micro scale structures via surface evolver,Signal through-silicon via planning in 3D fixed-outline floorplanning,T-NUCA - a novel approach to non-uniform access latency cache architectures for 3D CMPs,MIRA: A Multi-layered On-Chip Interconnect Router Architecture,A convex optimization framework for leakage aware thermal provisioning in 3D multicore architectures,3D-Vias Aware Quadratic Placement for 3D VLSI Circuits,Reducing Temperature Variation in 3D Integrated Circuits Using Heat Pipes,Hybrid 3D-IC Cooling System Using Micro-fluidic Cooling and Thermal TSVs,Thermal Aspects and High-Level Explorations of 3D Stacked DRAMs,Thermal-Aware Design and Test Techniques for Two-and Three-Dimensional Networks-on-Chip,Thermal modeling and design of 3D integrated circuits,Topology optimization for efficient heat removal in 3D packages,Physical co-design for micro-fluidically cooled 3D ICs
