A flexible new technique for camera calibration,"Z. Zhang, ",2000,3793,Flexible method to calibrate projector–camera systems with high accuracy,Geometric error correction of convergent multi-view images,Intra-operative ultrasound-based augmented reality guidance for laparoscopic surgery,Hand–eye calibration using a target registration error model,Adaptive leader-follower formation control of non-holonomic mobile robots using active vision,Assessment of stereo camera calibration techniques for a portable mobile mapping system,Sequence-to-sequence alignment using a pendulum,Efficient vanishing point detection method in unstructured road environments based on dark channel prior,GA-based camera calibration for vision-assisted robotic assembly system,Multicamera rig calibration by double-sided thick checkerboard,Automatic chessboard corner detection method,Extrinsic parameters and focal length calibration using rotation-symmetric patterns,Depth extraction for a structured light system based on mismatched image pair rectification using a virtual camera,Fast vanishing point detection method based on road border region estimation,Simple method for camera calibration of roundabout traffic scenes using a single circle,Vision-based position computation from in-vehicle video log images for road sign inventory,Survey on optical camera communications: challenges and opportunities,Vision-based markerless measurement system for relative vessel positioning,A flexible new technique for camera calibration,Estimating the Location of a Camera with Respect to a 3D Model,Light stripe triangulation for multiple of moving rigid objects,Dynamic Shape Capture via Periodical-Illumination Optical Flow Estimation and Multi-view Photometric Stereo,Calibration of Nodal and Free-Moving Cameras in Dynamic Scenes for Post-Production,A System for Capturing Textured 3D Shapes Based on One-Shot Grid Pattern with Multi-band Camera and Infrared Projector,Markerless Motion Capture of Human Body Using PSO with Single Depth Camera,Pinhole-to-Projection Pyramid Subtraction for Reconstructing Non-rigid Objects from Range Images,Simple Accurate and Robust Projector-Camera Calibration,A Structured Light Range Imaging System Using a Moving Correlation Code,An Improved 3D Human Face Reconstruction Approach Based on Cubic Splines Models,Gaze Tracking by Using Factorized Likelihoods Particle Filtering and Stereo Vision
A versatile camera calibration technique for high-accuracy 3D machine vision metrology using off-the-shelf TV cameras and lenses,"R. Tsai, ",1987,2594,A camera self-calibration method based on parallel QPSO,Field tests on flat ground of an intensity-difference based monocular visual odometry algorithm for planetary rovers,A Raspberry Pi 2-based stereo camera depth meter,Estimation of radial distortion using local spectra of planar textures,Active-vision-based multisensor surveillance - an implementation,A Unified Approach for Multi-Object Triangulation Tracking and Camera Calibration,A Spatially Augmented Reality Sketching Interface for Architectural Daylighting Design,TransCAIP: A Live 3D TV System Using a Camera Array and an Integral Photography Display with Interactive Control of Viewing Parameters,Calibration issues in FRC: Camera projector kinematics based hybrid approach,The mapping and application of city ortho-image with Multi-mode Airborne Digital Camera,Wide-angle distortion correction by Hough transform and gradient estimation,Realtime 3D position detection of human pupil,Face pose estimation based on 3D detection of pupils and nostrils,Constructing 3D Virtual Reality Objects from 2D Images of Real Objects Using NURBS,Head pose detection with one camera based on pupil and nostril detection technique,Development of Image Synthesis Algorithm with Multi-Camera,Virtualized reality: constructing time-varying virtual worlds from real world events,Energy-Effcient Scheduling for Autonomous Mobile Robots,A stereoscopic video see-through augmented reality system based on real-time vision-based registration,Real-time input of 3D pose and gestures of a user's hand and its applications for HCI,A testbed for precise registration natural occlusion and interaction in an augmented environment using a head-mounted projective display (HMPD),Easy calibration of a head-mounted projective display for augmented reality systems,A new collaborative infrastructure: SCAPE,Joystick mapped Augmented Reality Cues for End-Effector controlled Tele-operated Robots,Virtual Heliodon: Spatially Augmented Reality for Architectural Daylighting Design,Parameter estimation variance of the single point active alignment method in optical see-through head mounted display calibration,On calibrating a camera network using parabolic trajectories of a bouncing ball,Creating 3D models with uncalibrated cameras,Tracking and pose estimation for computer assisted localization in industrial environments,Automating multi-camera self-calibration
Kernel-based object tracking,"D. Comaniciu, V. Ramesh, P. Meer, ",2003,2512
Learning patterns of activity using real-time tracking,"C. Stauffer, W. E. L. Grimson, ",2000,1774,Video object segmentation using background model based on pixel time series clustering,Saliency/non-saliency segregation in video sequences using perception-based local ternary pattern features,Near-recursive optical flow from weighted image differences,Audio–Visual Active Speaker Tracking in Cluttered Indoors Environments $^{ast}$,View-Independent Behavior Analysis,Audio–Visual Active Speaker Tracking in Cluttered Indoors Environments,An Efficient Sequential Approach to Tracking Multiple Objects Through Crowds for Real-Time Intelligent CCTV Systems,Reverse Control for Humanoid Robot Task Recognition,Scene Analysis for Object Detection in Advanced Surveillance Systems Using Laplacian Distribution Model,A Path-Planning Method for Human-Tracking Agents Based on Long-Term Prediction,A Review of Anomaly Detection in Automated Surveillance,A hybrid pixel-based background model for image foreground object detection in complex sence,On the Mahalanobis Distance Classification Criterion for Multidimensional Normal Distributions,Traffic accident prediction using 3-D model-based vehicle tracking,Moving Vehicle Detection for Automatic Traffic Monitoring,An Enhanced Background Estimation Algorithm for Vehicle Detection in Urban Traffic Scenes,Compensating Background for Noise due to Camera Vibration in Uncalibrated-Camera-Based Vehicle Speed Measurement System,A Multi-view Learning Approach to Foreground Detection for Traffic Surveillance Applications,Traffic Monitoring Using Video Analytics in Clouds,A Macro-observation Approach of Intelligence Video Surveillance for Real-Time Unusual Event Detection,An Intelligent Virtual Fence Security System for the Detection of People Invading,A framework for vision-based swimmer tracking,Adaptive background estimation of outdoor illumination variations for foreground detection,Dynamic video object detection with single PTU camera,Long-term background memory based on Gaussian mixture model,Temporarily static object detection in surveillance video using double foregrounds and superpixels,Human tracking by employing the scene information in underground coal mines,Real Time Object Detection and Motion,Comparison of target detection algorithms using adaptive background models,Illumination and motion-based video enhancement for night surveillance
Query by image and video content: the QBIC system,"M. Flickner, H. Sawhney, W. Niblack, J. Ashley, Qian Huang, B. Dom, M. Gorkani, J. Hafner, D. Lee, D. Petkovic, D. Steele, P. Yanker, ",1995,1535,A unified framework for semantic shot classification in sports video,Nonparametric motion characterization for robust classification of camera motion patterns,A Learned Lexicon-Driven Paradigm for Interactive Video Retrieval,Major Cast Detection in Video Using Both Speaker and Face Information,Shape Indexing and Recognition Based on Regional Analysis,Motion Flow-Based Video Retrieval,Integrated Mining of Visual Features Speech Features and Frequent Patterns for Semantic Video Annotation,Robust Spatial Matching for Object Retrieval and Its Parallel Implementation on GPU,Extracting semantics from audio-visual content: the final frontier in multimedia retrieval,Blobworld: image segmentation using expectation-maximization and its application to image querying,Matching and retrieval of distorted and occluded shapes using dynamic programming,Unsupervised feature selection applied to content-based retrieval of lung images,Integrating relevance feedback techniques for image retrieval using reinforcement learning,Segmenting Modeling and Matching Video Clips Containing Multiple Moving Objects,Distance Learning for Similarity Estimation,80 Million Tiny Images: A Large Data Set for Nonparametric Object and Scene Recognition,A Statistical Framework for Image Category Search from a Mental Picture,Geometry-Based Image Retrieval in Binary Image Databases,The 3D Wunderkammer: an indexing by placing approach to the image storage and retrieval,Complex Zernike Moments Features for Shape-Based Image Retrieval,A Novel Evolutionary Approach for Optimizing Content-Based Image Indexing Algorithms,A Dynamic User Concept Pattern Learning Framework for Content-Based Image Retrieval,Three-dimensional interfaces for querying by example in content-based image retrieval,Feature Analysis Based on Edge Extraction and Median Filtering for CBIR,A personalized multimedia retrieval frame based on user interest,The semantics of sketch: Flexibility in visual query systems for time series data,A fuzzy feature clustering with relevance feedback approach to content-based image retrieval,An interface for semantic browsing of an images database,Edge detection techniques in image retrieval: the semantic meaning of edge,Virtual image: keyframe or visual icon?
W4: real-time surveillance of people and their activities,"I. Haritaoglu, D. Harwood, L. S. Davis, ",2000,1358,Review of model-free gait recognition in biometrie systems,Detection of swimmers in swimming video sequences,Collaborative hybrid classifier learning with ant colony optimization in wireless multimedia sensor networks,Design of human motion detection and tracking robot based on pyroelectric infrared sensor,Motion detection based on RGB-D data and scene flow clustering,An Agent-Based Approach to Understand Events in Surveillance Environments,Real-Time Object Detection in Embedded Video Surveillance Systems,Real-Time People Counting Using Multiple Lines,Multi-camera based surveillance system,Human body tracking system based on DWT and Mean-shift algorithm on ARM-Linux platform,People tracking and abnormal situation detection in the open space,Cascaded change detection for foreground segmentation,Recognition of High-level Group Activities Based on Activities of Individual Members,View independent recognition of human-vehicle interactions using 3-D models,New paradigm for recognition of aggressive human behavior based on bag-of-features and skeleton graph,Vision-based human body posture recognition using support vector machines,Shadow Detection Method in Video Surveillance System,Overview of Behavioural Understanding System with Filtered Vision Sensor,The Integration Adjacent Frame Difference of Improved ViBe for Foreground Object Detection,Bayesian modeling of dynamic scenes for object detection,A model-based approach for estimating human 3D poses in static images,A system for learning statistical motion patterns,MCMC Data Association and Sparse Factorization Updating for Real Time Multitarget Tracking with Merged and Multiple Measurements,A dynamic conditional random field model for foreground and shadow segmentation,Principal axis-based correspondence between multiple cameras for people tracking,Segmentation and Tracking of Multiple Humans in Crowded Environments,Sequential Kernel Density Approximation and Its Application to Real-Time Visual Tracking,Bayesian-Competitive Consistent Labeling for People Surveillance,Tracking Multiple Occluding People by Localizing on Multiple Scene Planes,Correspondence-Free Activity Analysis and Scene Modeling in Multiple Camera Views
MonoSLAM: Real-Time Single Camera SLAM,"Andrew J. Davison, Ian D. Reid, Nicholas D. Molton, Olivier Stasse, ",2007,1149
Real-time tracking of non-rigid objects using mean shift,"D. Comaniciu, V. Ramesh, P. Meer, ",2000,1127,Mean shift: a robust approach toward feature space analysis,Calibrating an Optical See-Through Rig with Two Non-overlapping Cameras: The Virtual Camera Framework,Distributed architectures and logical-task decomposition in multimedia surveillance systems,Urban surveillance systems: from the laboratory to the commercial world,Object Tracking Based on Stable Feature Mining Using Intraframe Clustering and Interframe Association,A real time object tracking approach for mobile robot visual servo control,Consensus Region Merging for Image Segmentation,Wide-Range Feature Point Tracking with Corresponding Point Search and Accurate Feature Point Tracking with Mean-Shift,Eye typing using Markov and active appearance models,Bayesian Pixel Classification for Human Tracking,Multi-Target Tracking Using Hybrid Particle Filtering,Multiple object tracking using particle filters,Target Tracking and Adversarial Reasoning for Unmanned Aerial Vehicles,Real time hand tracking by combining particle filtering and mean shift,A system for teaching sign language using live gesture feedback,Occlusion Handling for Object Tracking in Crowded Video Scenes Based on the Undecimated Wavelet Features,Tracking human face features in thermal images for respiration monitoring,Hand Tracking Using Kernel Density Approximation,Human Tracking Based on Mean Shift and Kalman Filter,Accurate coverage summarization of UAV videos,Moving object tracking based on mean shift algorithm and features fusion,Multiple soccer players tracking,Probabilistic tracking and recognition of nonrigid hand motion,Multi-modal face tracking using Bayesian network,People tracking in a multi-camera environment,A modified mean shift algorithm for visual object tracking,A skeleton-based pairwise curve matching scheme for people tracking in a multi-camera environment,Robust template matching using scale-adaptive deep convolutional features,Concatenating multiple trajectories using Kalman filter for pedestrian tracking,Wireless Vision Based Object Tracking Using Continuously Adaptive Mean Shift Tracking Algorithm
Parallel Tracking and Mapping for Small AR Workspaces,"Georg Klein, David Murray, ",2007,930,Reconstruction and Accurate Alignment of Feature Maps for Augmented Reality,Calibration of Nodal and Free-Moving Cameras in Dynamic Scenes for Post-Production,Improving Sparse 3D Models for Man-Made Environments Using Line-Based 3D Reconstruction,Detecting Ambiguity in Localization Problems Using Depth Sensors,DT-SLAM: Deferred Triangulation for Robust SLAM,Reconstructing Fukushima: A Case Study,Reconstructing Street-Scenes in Real-Time from a Driving Car,A Hybrid Structure/Trajectory Constraint for Visual SLAM,Combined laser and vision-aided inertial navigation for an indoor unmanned aerial vehicle,Cloud robotics: Current status and open issues,Dense Scene Flow Based Coarse-to-Fine Rigid Moving Object Detection for Autonomous Vehicle,A Mobile Camera Localization Method Using Aerial-View Images,Trajectory-based stereo visual odometry with statistical outlier rejection,A UAV system for inspection of industrial facilities,Sensitivity study for feature-based monocular 3D SLAM,Pedestrian Detection in Poor Weather Conditions Using Moving Camera,Pose estimation and 3D environment reconstruction using less reliable depth data,Computationally efficient scene categorization in complex dynamic environments,A novel navigation system using augmented reality technology for distribution work at optical connector panels,Convergence-enhanced dense RGB-D odometry with a rotational motion prior from a gyroscope,Vision-inertia based navigation algorithms for quadrotors,A 27mW reconfigurable marker-less logarithmic camera pose estimation engine for mobile augmented reality processor,Continuous recovery for real time pan tilt zoom localization and mapping,A robust fusion method for RGB-D SLAM,Scale-aware monocular visual-inertial pose estimation for aerial robots,Trajectory planning for monocular SLAM systems,Multi-sensor fusion based real-time hovering for a quadrotor without GPS in assigned position,Vision based autonomous gap-flying-through using the micro unmanned aerial vehicle,A moments-based approach to estimation and data interpolation for a class of Wiener systems,An initialization method for monocular visual localization of miniature aerial robots
Single-pixel imaging via compressive sampling,"Marco F. Duarte, Mark A. Davenport, Dharmpal Takhar, Jason N. Laska, Ting Sun, Kevin F. Kelly, Richard G. Baraniuk, ",2008,907,Novel multifocus image fusion and reconstruction framework based on compressed sensing,Colour compressed sensing imaging via sparse difference and fractal minimisation recovery,Spinning disk as a spatial light modulator for rapid infrared imaging,Computational microwave imaging using 3D printed conductive polymer frequency-diverse metasurface antennas,Cauchy diversity measures: a novel methodology for enhancing sparsity in compressed sensing,Chaotic cellular automaton for generating measurement matrix used in CS coding,Sparsity based feedback design: A new paradigm in opportunistic sensing,Software Calibration of a Frequency-Diverse Multistatic Computational Imaging System,Design and Simulation of a Frequency-Diverse Aperture for Imaging of Human-Scale Targets,ISAR Imaging With Wideband V-FM Waveforms via Dual-Channel CS-D,A Systematic Review of Compressive Sensing: Concepts Implementations and Applications,Exact signal recovery from sparsely corrupted measurements through the Pursuit of Justice,Group testing strategies for recovery of sparse signals in noise,Distributed compressed sensing of Hyperspectral images via blind source separation,On the role of the properties of the nonzero entries on sparse signal recovery,Compressive ladar detector noise performance,Optimal acquisition policy for compressed measurements with limited observations,Near-optimal adaptive Compressed Sensing,Multi-capture High Dynamic Range compressive imaging,Direction estimation using compressive array sensing and pattern reconfigurable antennas,Band-pass compressive sampling as an enabling technology for rapid wideband RF spectrum sensing,Comparison of l1-Minimization and Iteratively Reweighted least Squares-l p-Minimization for Image Reconstruction from Compressive Sensing,Color encoding of phase: A new step in imaging by structured light and single pixel detection,Practical near-optimal sparse recovery in the L1 norm,Combining geometry and combinatorics: A unified approach to sparse signal recovery,Sequential Sparse Matching Pursuit,Sparse recovery for Earth Mover Distance,Sensitivity analysis in RIPless compressed sensing,Sparse reconstruction under sensing constraints: A controlled approach,Sparse-matrix-based compressed sensing for spectrum sensing in Flexible Wireless System
