Creating the CIPRES Science Gateway for inference of large phylogenetic trees,"Mark A. Miller, Wayne Pfeiffer, Terri Schwartz, ",2010,1035,Authoring a Science Gateway Cookbook,A Web-Based Platform for Publication and Distributed Execution of Computing Applications,SoTree: An Automated Phylogeny Assembly Tool for Ecologists from Big Tree,Science Gateways Incubator: Software Sustainability Meets Community Needs
GPU Computing,"John D. Owens, Mike Houston, David Luebke, Simon Green, John E. Stone, James C. Phillips, ",2008,705,Software Data Plane and Flow Switching Plane Separation in Next-Generation Router Architecture,Parallel Query on the In-Memory Database in a CUDA Platform,GPU-Accelerated Visualization of Scattered Point Data,Using 3-D Video Game Technology in Channel Modeling,Non-Dominated Quantum Iterative Routing Optimization for Wireless Multihop Networks,A Parallel Nonlocal Means Algorithm for Remote Sensing Image Denoising on an Intel Xeon Phi Platform,Evaluating Power and Energy Efficiency of Bitonic Mergesort on Graphics Processing Unit,GPU-Accelerated Features Extraction From Magnetic Resonance Images,Fast Batched Solution for Real-Time Optimal Power Flow With Penetration of Renewable Energy,Measuring power and energy consumption of programs running on kepler GPUs,A high performance GPU-based software-defined basestation,Performance evaluation of SAR image reconstruction on CPUs and GPUs,Smart carpet for imaging of objects' footprint by photonic guided-path tomography,Design and Implementation of Jacobi Algorithms on GPU,Highly parallel decoding of space-time codes on graphics processing units,GPU Acceleration of the Horizontal Diffusion Method in the Weather Research and Forecasting (WRF) Model,Emerging technology about GPGPU,An efficient FDTD algorithm for solving electromagnetic problems based on GPU and COW acceleration,Flexible Components for Development of Embedded Systems with GPUs,Fast analysis of conformal aperiodic arrays on CPUs and GPUs,Elliptic Curve point multiplication on GPUs,A fast GPU-based implementation for MD5 hash reverse,AES finalists implementation for GPU and multi-core CPU based on OpenCL,Evolutionary algorithm for seed selection in social influence process,Accelerating statistical static timing analysis using graphics processing units,Register and thread structure optimization for GPUs,Mu-GSIM: A mutation testing simulator on GPUs,Scan Test Power Simulation on GPGPUs,High-Throughput Transistor-Level Fault Simulation on GPUs,Design and implementation of the Smith-Waterman algorithm on the CUDA-compatible GPU
Rodinia: A benchmark suite for heterogeneous computing,"Shuai Che, Michael Boyer, Jiayuan Meng, David Tarjan, Jeremy W. Sheaffer, Sang-Ha Lee, Kevin Skadron, ",2009,689,Efficient FPGA Implementation of OpenCL High-Performance Computing Applications via High-Level Synthesis,Speeded-up robust features (SURF) as a benchmark for heterogeneous computers,A distributed CPU-GPU framework for pairwise alignments on large-scale sequence datasets,On the characterization of OpenCL dwarfs on fixed and reconfigurable platforms,Thread affinity mapping for irregular data access on shared Cache GPGPU,Register and thread structure optimization for GPUs,Support tools for porting legacy applications to multicore,Multilane Racetrack caches: Improving efficiency through compression and independent shifting,An efficient STT-RAM-based register file in GPU architectures,A scalable communication-aware compilation flow for programmable accelerators,CAMO: A novel cache management organization for GPGPUs,ISP: Using idle SMs in hardware-based prefetching,A statistical performance prediction model for OpenCL kernels on NVIDIA GPUs,Automatic Code Tuning for Improving GPU Resource Utilization,Towards Transparently Tackling Functionality and Performance Issues across Different OpenCL Platforms,Dynamic Task Scheduling Scheme for a GPGPU Programming Framework,Reducing shift penalty in Domain Wall Memory through register locality,Performance Optimization by Dynamically Altering Cache Replacement Algorithm in CPU-GPU Heterogeneous Multi-core Architecture,Scheduling Concurrent Applications on a Cluster of CPU-GPU Nodes,Boosting GPU Performance by Profiling-Based L1 Data Cache Bypassing,Leveraging High Performance Computing for Bioinformatics: A Methodology that Enables a Reliable Decision-Making,Online Power Estimation of Graphics Processing Units,Convergence and scalarization for data-parallel architectures,Characterizing and enhancing global memory data coalescing on GPUs,Automatic data placement into GPU on-chip memory resources,Locality-centric thread scheduling for bulk-synchronous programming models on CPU architectures,FinePar: Irregularity-aware fine-grained workload partitioning on integrated architectures,Taming warp divergence,Dynamic buffer overflow detection for GPGPUs,Synthesizing benchmarks for predictive modeling
Summary cache: a scalable wide-area Web cache sharing protocol,"Li Fan, Pei Cao, J. Almeida, A. Z. Broder, ",2000,634,DINAS: A distributed naming service for all-IP wireless sensor networks,On common profile matching among multiparty users in mobile D2D social networks,Optimized event notification in CAN through in-frame replies and Bloom filters,Improvement of Precision and Recall for Information Retrieval in a Narrow Domain: Reuse of Concepts by Formal Concept Analysis,QuIT: Quantitative IP Traceback,Cooperative Caching with Adaptive Prefetching in Mobile Ad Hoc Networks,A P2P cooperative proxy cache system for wireless base stations,Performance evaluation of content based routing with in-network caching,Bandwidth fuelling for network mobility,Node presence detection with reduced overhead,High performance low complexity cooperative caching for Wireless Sensor Networks,CBFR: Bloom filter routing with gradual forgetting for tree-structured wireless sensor networks with mobile nodes,TCCN: Tag-assisted Content Centric Networking for Internet of Things,Optimal Caching with Content Broadcast in Cache-and-Forward Networks,BFR: A bloom filter-based routing approach for information-centric networks,Building a large and efficient hybrid peer-to-peer Internet caching system,Aging Bloom Filter with Two Active Buffers for Dynamic Sets,False Negative Problem of Counting Bloom Filter,The Dynamic Bloom Filters,Straggler Identification in Round-Trip Data Streams via Newton's Identities and Invertible Bloom Filters,Set Reconciliation via Counting Bloom Filters,Efficient PDA synchronization,Supporting cooperative caching in ad hoc networks,A private secure and user-centric information exposure model for service discovery protocols,Cooperative Caching for Efficient Data Access in Disruption Tolerant Networks,Optimal Prefetching Scheme in P2P VoD Applications With Guided Seeks,Dynamic parallel access to replicated content in the Internet,Compressed Bloom filters,Single-packet IP traceback,Longest prefix matching using bloom filters
Shape-from-shading: a survey,"Ruo Zhang, Ping-Sing Tsai, J. E. Cryer, M. Shah, ",1999,630,Normal map recovery using bundle adjustment,Shape-from-shading using sensor and physical object characteristics applied to human teeth surface reconstruction,Adaptive face modelling for reconstructing 3D face shapes from single 2D images,Lunar surface crater topology generation using adaptive edge detection algorithm,An adaptive contour closure algorithm and its experimental evaluation,Examplar-based Shape from Shading,Dynamic Shape Capture via Periodical-Illumination Optical Flow Estimation and Multi-view Photometric Stereo,Example-Based Depth Generation from Single Image for 3D Content,Accurate 3D reconstruction via surface-consistency,A comparison between two 3D free-viewpoint generation methods: Player-billboard and 3D reconstruction,Scene geometric recognition from monocular image,Direct Shape Recovery from Photometric Stereo with Shadows,Variational Regularization and Fusion of Surface Normal Maps,Deeper Depth Prediction with Fully Convolutional Residual Networks,Single-Image RGB Photometric Stereo with Spatially-Varying Albedo,Passive imaging based multi-cue hazard detection for spacecraft safe landing,Automatic 3D reconstruction for face recognition,Recovering face shape and reflectance properties from single images,Recovering 3D facial shape via coupled 2D/3D space learning,A computational framework for real-time detection and recognition of large number of classes,3D Structure Estimation Using Evolutionary Algorithms Based on Similarity Transform,Analysis of shape from shading algorithms for fast and realistic 3D face reconstruction APCCAS2002,Depth refinement on sparse-depth images using visual perception cues,Shape reconstruction from two color images using photometric stereo combined with segmentation and stereopsis,3D Representation of the Digestive Tract Surface in Wireless Capsule Endoscopy Videos,Quantitative Analysis of 3D Face Reconstruction using Annealing based Approach,Three dimensional structure estimation and planning with vision and range,Shape Recovery Using HDR Images,3D Model Generation of Cattle by Shape-from-Silhouette Method for ICT Agriculture,Bubble segmentation based on Shape From Shading for in-situ microscopy
A genetic algorithm solution to the unit commitment problem,"S. A. Kazarlis, A. G. Bakirtzis, V. Petridis, ",1996,594,Cost emission and reserve pondered pre-dispatch of thermal power generating units coordinated with real coded grey wolf optimisation,High fitness population (HFP) with GA solution for solving unit commitment of large system,A Novel Unit Commitment Method Considering Power System Reliability,Joint optimal operation of wind farms and pumped storage power station,Research of modeling and control strategies of multi-type generators peaking,A novel reliability oriented bi-objective unit commitment problem,A Trust-Based Cooperation Bit-Map Routing Protocol for Ad Hoc Networks,The unit commitment problem based on an improved firefly and particle swarm optimization hybrid algorithm,Analytical study on economic dispatch,Production scheduling with hybrid dynamics and constraints,An optimal control approach to the Unit Commitment problem,Applications of evolutionary computation in electric power systems,An evolutionary algorithm to solve the short-term electrical generation sheduling problem,Developing GA-based hybrid approaches for a real-world mixed-integer scheduling problem,An evolutionary generation scheduling in an open electricity market,Heuristics-based evolutionary algorithm for solving unit commitment and dispatch,LRGA for solving profit based generation scheduling problem in competitive environment,A modified hybrid particle swarm optimization approach for unit commitment,Improved multi-objective evolutionary algorithm for day-ahead thermal generation scheduling,Multi-objectivization of short-term unit commitment under uncertainty using evolutionary algorithm,Evolutionary scheduling of flexible offers for balancing electricity supply and demand,A multi-objective genetic algorithm for unit commitment with significant wind penetration,A hybrid meta-heuristic method for unit commitment considering flexible charging and discharging of plug-in electric vehicles,Analysis and comparison of multi-objective evolutionary approaches on the multi-objective 1/0 unit commitment problem,A multiobjective evolutionary algorithm based on decomposition for unit commitment problem with significant wind penetration,Cooperative Evolution Genetic Algorithm on Bidding of Power Market,Economic and optimal dispatching of power microgrid with renewable energy,Hierarchical multi-objective unit commitment optimization considering negative peak load regulation ability,An Application of Artificial Intelligent Optimization Techniques to Dynamic Unit Commitment for the Western Area of Saudi Arabia,High fitness population (HFP) with GA solution for solving unit commitment
A scheduling model for reduced CPU energy,"F. Yao, A. Demers, S. Shenker, ",1995,527,Uploading Deferrable Big Data to the Cloud by Improved Dynamic Self-Adaption Algorithm,Power optimization of variable-voltage core-based systems,Software-controlled processor speed setting for low-power streaming multimedia,Intra-task voltage scheduling for low-energy hard real-time applications,Energy-aware wireless microsensor networks,Towards multiprocessor scheduling in distributed real-time systems under energy constraints,ALT-DVS: Dynamic Voltage Scaling with Awareness of Leakage and Temperature for Real-Time Systems,On the power-aware resource allocation for linear-pipelined real-time tasks,Stochastic analysis of power-aware scheduling,Real time scheduling and CPU power consumption in embedded systems,Design space exploration for energy-efficient secure sensor network,Coordinated and adaptive power gating and dynamic voltage scaling for energy minimization,Investigating the effect of voltage-switching on low-energy task scheduling in hard real-time systems,LEneS: task scheduling for low-energy systems using variable supply voltage processors,Mode selection and mode-dependency modeling for power-aware embedded systems,Static and dynamic variable voltage scheduling algorithms for real-time heterogeneous distributed embedded systems,A generalized technique for energy-efficient operating voltage set-up in dynamic voltage scaled processors,An efficient dynamic task scheduling algorithm for battery powered DVS systems,Energy-Efficient Real-Time Task Scheduling in Multiprocessor DVS Systems,Flow Time Minimization under Energy Constraints,Dynamic scheduling of imprecise-computation tasks in maximizing QoS under energy constraints for embedded systems,Leakage conscious DVS scheduling for peak temperature minimization,On-line leakage-aware energy minimization scheduling for hard real-time systems,Online Test Macro Scheduling and Assignment in MPSoC Design,Scheduling for data center interactive services,Energy-delay tradeoffs in a load-balanced router,Peak-minimizing online EV charging,Dynamic leakage aware power management with procrastination method,Towards Energy Aware Scheduling for Precedence Constrained Parallel Tasks in a Cluster with DVFS,Optimal admission control of discrete event systems with real-time constraints
To Sample or not to Sample: Self-Triggered Control for Nonlinear Systems,"Adolfo Anta, Paulo Tabuada, ",2010,375,Distributed event-based control strategies for interconnected linear systems,Event-triggered dynamic output feedback control for networked control systems,Self-triggered control for multi-agent systems with unknown non-linear inherent dynamics,Connection-graph-based event-triggered output consensus in multi-agent systems with time-varying couplings,Dynamic output-feedback control for linear systems by using event-triggered quantisation,Self-triggering-based sliding-mode control for linear systems,Mode-dependent event-triggered control of networked switching Takagi–Sugeno fuzzy systems,Event-triggered fault detection and isolation for discrete-time linear systems,Distributed consensus via self-triggered output feedback,Decentralised event-triggered consensus of double integrator multi-agent systems with packet losses and communication delays,Event-based security control for discrete-time stochastic systems,Combined event- and self-triggered control approach with guaranteed finite-gain $mathcal {L}_2$L2 stability for uncertain linear systems,Event-driven $H_infty $H∞ control for state-dependent uncertain systems in the sense of ISS,Networked H<sub>∞</sub> filtering for discrete linear systems with a periodic event-triggering communication scheme,Stability of feedback linearization under intermittent information: A target-pursuit case,Self-triggered coordination of robotic networks for optimal deployment,Quantized output synchronization of networked passive systems with event-driven communication,Decentralized model-based event-triggered control of networked systems,Observer based self-triggered control of linear plants with unknown disturbances,Model-based scheduling for networked control systems,Near-optimal strategies for nonlinear networked control systems using optimistic planning,Team-triggered coordination of networked systems,Adaptive event-triggered control of a uncertain linear discrete time system using measured input and output data,Self-triggered best-response dynamics for mobile sensor deployment,Neural network-based adaptive event-triggered control of affine nonlinear discrete time systems with unknown internal dynamics,Model-based event-triggered control of nonlinear dissipative systems,Distributed moving horizon state estimation with triggered communication,Zeno-free distributed event-triggered communication and control for multi-agent average consensus,Stability analysis of an adaptively sampled controller for SISO systems with nonlinear feedback,Multi-agent coordination with asynchronous cloud access
The New Routing Algorithm for the ARPANET,"J. McQuillan, I. Richer, E. Rosen, ",1980,325,All-to-all broadcast by flooding in communications networks,An adaptive hierarchical routing protocol,Minimal order loop-free routing strategy,Concurrent asynchronous broadcast on the MetaNet,New models and algorithms for future networks,Using distributed topology update and preplanned configurations to achieve trunk network survivability,An adaptive link assignment algorithm for dynamically changing topologies,Event driven topology broadcast without sequence numbers,Approximate distributed Bellman-Ford algorithms,On buffer-economical store-and-forward deadlock prevention,A distributed control architecture of high-speed networks,A new metric for dynamic routing algorithms,An extended least-hop distributed routing algorithm,Design and operation of packet-switched networks with uncertain message requirements,Packet forwarding,Bandwidth management and congestion control in plaNET,Routing of multipoint connections,Performance analysis of information dissemination by flooding,Networking of networks: interworking according to OSI,Type-of-service routing in datagram delivery systems,MCMP: a transport/session level distributed protocol for desktop conference setup,FIRE: flexible intra-AS routing environment,Active routing,Routing and congestion control in common channel Signaling System No.7,Routing and flow control in high-speed wide-area networks,A comparison between two routing protocols: OSPF and IS-IS,Problems in large LANs,Choosing the appropriate ISO layer for LAN interconnection,A simulation study of table-driven and on-demand routing protocols for mobile ad hoc networks,A simple distributed loop-free routing strategy for computer communication networks
SPEC CPU2000: measuring CPU performance in the New Millennium,"J. L. Henning, ",2000,315,Reducing the number of sensors under hot spot temperature error bound for microprocessors based on dual clustering,CryptoPage: An Efficient Secure Architecture with Memory Encryption Integrity and Information Leakage Protection,Extended Protection against Stack Smashing Attacks without Performance Loss,Hybrid dynamic thermal management method with model predictive control,Early load: Hiding load latency in deep pipeline processor,Mechanism for return stack and branch history corrections under misprediction in deep pipeline design,Selective validations for efficient protections on Coarse-Grained Reconfigurable Architectures,Simple-VLIW: A fundamental VLIW architectural simulation platform,Selectively protecting error-correcting code for area-efficient and reliable STT-RAM caches,An adaptive filtering mechanism for energy efficient data prefetching,A scorchingly fast FPGA-based Precise L1 LRU cache simulator,A three-stage-write scheme with flip-bit for PCM main memory,Simulating L3 caches in real time using hardware accelerated cache simulation (HACS): a case study with SPECint 2000,Hardware acceleration for programs in SSA form,Measuring the potential benefits of a dynamically adaptive cache line size,Dynamic binary translation for accumulator-oriented architectures,Physical experimentation with prefetching helper threads on Intel's hyper-threaded processors,Global conflict avoidance using block placement strategies in multi-level caches,Thread Priority Sensitive Simultaneous Multi-Threading Fair Scheduling Strategy,An Extensible Memory Simulation Framework for Chip Multi-Processors,A New Virtual-Address-Mapping Mechanism for Low-Energy I-Cache,Global Register Alias Table: Executing Sequential Program on Multi-Core,Customized Core Layout: A Case Study on Dual-Core Dynamic Binary Translation System,Configurable Reliability in Multicore Operating Systems,Power-aware issue queue design for speculative instructions,Microarchitecture-aware floorplanning using a statistical design of experiments approach,A cost-effective implementation of an ECC-protected instruction queue for out-of-order microprocessors,Morpheo: A high-performance processor generator for a FPGA implementation,Lower-bits cache for low power STT-RAM caches,Write intensity prediction for energy-efficient non-volatile caches
"New, faster, image-based scatter correction for 3D PET","C. C. Watson, ",2000,314,An investigation of prompt gamma correction on I-124 PET study,Plane-dependent ML scatter scaling: 3D extension of the 2D simulated single scatter estimate,Propagation of errors from the sensitivity image in list mode reconstruction,Fully 3-D PET reconstruction with system matrix derived from point source measurements,An Analytical Scatter Correction for Singles-Mode Transmission Data in PET,Experimental Comparison of Lesion Detectability for Four Fully-3D PET Reconstruction Schemes,Accurate Event-Driven Motion Compensation in High-Resolution PET Incorporating Scattered and Random Events,Novel Scatter Compensation of List-Mode PET Data Using Spatial and Energy Dependent Corrections,Analysis and Correction of Count Rate Reduction During Simultaneous MR-PET Measurements With the BrainPET Scanner,Penalized Likelihood PET Image Reconstruction Using Patch-Based Edge-Preserving Regularization,An Optimization Transfer Algorithm for Nonlinear Parametric Image Reconstruction From Dynamic PET Data,Direct 4-D PET List Mode Parametric Reconstruction With a Novel EM Algorithm,Completion of a Truncated Attenuation Image From the Attenuated PET Emission Data,Multiple Importance Sampling for PET,Attenuation Correction Synthesis for Hybrid PET-MR Scanners: Application to Brain Studies,PET Image Reconstruction and Deformable Motion Correction Using Unorganized Point Clouds,Sinogram Blurring Matrix Estimation From Point Sources Measurements With Rank-One Approximation for Fully 3-D PET,Parameterization of a model-based 3-D PET scatter correction,Count rate dependence of local signal-to-noise ratio in positron emission tomography,Motion compensation in histogram-mode and list-mode EM reconstructions: beyond the event-driven approach,Lesion detectability and quantification in PET/CT oncological studies by Monte Carlo simulations,Data rebinning and reconstruction in 3-D PET/CT oncological studies: a Monte Carlo evaluation,Observations regarding scatter fraction and NEC measurements for small animal PET,Performance of a high sensitivity PET scanner based on LSO panel detectors,Noise Properties of Four Strategies for Incorporation of Scatter and Attenuation Information in PET Reconstruction Using the EM-ML Algorithm,Count-Rate Dependent Component-Based Normalization for the HRRT,Extension of Single Scatter Simulation to Scatter Correction of Time-of-Flight PET,Reduction of the Influence of Intravenous Contrast in PET/CT by Using a Threshold Conversion Method,Correction Technique for Cascade Gammas in I-124 Imaging on a Fully-3D Time-of-Flight PET Scanner,Performance Characteristics of a New LSO PET/CT Scanner With Extended Axial Field-of-View and PSF Reconstruction
