title,first-author,year,citation
A Fast Learning Algorithm for Deep Belief Nets,"Geoffrey E. Hinton, Simon Osindero, Yee-Whye Teh, Geoffrey E. Hinton, Simon Osindero, Yee-Whye Teh, ",2006,1503,Fault Diagnosis Based on Improved Deep Belief Network,A Dynamic Data-Driven Fine-Tuning Approach for Stacked Auto-Encoder Neural Network,SpO2 based sleep apnea detection using deep learning,Insider Threat Detection Based on Deep Belief Network Feature Representation,Hybridization of PMF and LSTM for Recommendation of Intelligent Resource,Towards Playing a 3D First-Person Shooter Game Using a Classification Deep Neural Network Architecture,Speaker-Independent Silent Speech Recognition From Flesh-Point Articulatory Movements Using an LSTM Neural Network,Unreliable memory operation on a convolutional neural network processor,A Comparative Study on Handwriting Digit Recognition Using Neural Networks,Learning Feature Representations from Change Dependency Graphs for Defect Prediction,Nonlinear system modeling using convolutional neural networks,Graphic Constellations and DBN Based Automatic Modulation Classification,Speech Quality Assessment Over Lossy Transmission Channels Using Deep Belief Networks,Deep learning for financial time series forecasting in A-Trader system,Variational Autoencoded Regression: High Dimensional Regression of Visual Data on Complex Manifold,A hybrid growing ENFN-based neuro-fuzzy system and its rapid deep learning,Tree Classification in Complex Forest Point Clouds Based on Deep Learning,A Comparative Analysis of Deep Learning Techniques for Sub-Tropical Crop Types Recognition from Multitemporal Optical/SAR Image Sequences,A Robust Restricted Boltzmann Machine for Binary Image Denoising,Intelligent Bearing Fault Diagnosis Method Combining Compressed Data Acquisition and Deep Learning,A 2D Deep Boltzmann Machine for Robust and Fast Vehicle Classification,Fine-Tuning Infinity Restricted Boltzmann Machines,Real-Time Brazilian License Plate Detection and Recognition Using Deep Convolutional Neural Networks,Polarimetrie SAR image classification based on deep belief network and superpixel segmentation,Convolutional neural network based solar photovoltaic panel detection in satellite photos,CCLearner: A Deep Learning-Based Clone Detection Approach,Broad learning system: Feature extraction based on K-means clustering algorithm,Extraction of easily interpretable representation using five-layered autoencoder,Classification of anger emotion using Japanese vowel,A multimodal biometrie system for personal identification based on deep learning approaches
Caffe: Convolutional Architecture for Fast Feature Embedding,"Yangqing Jia, Evan Shelhamer, Jeff Donahue, Sergey Karayev, Jonathan Long, Ross Girshick, Sergio Guadarrama, Trevor Darrell, Yangqing Jia, Evan Shelhamer, Jeff Donahue, Sergey Karayev, Jonathan Long, Ross Girshick, Sergio Guadarrama, Trevor Darrell, ",2014,1305,Adaptive ground plane estimation for moving camera-based 3D object tracking,A Dynamic Deep Neural Network Design for Efficient Workload Allocation in Edge Computing,Research on the novel pattern clustering and information mining algorithm based on Bayesian networks and information entropy optimization,weedNet: Dense Semantic Weed Classification Using Multispectral Images and MAV for Smart Farming,Efficient Processing of Deep Neural Networks: A Tutorial and Survey,Performance Evaluation of Deep Learning Tools in Docker Containers,Multi-Label Classification of Frog Species via Deep Learning,Developing a Volunteer Computing Project to Evolve Convolutional Neural Networks and Their Hyperparameters,Nexus: Bringing Efficient and Scalable Training to Deep Learning Frameworks,Can surgical simulation be used to train detection and classification of neural networks?,Egocentric Temporal Action Proposals,Multi-label Modality Classification for Figures in Biomedical Literature,Illumination Correction by Dehazing for Retinal Vessel Segmentation,GFEL: Generalized Feature Embedding Learning Using Weighted Instance Matching,Detecting Small Signs from Large Images,Person classification leveraging Convolutional Neural Network for obstacle avoidance via Unmanned Aerial Vehicles,Keynote: small neural nets are beautiful: enabling embedded systems with small deep-neural- network architectures,Mimicking Very Efficient Network for Object Detection,ViP-CNN: Visual Phrase Guided Convolutional Neural Network,STD2P: RGBD Semantic Segmentation Using Spatio-Temporal Data-Driven Pooling,Learning Multifunctional Binary Codes for Both Category and Attribute Oriented Retrieval Tasks,Fried Binary Embedding for High-Dimensional Visual Features,Deep Roots: Improving CNN Efficiency with Hierarchical Filter Groups,Incorporating Copying Mechanism in Image Captioning for Learning Novel Objects,Discretely Coding Semantic Rank Orders for Supervised Image Hashing,Deep Quantization: Encoding Convolutional Activations with Deep Generative Model,Online Asymmetric Similarity Learning for Cross-Modal Retrieval,Multiple Instance Detection Network with Online Instance Classifier Refinement,Fast Video Classification via Adaptive Cascading of Deep Models,Weakly Supervised Semantic Segmentation Using Web-Crawled Videos
Going deeper with convolutions,"Christian Szegedy, Wei Liu, Yangqing Jia, Pierre Sermanet, Scott Reed, Dragomir Anguelov, Dumitru Erhan, Vincent Vanhoucke, Andrew Rabinovich, Christian Szegedy, Wei Liu, Yangqing Jia, Pierre Sermanet, Scott Reed, Dragomir Anguelov, Dumitru Erhan, Vincent Vanhoucke, Andrew Rabinovich, ",2015,1078,Object Recognition Using Deep Convolutional Features Transformed by a Recursive Network Structure,Multilinear Principal Component Analysis Network for Tensor Object Classification,Liver Fibrosis Classification Based on Transfer Learning and FCNet for Ultrasound Images,Facial Expression Recognition From Image Sequence Based on LBP and Taylor Expansion,A Deep Normalization and Convolutional Neural Network for Image Smoke Detection,Nuclear Architecture Analysis of Prostate Cancer via Convolutional Neural Networks,Efficient Stereo Matching Leveraging Deep Local and Context Information,Age Group and Gender Estimation in the Wild With Deep RoR Architecture,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,G-CNN: Object Detection via Grid Convolutional Neural Network,BundleNet: Learning with Noisy Label via Sample Correlations,Cascaded Regional Spatio-Temporal Feature-Routing Networks for Video Object Detection,Deep Learning Applications in Medical Image Analysis,Analyzing Tongue Images Using a Conceptual Alignment Deep Autoencoder,Towards Emotionally Aware AI Smart Classroom: Current Issues and Directions for Engineering and Education,Fast Deep Neural Networks With Knowledge Guided Training and Predicted Regions of Interests for Real-Time Video Object Detection,Exploiting Convolutional Neural Networks With Deeply Local Description for Remote Sensing Image Classification,Adaptive Feature Mapping for Customizing Deep Learning Based Facial Expression Recognition Model,Additional feature CNN based automatic target recognition in SAR image,DeepBreath: Deep learning of breathing patterns for automatic stress recognition using low-cost thermal imaging in unconstrained settings,Recognition of emotional speech with convolutional neural networks by means of spectral estimates,Transfer learning for high resolution aerial image classification,Stop line detection and distance measurement for road intersection based on deep learning neural network,Ensemble of binary tree structured deep convolutional network for image classification,Detection of various image operations based on CNN,A deep learning architecture for classifying medical images of anatomy object,Parallel Multi Channel convolution using General Matrix Multiplication,Arabic manuscript author verification using deep convolutional networks,FPGA-based convolution neural network for traffic sign recognition,Neural networks: Efficient implementations and applications
Representation Learning: A Review and New Perspectives,"Yoshua Bengio, Aaron Courville, Pascal Vincent, Yoshua Bengio, Aaron Courville, Pascal Vincent, ",2013,1022
Fully convolutional networks for semantic segmentation,"Jonathan Long, Evan Shelhamer, Trevor Darrell, Jonathan Long, Evan Shelhamer, Trevor Darrell, ",2015,835,HS-Nets: Estimating Human Body Shape from Silhouettes with Convolutional Neural Networks,Deeper Depth Prediction with Fully Convolutional Residual Networks,CNN-Based Object Segmentation in Urban LIDAR with Missing Points,Joint Semantic Segmentation and Depth Estimation with Deep Convolutional Networks,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,Room Layout Estimation with Object and Material Attributes Information Using a Spherical Camera,3D Human Pose Estimation via Deep Learning from 2D Annotations,Multimodal Gesture Recognition Using 3-D Convolution and Convolutional LSTM,Tree-Wise Discriminative Subtree Selection for Texture Image Labeling,An Improved Faster R-CNN for Same Object Retrieval,Image Segmentation-Based Multi-Focus Image Fusion Through Multi-Scale Convolutional Neural Network,Gaze-Assisted Multi-Stream Deep Neural Network for Action Recognition,Efficient Stereo Matching Leveraging Deep Local and Context Information,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,Development of Home Intelligent Fall Detection IoT System Based on Feedback Optical Flow Convolutional Neural Network,Automatic Magnetic Resonance Image Prostate Segmentation Based on Adaptive Feature Learning Probability Boosting Tree Initialization and CNN-ASM Refinement,BundleNet: Learning with Noisy Label via Sample Correlations,Fast Fourier Transform Networks for Object Tracking Based on Correlation Filter,Quality Assessment of Retargeted Images Using Hand-Crafted and Deep-Learned Features,Martian Fetch: Finding and retrieving sample-tubes on the surface of mars,Training and evaluating object detection pipelines with connected components,Size-Invariant Fully Convolutional Neural Network for vessel segmentation of digital retinal images,Raw waveform-based speech enhancement by fully convolutional networks,Non-native speech conversion with consistency-aware recursive network and generative adversarial network,An effective segmentation algorithm of apple watercore disease region using fully convolutional neural networks,Multi-resolution for disparity estimation with convolutional neural networks,Training a convolutional neural network for multi-class object detection using solely virtual world data,Semantic labeling for improved vehicle detection in aerial imagery,A study on detecting drones using deep convolutional neural networks,Convolutional Neural Network for Combined Classification of Fluorescent Biomarkers and Expert Annotations using White Light Images
Learning Hierarchical Features for Scene Labeling,"Clement Farabet, Camille Couprie, Laurent Najman, Yann LeCun, Clement Farabet, Camille Couprie, Laurent Najman, Yann LeCun, ",2013,575,Deeply-Learned Feature for Age Estimation,Multiscale fully convolutional network with application to industrial inspection,Deep Context Modeling for Semantic Segmentation,Real Estate Image Classification,A visual attention based convolutional neural network for image classification,Recognition object detection and segmentation of white background photos based on deep learning,Optimize real-valued RBM with Bidirectional Autoencoder,Skin lesion segmentation using deep convolution networks guided by local unsupervised learning,Deep structured features for semantic segmentation,A deep network model based on subspaces: A novel approach for image classification,Energy efficient computing with hyperdimensional vector space models,Features Color Spaces and Boosting: New Insights on Semantic Classification of Remote Sensing Images,Dense Semantic Labeling of Subdecimeter Resolution Images With Convolutional Neural Networks,Deep Recurrent Neural Networks for Hyperspectral Image Classification,Domain Adaptation Network for Cross-Scene Classification,Learning Aerial Image Segmentation From Online Maps,Multiple Kernel Learning for Hyperspectral Image Classification: A Review,High-Resolution Aerial Image Labeling With Convolutional Neural Networks,Deep Learning-Based Classification and Reconstruction of Residential Scenes From Large-Scale Point Clouds,Action Recognition From Depth Maps Using Deep Convolutional Neural Networks,Toward Storytelling From Visual Lifelogging: An Overview,Geodesic Invariant Feature: A Local Descriptor in Depth,Unsupervised Joint Feature Learning and Encoding for RGB-D Scene Labeling,Scene Parsing With Integration of Parametric and Non-Parametric Models,Visual Saliency Detection Based on Multiscale Deep CNN Features,Deep Learning Driven Visual Path Prediction From a Single Image,Exploiting Depth From Single Monocular Images for Object Detection and Semantic Segmentation,Nonlinear Deep Kernel Learning for Image Annotation,HD-MTL: Hierarchical Deep Multi-Task Learning for Large-Scale Visual Recognition,Stacked Learning to Search for Scene Labeling
Deep Residual Learning for Image Recognition,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun, Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun, ",2016,527,CNN-Based Object Segmentation in Urban LIDAR with Missing Points,3D Face Reconstruction by Learning from Synthetic Data,Bearing Fault Diagnosis Using Fully-Connected Winner-Take-All Autoencoder,A Deep Normalization and Convolutional Neural Network for Image Smoke Detection,Efficient Stereo Matching Leveraging Deep Local and Context Information,3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,Improving Low-Dose CT Image Using Residual Convolutional Network,Brightness-Based Convolutional Neural Network for Thermal Image Enhancement,G-CNN: Object Detection via Grid Convolutional Neural Network,Segmentation Mask Refinement Using Image Transformations,Content Popularity Prediction and Caching for ICN: A Deep Learning Approach With SDN,BundleNet: Learning with Noisy Label via Sample Correlations,Cascaded Regional Spatio-Temporal Feature-Routing Networks for Video Object Detection,Deep Learning Applications in Medical Image Analysis,Fast Deep Neural Networks With Knowledge Guided Training and Predicted Regions of Interests for Real-Time Video Object Detection,Recognition of emotional speech with convolutional neural networks by means of spectral estimates,Deep neural networks for anger detection from real life speech data,Transfer learning for high resolution aerial image classification,Raw waveform-based speech enhancement by fully convolutional networks,Efficient CTU-based intra frame coding for HEVC based on deep learning,Voice conversion based on deep neural networks for time-variant linear transformations,Multi-scale salient object detection with pyramid spatial pooling,Deep recurrent resnet for video super-resolution,Single-shot high dynamic range imaging via deep convolutional neural network,A fast CLSM undersampling image reconstruction framework with precise stage positioning for random measurements,Semantic translation with convolutional encoder-decoder networks for viewpoint estimation,A high performance real-time edge detection system with NEON,FPGA-based convolution neural network for traffic sign recognition,Neural networks: Efficient implementations and applications
3D Convolutional Neural Networks for Human Action Recognition,"Shuiwang Ji, Wei Xu, Ming Yang, Kai Yu, Shuiwang Ji, Wei Xu, Ming Yang, Kai Yu, ",2013,516,Continuous action segmentation and recognition using hybrid convolutional neural network-hidden Markov model model,Spatio-temporal multi-scale motion descriptor from a spatially-constrained decomposition for online action recognition,Survey on deep learning methods in human action recognition,Fully convolutional networks for action recognition,Human interaction recognition fusing multiple features of depth sequences,Depth features to recognise dyadic interactions,Driver drowsiness detection using facial dynamic fusion information and a DBN,Coupled Auto-Associative Neural Networks for Heterogeneous Face Recognition,A Deep Awareness Framework for Pervasive Video Cloud,Multimodal Gesture Recognition Using 3-D Convolution and Convolutional LSTM,Enhanced Efficiency 3D Convolution Based on Optimal FPGA Accelerator,Sparse Representation for Crowd Attributes Recognition,Implementation of a Virtual Training Simulator Based on 360° Multi-View Human Action Recognition,Stacked Sparse Autoencoder-Based Deep Network for Fault Diagnosis of Rotating Machinery,Image Segmentation-Based Multi-Focus Image Fusion Through Multi-Scale Convolutional Neural Network,Internal Transfer Learning for Improving Performance in Human Action Recognition for Small Datasets,3D Convolutional Neural Networks for Cross Audio-Visual Matching Recognition,3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI,Development of Home Intelligent Fall Detection IoT System Based on Feedback Optical Flow Convolutional Neural Network,Action Recognition in Video Sequences using Deep Bi-Directional LSTM With CNN Features,Spatially and Temporally Structured Global to Local Aggregation of Dynamic Depth Information for Action Recognition,Real-Time Continuous Detection and Recognition of Subject-Specific Smart TV Gestures via Fusion of Depth and Inertial Sensing,Relative Distance Metric Leaning Based on Clustering Centralization and Projection Vectors Learning for Person Re-Identification,Learning spectro-temporal features with 3D CNNs for speech emotion recognition,Action recognition by single stream convolutional neural networks: An approach using combined motion and static information,Hierarchical motion evolution for action recognition,Mid-level parts mined by feature selection for action recognition,Comparing Image Representations for Training a Convolutional Neural Network to Classify Gender,Sliced voxel representations with LSTM and CNN for 3D shape recognition,Modeling video-based anomaly detection using deep architectures: Challenges and possibilities
CNN Features Off-the-Shelf: An Astounding Baseline for Recognition,"Ali Sharif Razavian, Hossein Azizpour, Josephine Sullivan, Stefan Carlsson, Ali Sharif Razavian, Hossein Azizpour, Josephine Sullivan, Stefan Carlsson, ",2014,474,Object Recognition Using Deep Convolutional Features Transformed by a Recursive Network Structure,Mobile Augmented Reality Survey: From Where We Are to Where We Go,A Fast Feature Fusion Algorithm in Image Classification for Cyber Physical Systems,An Improved Faster R-CNN for Same Object Retrieval,Age Group and Gender Estimation in the Wild With Deep RoR Architecture,Personalized Image Annotation Using Deep Architecture,Retargeted Multi-View Feature Learning With Separate and Shared Subspace Uncovering,Action Recognition in Video Sequences using Deep Bi-Directional LSTM With CNN Features,Robust Covariance Representations With Large Margin Dimensionality Reduction for Visual Classification,Fast and Lightweight Object Detection Network: Detection and Recognition on Resource Constrained Devices,Enhancing RGB CNNs with depth,Stacked partial least squares regression for image classification,Recent advances in biometrie security: A case study of liveness detection in face recognition,Data-augmentation for reducing dataset bias in person re-identification,Fast CNN surveillance pipeline for fine-grained vessel classification and detection in maritime scenarios,Supervised hashing binary code with deep CNN for image retrieval,Determining feature extractors for unsupervised learning on satellite images,Categorizing Big Video Data on the Web: Challenges and Opportunities,Fusing Deep Convolutional Networks for Large Scale Visual Concept Classification,You Will Succeed or Not? Matching Prediction in a Marriage Consulting Service,Pill Recognition Using Minimal Labeled Data,Effective training of convolutional networks using noisy Web images,Learned features versus engineered features for semantic video indexing,Static and dynamic autopsy of deep networks,Fusion of transfer learning features and its application in image classification,Learning semantic segmentation score in weakly supervised convolutional neural network,DLNE: A hybridization of deep learning and neuroevolution for visual control,A new fast object detection architecture combing manually-designed feature and CNN,Big/little deep neural network for ultra low power inference,Synthetic Viewpoint Prediction
Multi-column deep neural networks for image classification,"Dan Ciregan, Ueli Meier, J&uuml;rgen Schmidhuber, Dan Ciregan, Ueli Meier, J&uuml;rgen Schmidhuber, ",2012,403,FPGA-based Acceleration of Deep Neural Networks Using High Level Method,Real-Time Computing of Touch Topology via Poincare–Hopf Index,Learning Deep Features for DNA Methylation Data Analysis,From Multi-Scale Decomposition to Non-Multi-Scale Decomposition Methods: A Comprehensive Survey of Image Fusion Techniques and Its Applications,Automatic Image Annotation Based on Multi-Auxiliary Information,Automatic LPI Radar Waveform Recognition Using CNN,A Recommendation Model Based on Deep Neural Network,Local Subspace Classifier with Gabor Filter Decomposition for Image Classification,Vehicle Detection in Satellite Images by Parallel Deep Convolutional Neural Networks,Beyond human recognition: A CNN-based framework for handwritten character recognition,Convolutional neural codes for image retrieval,Forecasting the demand for UAV using different neural networks topology,Lessons from the neurons themselves,LRADNN: High-throughput and energy-efficient Deep Neural Network accelerator using Low Rank Approximation,Deep quaternion neural networks for spoken language understanding,Adopting the MapReduce framework to pre-train 1-D and 2-D protein structure predictors with large protein datasets,A MapReduce framework to improve template matching uncertainty,Evaluating software-based fingerprint liveness detection using Convolutional Networks and Local Binary Patterns,Supervised hashing binary code with deep CNN for image retrieval,Speech Recognition in Noisy Environments with Convolutional Neural Networks,Deep Neural Networks for Handwritten Chinese Character Recognition,PRIIME: A generic framework for interactive personalized interesting pattern discovery,Materials discovery: Understanding polycrystals from large-scale electron patterns,Enabling versatile analysis of large scale traffic video data with deep learning and HiveQL,Big Social Data Analytics for Public Health: Predicting Facebook Post Performance Using Artificial Neural Networks and Deep Learning,Surgical instruments tracking based on deep learning with lines detection and spatio-temporal context,LabelMovie: Semi-supervised machine annotation tool with quality assurance and crowd-sourcing options for videos,Automatic Lymphocyte Detection on Gastric Cancer IHC Images Using Deep Learning,Lung cancer classification using deep learned features on low population dataset,A Reliable Distributed Convolutional Neural Network for Biology Image Segmentation
