Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information,"E. J. Candes, J. Romberg, T. Tao, ",2006,6454,Regularised reweighted BPDN for compressed video sensing,Compressive sensing of images based on discrete periodic radon transform,Fast sensing matrix construction method oriented towards frequency-sparse signal,Frequency-based image deblurring with periodic point spread function,Weighted overlapped recovery for blocking artefacts reduction in block-based compressive sensing of images,Sparse super-resolution imaging for airborne single channel forward-looking radar in expanded beam space via l<sub>p</sub> regularisation,Exploiting random convolution and random subsampling for image encryption and compression,Gradient-based signal reconstruction algorithm in Hermite transform domain,9-bit time–digital-converter-assisted compressive-sensing analogue–digital-converter with 4 GS/s equivalent speed,Exact support recovery via orthogonal matching pursuit from noisy measurements,VQ-based compressive sensing with high compression quality,Compressive sampling for time critical microwave imaging applications,Towards sparse characterisation of on-body ultra-wideband wireless channels,Noise-aware dictionary-learning-based sparse representation framework for detection and removal of single and combined noises from ECG signal,Sparse block circulant matrices for compressed sensing,Difference sets-based compressive sensing as denoising method for narrow-band power line communications,Impact of channel models on compressed sensing recovery algorithms-based ultra-wideband channel estimation,Reconstruction method for pulse position modulationultra wideband communication signal based on compressed sensing,Despread-ahead cyclic-prefix code division multiple access receiver with compressive sensing channel impulse response estimation,Stable adaptive sparse filtering algorithms for estimating multiple-input–multiple-output channels,Adaptive multi-task compressive sensing for localisation in wireless local area networks,Sparsity-aware channel order-blind pilot placement with channel estimation in orthogonal frequency division multiplexing systems,Sparse K-best detector for generalised space shift keying in large-scale multiple-input–multiple-output systems,Low-complexity large-scale multiple-input multiple-output channel estimation using affine combination of sparse least mean square filters,Frequency-domain wideband compressive spectrum sensing,Restricted isometry constant improvement based on a singular value decomposition-weighted measurement matrix for compressed sensing,Regularised estimation for ARMAX process with measurements subject to outliers,Kernel sparse tracking with compressive sensing,Content-based image retrieval system via sparse representation,Method for detecting text information leakage in electromagnetic radiation from a computer display
Network information flow,"R. Ahlswede, Ning Cai, S. -Y. R. Li, R. W. Yeung, ",2000,4703,Multiuser analogue network coding with code division multiple access,Wireless physical layer network coding in potential presence of malicious relays – incomplete information game approach,Rate region of unicast routing networks,Delay analysis of network coding nodes and Butterfly network employing stop-and-wait automatic repeat request,Maximum euclidean distance network coded modulation for asymmetric decode-and-forward two-way relaying,Multiple-source multiple-destinations relay channels with network coding,Network-coded rateless coding scheme in erasure multiple-access relay enable communications,Performance analysis of network coding-based content distribution in vehicular ad-hoc networks,Use of matroid theory to construct a class of good binary linear codes,Optimisation of layer rate and wavelength allocation based on network coding for multirate optical multicast,Adaptive time division duplexing network with network coding embedded two-way relay,Design of amplify-and-forward relaying schemes for layered relay networks,Opportunistic relaying with analogue and digital network coding for two-way parallel relay network,User-specific link adaptation scheme for device-to-device network coding multicast,Minimum number of antennas and degrees of freedom of multiple-input–multiple-output multi-user two-way relay X channels,Secrecy outage performance for partial relay selection schemes in cooperative systems,SNR-based selective relaying schemes in network-coded two-way relay channels,Efficient combination of polynomial time algorithm and subtree decomposition for network coding,Source and physical-layer network coding for correlated two-way relaying,Opportunistic scheduling for a two-way relay network using Markov decision process,Merge-and-forward: a cooperative multimedia transmissions protocol using RaptorQ codes,Performance analysis of XOR two-way relay with finite buffers and instant scheduling,Caching efficiency of information-centric networking,Formation of network coding coalitions for cooperative communications,Upper bounds for the failure probability of random linear network coding for multicast network,Reduced functional dependence graphs,Minimum-costs of multiple unicasts wireless networks with inter-session network coding,Timely and reliable packets delivery over internet of vehicles for road accidents prevention: a cross-layer approach,On achievability of an (r l) fractional linear network code,Cooperative diversity routing and transmission for wireless sensor networks
Active contours without edges,"T. F. Chan, L. A. Vese, ",2001,4319,Active contours driven by regularised gradient flux flows for image segmentation,Robust local–global SOM-based ACM,Robust active contours for fast image segmentation,Beta-divergence based two-phase segmentation model for synthetic aperture radar images,Illumination variation interference suppression in remote PPG using PLS and MEMD,Efficient algorithm for piecewise-smooth model with approximately explicit solutions,Active contours driven by novel fitting term for image segmentation,Active contours driven by novel LGIF energies for image segmentation,Identifying radiotherapy target volumes in brain cancer by image analysis,Dental radiographs and photographs in human forensic identification,Elastic strips normalisation model for higher iris recognition performance,Global variational method for fingerprint segmentation by three-part decomposition,Shape and appearance priors for level set-based left ventricle segmentation,Probabilistic shape-based segmentation method using level sets,Local feature fitting active contour for segmenting vessels in angiograms,Gradient descent with adaptive momentum for active contour models,Vertebral body segmentation using a probabilistic and universal shape model,Locally adaptive combining colour and depth for human body contour tracking using level set method,Multiplayer tracking system for short track speed skating,Automatic method for white matter lesion segmentation based on T1-fluid-attenuated inversion recovery images,Computer-aided mammogram diagnosis system using deep learning convolutional fully complex-valued relaxation neural network classifier,Fusion of structural and textural features for melanoma recognition,Neighbourhood weighted fuzzy c-means clustering algorithm for image segmentation,Active contour driven by local divergence energies for ultrasound image segmentation,Saliency-based localising active contour for automatic natural object segmentation,Annularcut: A graph-cut design for left ventricle segmentation from magnetic resonance images,Active contours with a joint and region-scalable distribution metric for interactive natural image segmentation,Active contours for image segmentation using complex domain-based approach,Fast localised active contour for inhomogeneous image segmentation,Minimisation of local within-class variance for image segmentation
Matching pursuits with time-frequency dictionaries,"S. G. Mallat, Zhifeng Zhang, ",1993,4109,Noise reduction in chaotic multi-dimensional time series using dictionary learning,Exact support recovery via orthogonal matching pursuit from noisy measurements,Perceptual orthogonal matching pursuit for speech sparse modelling,Blind iterative maximum likelihood-based frequency and transition time estimation for frequency hopping systems,Sparse channel estimation of pulse-shaping multiple-input–multiple-output orthogonal frequency division multiplexing systems with an approximate gradient l<sub>2</sub> – Sl<sub>0</sub> reconstruction algorithm,Packet loss recovery in audio multimedia streaming by using compressive sensing,Parallel algorithm implementation for multi-object tracking and surveillance,Action recognition from mutually incoherent pose bases in static image,Faulty feeder detection based on mixed atom dictionary and energy spectrum energy for distribution network,Effective two-step method for face hallucination based on sparse compensation on over-complete patches,Omni-gradient-based total variation minimisation for sparse reconstruction of omni-directional image,Tuned depth signal analysis on merged transform domain for view synthesis in free viewpoint systems,Sparse-induced similarity measure: mono-modal image registration via sparse-induced similarity measure,Simultaneous image fusion and denoising with adaptive sparse representation,Colour compressed sensing imaging via sparse difference and fractal minimisation recovery,Colour image steganography method based on sparse representation,Three-dimensional inverse synthetic aperture radar imaging based on compressive sensing,Radar high-resolution range profiles target recognition based on stable dictionary learning,Comparison of the acoustic performance and positioning accuracy of three kinds of planar partial discharge ultrasonic array sensors,Discrimination and identification between mainlobe repeater jamming and target echo by basis pursuit,Exploitation of antenna directivity for compressed indoor radar imaging with ghost suppression,Antenna placement optimisation for compressed sensing-based distributed MIMO radar,Extended orthogonal matching pursuit for robust and fast target localisation in multiple-input multiple-output radar,Compressive sensing via sparse difference and fractal and entropy recognition for mass spectrometry sensing data,New inequalities on sparse representation in pairs of bases,Sparse representation-based feature extraction combined with support vector machine for sense-through- foliage target detection and recognition,Matching pursuit for direction of arrival estimation in the presence of Gaussian noise and impulsive noise,Adaptive variable step algorithm for missing samples recovery in sparse signals,Entropic uncertainty inequalities on sparse representation,Union of low-rank subspaces detector
Signal Recovery From Random Measurements Via Orthogonal Matching Pursuit,"Joel A. Tropp, Anna C. Gilbert, ",2007,3311,Blind sparsity weak subspace pursuit for compressed sensing,Improved bounds on restricted isometry constant for orthogonal matching pursuit,Scalable and parameterised VLSI architecture for efficient sparse approximation in FPGAs and SoCs,Optimised projections for generalised distributed compressed sensing,Approaching real-time terahertz imaging with photo-induced coded apertures and compressed sensing,Analogue-to-information conversion using multi-comparator-based integrate-and-fire sampler,Reducing micro-Doppler effect in compressed sensing ISAR imaging for aircraft using limited pulses,2D OMP algorithm for space–time parameters estimation of moving targets,Bayesian algorithm for high-resolution DOA estimation,Adaptive selective compressive sampling for sparse signal acquisition in noisy background,Fast OMP algorithm for 3D parameters super-resolution estimation in bistatic MIMO radar,Sparsity-based SFCW-GPR autofocusing imaging method under EM wave velocity uncertainty,VQ-based compressive sensing with high compression quality,InSAR imaging based on L1 regularisation joint reconstruction via complex approximated message passing,Diagnostic measure to quantify loss of clinical components in multi-lead electrocardiogram,Electrocardiograph signal denoising based on sparse decomposition,Sparse channel estimation of pulse-shaping multiple-input–multiple-output orthogonal frequency division multiplexing systems with an approximate gradient l<sub>2</sub> – Sl<sub>0</sub> reconstruction algorithm,Adaptive multi-task compressive sensing for localisation in wireless local area networks,Sparsity-aware channel order-blind pilot placement with channel estimation in orthogonal frequency division multiplexing systems,Sparse K-best detector for generalised space shift keying in large-scale multiple-input–multiple-output systems,Gradient-based compressive sensing for noise image and video reconstruction,Packet loss recovery in audio multimedia streaming by using compressive sensing,Low computational complexity design over sparse channel estimator in underwater acoustic OFDM communication system,Joint channel estimation and detection using Markov chain Monte Carlo method over sparse underwater acoustic channels,Restricted isometry constant improvement based on a singular value decomposition-weighted measurement matrix for compressed sensing,Sparse inverse fast Fourier transform-based channel estimation for millimetre-wave vector orthogonal frequency division multiplexing systems,Compressive channel estimation for universal filtered multi-carrier system in high-speed scenarios,Smart building uncertainty analysis via adaptive Lasso,Sparse control and compressed sensing in networked switched systems,Locality constrained dictionary learning for non-linear dimensionality reduction and classification
Near-Optimal Signal Recovery From Random Projections: Universal Encoding Strategies?,"Emmanuel J. Candes, Terence Tao, ",2006,2839,Compressive sensing via reweighted TV and nonlocal sparsity regularisation,Separable data hiding in encrypted image based on compressive sensing,Compressive sensing of images based on discrete periodic radon transform,L<sub>q</sub> regularisation-based synthetic aperture radar image feature enhancement via iterative thresholding algorithm,Compressive sampling for time critical microwave imaging applications,Electrocardiograph signal denoising based on sparse decomposition,Sparse block circulant matrices for compressed sensing,Adaptive multi-task compressive sensing for localisation in wireless local area networks,Sparsity-aware channel order-blind pilot placement with channel estimation in orthogonal frequency division multiplexing systems,Sparse K-best detector for generalised space shift keying in large-scale multiple-input–multiple-output systems,Wireless backhaul resource allocation and user-centric clustering in ultra-dense wireless networks,Enhanced fast compressive tracking based on adaptive measurement matrix,Fusion framework for multi-focus images based on compressed sensing,Omni-gradient-based total variation minimisation for sparse reconstruction of omni-directional image,Colour compressed sensing imaging via sparse difference and fractal minimisation recovery,Compressive sensing measurement matrix construction based on improved size compatible array LDPC code,Spinning disk as a spatial light modulator for rapid infrared imaging,Real-valued sparse representation for single snapshot direction-of-arrival estimation in shipborne high-frequency surface wave radar,Sparse representation based two-dimensional direction-of-arrival estimation method with L-shaped array,Doppler ambiguity removal and ISAR imaging of group targets with sparse decomposition,Jittered chirp sequence waveform in combination with CS-based unambiguous Doppler processing for automotive frequency-modulated continuous wave radar,Compressive sensing via sparse difference and fractal and entropy recognition for mass spectrometry sensing data,Cauchy diversity measures: a novel methodology for enhancing sparsity in compressed sensing,Aliasing-free micro-Doppler analysis based on short-time compressed sensing,Separation of undersampled composite signals using the Dantzig selector with overcomplete dictionaries,Compressive sensing for cluster structured sparse signals: variational Bayes approach,Finite projective spaces in deterministic construction of measurement matrices,Computing the proximity operator of the ℓ<sub>p</sub> norm with 0 &lt; p &lt; 1,Reconstruction algorithm using exact tree projection for tree-structured compressive sensing,Efficient noise reduction for interferometric phase image via non-local non-convex low-rank regularisation
"The wavelet transform, time-frequency localization and signal analysis","I. Daubechies, ",1990,2821,Spatially adaptive image denoising using inter-scale dependence in directionlet domain,Multiscale adaptive regularisation Savitzky–Golay method for speckle noise reduction in ultrasound images,Gyrator wavelet transform,Signal recognition and adapted filtering by non-commutative tomography,Search of a robust defect signature in gear systems across adaptive Morlet wavelet of vibration signals,Investigating the effects of vasodilator drugs on the turbulent sound caused by femoral artery stenosis using short-term Fourier and wavelet transform methods,Noise reduction for NMR FID signals via Gabor expansion,Wavelet image extension for analysis and classification of infarcted myocardial tissue,Analysis of pattern reversal visual evoked potentials (PRVEPs) by spline wavelets,Anesthesia control using midlatency auditory evoked potentials,Wavelet analysis of click-evoked otoacoustic emissions,Depth of anesthesia estimation and control [using auditory evoked potentials],Multiscale characterization of chronobiological signals based on the discrete wavelet transform,Adaptive noise energy estimation in pathological speech signals,Fast algorithms for discrete and continuous wavelet transforms,Shiftable multiscale transforms,Noise reduction in tight Weyl-Heisenberg frames,Singularity detection and processing with wavelets,Asymptotic wavelet and Gabor analysis: extraction of instantaneous frequencies,A generalized wavelet transform for Fourier analysis: the multiresolution Fourier transform and its application to image and audio signal analysis,Modeling and estimation of multiresolution stochastic processes,Two applications of wavelet transforms in magnetic resonance imaging,A note on irregular discrete wavelet transforms,On the asymptotic convergence of B-spline wavelets to Gabor functions,The use of the wavelet transform in the detection of an unknown transient signal,Signal-adapted multiresolution transform for image coding,Two theorems on lattice expansions,Wavelet decomposition of harmonizable random processes,The wavelet transform of stochastic processes with stationary increments and its application to fractional Brownian motion,On the density of phase-space expansions
Decoding by linear programming,"E. J. Candes, T. Tao, ",2005,2767,Improved bounds on restricted isometry constant for orthogonal matching pursuit,Object tracking using compressive local appearance model with ℓ<sub>1</sub>-regularisation,Analysis of generalised orthogonal matching pursuit using restricted isometry constant,Improved analysis of greedy block coordinate descent under RIP,Exact support recovery via orthogonal matching pursuit from noisy measurements,Sufficient condition analysis of multipath matching pursuit,Source phone identification using sketches of features,Sparse block circulant matrices for compressed sensing,Impact of channel models on compressed sensing recovery algorithms-based ultra-wideband channel estimation,Sparsity-aware channel order-blind pilot placement with channel estimation in orthogonal frequency division multiplexing systems,Sparse K-best detector for generalised space shift keying in large-scale multiple-input–multiple-output systems,Joint channel estimation and detection using Markov chain Monte Carlo method over sparse underwater acoustic channels,Restricted isometry constant improvement based on a singular value decomposition-weighted measurement matrix for compressed sensing,Regularised estimation for ARMAX process with measurements subject to outliers,Enhanced fast compressive tracking based on adaptive measurement matrix,Omni-gradient-based total variation minimisation for sparse reconstruction of omni-directional image,Facial expression recognition via sparse representation using positive and reverse templates,MR image reconstruction using cosupport constraints and group sparsity regularisation,Super-resolution reconstruction: using non-local structure similarity and edge sharpness dictionary,Perceptual hash algorithm-based adaptive GOP selection algorithm for distributed compressive video sensing,Spinning disk as a spatial light modulator for rapid infrared imaging,Multiple-input–multiple-output radar super-resolution three-dimensional imaging based on a dimension-reduction compressive sensing,Jittered chirp sequence waveform in combination with CS-based unambiguous Doppler processing for automotive frequency-modulated continuous wave radar,Range–Doppler reconstruction for frequency agile and PRF-jittering radar,Detection of unknown and arbitrary sparse signals against noise,Double-level binary tree Bayesian compressed sensing for block structured sparse signals,New inequalities on sparse representation in pairs of bases,Chaotic analogue-to-information conversion with chaotic state modulation,Robust sparse representation for adaptive sensing of turbulent phenomena,Separation of undersampled composite signals using the Dantzig selector with overcomplete dictionaries
Watersheds in digital spaces: an efficient algorithm based on immersion simulations,"L. Vincent, P. Soille, ",1991,2434,Co-segmentation of multiple similar images using saliency detection and region merging,Robust visual tracking based on watershed regions,Adaptive image segmentation algorithm under the constraint of edge posterior probability,Enhanced X-ray image segmentation method using prior shape,Automatic detection of individual and touching moths from trap images by combining contour-based and region-based segmentation,Annularcut: A graph-cut design for left ventricle segmentation from magnetic resonance images,Adaptive image segmentation by using mean-shift and evolutionary optimisation,Saliency detection framework via linear neighbourhood propagation,Morphological segmentation of sport scenes using color information,The watershed algorithm: a method to segment noisy PET transmission images,Fast object tracking in digital video,Seeded region growing,Geodesic saliency of watershed contours and hierarchical segmentation,Parallel image component labelling with watershed transformation,Segmentation of random fields via borrowed strength density estimation,Relaxation methods for supervised image segmentation,Comments on Geodesic saliency of watershed contours and hierarchical segmentation [with reply],Evaluation of methods for ridge and valley detection,Video segmentation by MAP labeling of watershed segments,Snakes on the watershed,An optimal multiedge detector for SAR image segmentation,Optimal edge detection and edge localization in complex SAR images with correlated speckle,On the bias of the likelihood ratio edge detector for SAR images,Automated assessment in HER-2/neu immunohistochemical expression of breast cancer,Registration of real and CT-derived virtual bronchoscopic images to assist transbronchial biopsy,Ovarian ultrasound image analysis: follicle segmentation,Model-based morphological segmentation and labeling of coronary angiograms,Noninvasive estimation of the aorta input function for measurement of tumor blood flow with [/sup 15/O] water,A new approach of geodesic reconstruction for drusen segmentation in eye fundus images,Region-based video coding using mathematical morphology
Entropy-based algorithms for best basis selection,"R. R. Coifman, M. V. Wickerhauser, ",1992,1653,Transform learning algorithm based on the probability of representation of signals,Deterministic and iterative solutions to subset selection problems,Locally stationary covariance and signal estimation with macrotiles,Wavelet footprints: theory algorithms and applications,M-band biorthogonal interpolating wavelets via lifting scheme,Selection of a time-varying quadratic Volterra model using a wavelet packet basis expansion,A new information-theoretic approach to signal denoising and best basis selection,Best basis search in lapped dictionaries,Generalized Phase Shifting for $M$ -Band Discrete Wavelet Packet Transforms,On the Dual-Tree Complex Wavelet Packet and $M$-Band Transforms,Analytic Wavelet Packets—Combining the Dual-Tree Approach With Wavelet Packets for Signal Analysis and Filtering,Stable Edge-Adaptive Multiscale Decompositions Using Updated Normal Offsets,Discriminative Wavelet Packet Filter Bank Selection for Pattern Recognition,A SURE Approach for Digital Signal/Image Deconvolution Problems,Double Sparsity: Learning Sparse Dictionaries for Sparse Signal Approximation,Superposition Frames for Adaptive Time-Frequency Analysis and Fast Reconstruction,Best Basis Compressed Sensing,Time-Varying Jamming Modeling and Classification,Empirical Wavelet Transform,Efficient Least Absolute Deviation Adaptive Wavelet Filter Bank,An Approach to Time-Frequency Analysis With Ridges of the Continuous Chirplet Transform,Enhanced B-Wavelets via Mixed Composite Packets,A possibility study on wavelet packet based algorithm for wireless channel representation,Noise reduction for Doppler ultrasound signal based on the adapted local cosine transform and the garrote thresholding method,A Bioinspired Feature-Projection-Based Approach to Electromyographic Pattern Recognition Based for High Dimensional Sparse Sensor Data,Flaw location from perpendicular NDE ultrasonic transducers using the wavelet packet transform,3E-3 A Comparative Study of Echo Estimation Techniques for Ultrasonic NDE Applications,Acoustic emission detection and classification using wavelet-based power-law detector,On de-cluttering and de-noising ultrasound images with Time-domain Compressive Beamforming,Comparing denoising performance of DWTWPT SWT and DT-CWT for Partial Discharge signals
