Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
Identification and control of dynamical systems using neural networks,"K. S. Narendra, K. Parthasarathy, ",1990,4875,Stable adaptive output feedback controller for a class of uncertain non-linear systems,Adaptive multi-dimensional Taylor network tracking control for SISO uncertain stochastic non-linear systems,Review on model reference adaptive system for sensorless vector control of induction motor drives,Artificial neural network-based modelling of compensated multi-crystalline solar-grade silicon under wide temperature variations,A Resetting Neuro-Controller in the Presence of Unmodeled Dynamics,Adaptive Neuro-Fuzzy Control of Non-Affine Nonlinear Systems,Meta-Learning for Adaptive Identification of Non-Linear Dynamical Systems,Real-Time Implementation of Intelligent Modeling and Control Techniques on a PLC Platform,Neural network control of functional neuromuscular stimulation systems: computer simulation studies,Linear and nonlinear ARMA model parameter estimation using an artificial neural network,Adaptive control of arterial blood pressure with a learning controller based on multilayer neural networks,Neural predictive controller for insulin delivery using the subcutaneous route,Optimization using neural networks,Approximation dimension reduction and nonconvex optimization using linear superpositions of Gaussians,A neural network approach for identification and fault diagnosis on dynamic systems,ADC neural modeling,Error compensation of A/D converters using neural networks,Neural networks and pseudo-measurements for real-time monitoring of distribution systems,Experimental neural networks for prediction and identification,On-line fault detection and diagnosis obtained by implementing neural algorithms on a digital signal processor,Case study of the predictive models used for stability improvement of the DC voltage reference source,A neural network approach for the solution of electric and magnetic inverse problems,Neural network controller characteristics with regard to adaptive control,Learning piecewise control strategies in a modular neural network architecture,Direct control and coordination using neural networks,Toward intelligent flight control,Adaptive control of unknown plants using dynamical neural networks,Reinforcement learning for the adaptive control of nonlinear systems,A recurrent neural net approach to one-step ahead control problems,Filtering prediction and learning properties of ECE neural networks
"Petri nets: Properties, analysis and applications","T. Murata, ",1989,4708,Integrated modelling of medical emergency response process for improved coordination and decision support,Region minimised monitor design for deadlock-prevention of S<sup>4</sup>PR nets,Runway incursion prevention method based on a discrete object sensing event-driven model,Railway infrastructure asset management: the whole-system life cost analysis,Using CSTPNs to model traffic control CPS,IEC 61131-3 Compliant Control Code Generation from Discrete Event Models,Petri Net Modeling of Routing and Operation Flexibility in Production Systems,An Intelligent Architecture for Integrated Control and Asset Management for Industrial Processes,A subject-indexed bibliography of discrete event dynamic systems,Discrete event and hybrid systems in robotics and automation: an overview,Stochastic well-formed colored nets and symmetric modeling applications,Complete decomposition of stochastic Petri nets representing generalized service networks,Complete decomposition of stochastic Petri nets representing generalized service networks,Phased logic: supporting the synchronous design paradigm with delay-insensitive circuitry,Synthesis of hazard-free asynchronous circuits based on characteristic graph,Deriving Petri nets from finite transition systems,Symbolic analysis of bounded Petri nets,Introducing discrete-event control concepts and state-transition methodology into control system curricula,Modeling the enterprise engineering environment,Use of Petri nets for resource allocation in projects,A specification-driven architectural design environment,Modular transformation methods for generalized Petri nets and their application to automated manufacturing systems,A review of synthesis techniques for Petri nets with applications to automated manufacturing systems,Petri net synthesis and analysis of a flexible manufacturing system cell,Fault detection/monitoring using time Petri nets,Modeling analysis and simulation of failures in a materials handling system with extended Petri nets,A Petri net model for temporal knowledge representation and reasoning,On the reachability and reversibility problems in a class of Petri nets,Parameterized Petri nets and their application to planning and coordination in intelligent systems,The dynamic flowgraph methodology for assessing the dependability of embedded software systems
A model of saliency-based visual attention for rapid scene analysis,"L. Itti, C. Koch, E. Niebur, ",1998,4146,Single-image blind deconvolution using gradient saliency map,Image salient region detection based on the learning of feature distribution,Fuzzy treatment of surroundedness based object detection,Informative sequential selection of variable-sized patches for image retrieval,Fixation prediction through multimodal analysis,Visual attention on human face,Saliency-guided object proposal for refined salient region detection,Visual attention analysis and prediction on human faces with mole,Investigation of mobile surroundings for visual attention based on image perception model,Saliency analysis and region of interest detection via orientation information and contrast feature in remote sensing images,Saliency change based reduced reference image quality assessment,Real-time salient object detection engine for high definition videos,The brain mimicking Visual Attention Engine: An 80×60 digital Cellular Neural Network for rapid global feature extraction,Gaze prediction using machine learning for dynamic stereo manipulation in games,Level of Realism for Serious Games,Object detection based on saliency map using reference image containing complex background,Segmentation of Salient Regions in Outdoor Scenes Using Imagery and 3-D Data,Likelihood Map Fusion for Visual Object Tracking,Medical volume image summarization,Saliency retargeting: An approach to enhance image aesthetics,Saliency detection based on proto-objects and topic model,A random center surround bottom up visual attention model useful for salient region detection,Predicting human gaze using quaternion DCT image signature saliency and face detection,Automatic region-of-interest detection and prioritisation for visually optimised coding of low bit rate videos,Visual Saliency Models Based on Spectrum Processing,Fast Approximate Matching of Videos from Hand-Held Cameras for Robust Background Subtraction,Learning an Aesthetic Photo Cropping Cascade,Egocentric Field-of-View Localization Using First-Person Point-of-View Devices,Fixation prediction with a combined model of bottom-up saliency and vanishing point,Unsupervised saliency estimation based on robust hypotheses
An introduction to computing with neural nets,"R. Lippmann, ",1987,3913,Moisture Effects in Soils Using a Frequency Domain Metal Detector,A reconfigurable WSI neural network,Researching the feed-orward neural network by using the piecewise linear division (PLD),An Improved BP Algorithm Based on the Nonlinear Least Square Method and Application in Congestion Control,Texture Analysis of Smoke for Real-Time Fire Detection,Neural network for demodulating the output signals of nonlinear systems with memory,A multi-input power system stabilizer based on artificial neural networks,Speech recognition techniques using RBF networks,Clustering of crop phenotypes by means of hyperspectral signatures using artificial neural networks,A Ultra-Wideband Location Algorithm Based on Neural Network,Recognition of the state of mind using Hamming Swarm Net,Machine learning techniques for Mobile Intelligent Systems: A study,An investigation of using Neuro-Fuzzy with software size estimation,Simulation metamodels,A case study examining the impact of factor screening for Neural Network metamodels,Impacts of application lookahead on distributed network emulation,Critical Infrastructure network analysis enabled by simulation metamodeling,Adaptive filters in digital transmission based on improved LMS algorithm,Defects pattern recognition for flip-chip solder joint quality inspection with laser ultrasound and Interferometer,A Neural-Network Approach for Defect Recognition in TFT-LCD Photolithography Process,I/sub DD/ pulse response testing on analog and digital CMOS circuits,i/sub DD/ pulse response testing applied to complex CMOS ICs,Learning and optimization using the clonal selection principle,Coevolution versus self-play temporal difference learning for acquiring position evaluation in small-board go,Classification of power distribution system fault currents using wavelets associated to artificial neural networks,Fuzzy min-max neural networks - Part 2: Clustering,Self-organization for object extraction using a multilayer neural network and fuzziness measures,A new fuzzy cover approach to clustering,Theta-Fuzzy Associative Memories (Theta-FAMs),Arctic sea ice cloud water and lead classification using neural networks and 1.6-/spl mu/m data
A new optimizer using particle swarm theory,"R. Eberhart, J. Kennedy, ",1995,3871,Robust Optimization in HTS Cable Based on DEPSO and Design for Six Sigma,Design of an alpha-beta filter by combining fuzzy logic with evolutionary methods,Optimal trajectory generation of launch vehicle using PSO algorithm,Optimization of PID controller with first order noise filter,Multiple UAV path planning using anytime algorithms,A new technique to optimize single neuron models using experimental spike train data,Particle Swarm Optimization of Matsuoka's oscillator parameters in human-like control of rhythmic movements,A wind farm active power dispatch strategy for fatigue load reduction,Clustering Hierarchy Protocol in Wireless Sensor Networks Using an Improved PSO Algorithm,Capacity Prognostics of Lithium-Ion Batteries using EMD Denoising and Multiple Kernel RVM,Self-Adaptive Gravitational Search Algorithm With a Modified Chaotic Local Search,Self-Organizing Hierarchical Particle Swarm Optimization of Correlation Filters for Object Recognition,Influence Maximization-Cost Minimization in Social Networks Based on a Multiobjective Discrete Particle Swarm Optimization Algorithm,An Adaptive SVR for High-Frequency Stock Price Forecasting,Optimal Design of PID-Based Low-Pass Filter for Gas Turbine Using Intelligent Method,Current/voltage ripple minimization of DC/DC interface system for renewable energies,Continuous emotion recognition using a particle swarm optimized NARX neural network,Acoustic model topology optimization using evolutionary methods,A particle swarm optimization-least mean squares algorithm for adaptive filtering,Comparison of Cat Swarm Optimization with particle swarm optimization for IIR system identification,Conjointly well localized modulated lapped orthogonal transforms,A two stage learning technique for dual learning in the pursuit-evasion differential game,Considering the series compensation in optimal coordination of directional overcurrent protections using PSO technique,A Methodology for Optimum Sensor Localization/Selection in Fault Diagnosis,Concept development of a multi-vehicle system for an operationally responsive mission,Adaptive Formation Control and Bio-inspired Optimization of a Cluster-based Satellite Wireless Sensor Network,Self-Scaling Evolution of analog computation circuits with digital accuracy refinement,Optimizing Fuzzy K-means for network anomaly detection using PSO,GPSO: An improved search algorithm for resource allocation in cloud databases,Improved Particle Swarm Optimization Algorithm Based on Social Psychology
The self-organizing map,"T. Kohonen, ",1990,3118,Method for estimating the energy consumption of electric vehicles and plug-in hybrid electric vehicles under real-world driving conditions,Short-term wind power forecasting and uncertainty analysis using a hybrid intelligent method,Self-organizing map in recognition of topographic patterns of EEG spectra,Morphological feature extraction for the classification of digital images of cancerous tissues,A patient-adaptable ECG beat classifier using a mixture of experts approach,Unsupervised pattern recognition for the classification of EMG signals,A brain-controlled switch for asynchronous control applications,Competitive learning algorithms and neurocomputer architecture,PD pattern recognition with neural networks using the multilayer perceptron technique,Detection and classification of buried dielectric anomalies using neural networks-further results,Vector quantization for texture classification,Toward intelligent flight control,Anticipation-based temporal pattern generation,A neural network approach to photometric stereo inversion of real-world reflectance maps for extracting 3-D shapes of objects,Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets,A self-organizing switched-capacitor neural network,Hierarchical GTM: constructing localized nonlinear projection manifolds in a principled way,Automatic initial estimation of the left ventricular myocardial midwall in emission tomograms using Kohonen maps,Filtering for texture classification: a comparative study,Data compression and local metrics for nearest neighbor classification,Online and off-line handwriting recognition: a comprehensive survey,A neural network classifier based on Dempster-Shafer theory,Adaptive behavior navigation of a mobile robot,A new algorithm for Kohonen layer learning with application to power system stability analysis,Discrete vector quantization for arbitrary distance function estimation,Multiple competitive learning network fusion for object classification,A survey of fuzzy clustering algorithms for pattern recognition. I,A survey of fuzzy clustering algorithms for pattern recognition. II,Designing syntactic pattern classifiers using vector quantization and parametric string editing,Test feature classifiers: performance and applications
Training feedforward networks with the Marquardt algorithm,"M. T. Hagan, M. B. Menhaj, ",1994,3047,Improved artificial neural network RF noise model for MOSFETs operating in avalanche region,Development of thermistor signal conditioning circuit using artificial neural networks,Artificial Neural Network Based Adaptive Load Shedding for an Industrial Cogeneration Facility,Design of Optimal Coasting Speed for MRT Systems Using ANN Models,Calibrating an industrial microwave six-port instrument using the artificial neural network technique,A novel method for reducing the dimensionality in a sensor array,The human-based multisensor fusion method for artificial nose and tongue sensor data,Mixed neural-conventional processing to differentiate airway diseases by means of functional noninvasive tests,3-D finite-element analysis of eddy-current evaluation of curved plates,The design and performance of a neural network for predicting turbo decoding error with application to hybrid ARQ protocols,A continually online-trained neural network controller for brushless DC motor drives,Online identification and control of a DC motor using learning adaptation of neural networks,Transformer top-oil temperature modeling and simulation,Adaptive tracking controller for induction motor drives using online training of neural networks,Online training of parallel neural network estimators for control of induction motors,Multigradient: a new neural network learning algorithm for pattern classification,Oil well diagnosis by sensing terminal characteristics of the induction motor,Feature extraction and classification of dynamic contrast-enhanced T2*-weighted breast image data,An artificial-intelligence approach to ECG analysis,Neural networks for classification: a survey,Development and implementation of neural network observers to estimate the state vector of a synchronous generator from on-line operating data,Neural network based modeling of a large steam turbine-generator rotor body parameters from on-line disturbance data,Prediction of top-oil temperature for transformers using neural networks,Extended least squares based algorithm for training feedforward networks,Advanced neural-network training algorithm with reduced complexity based on Jacobian deficiency,Simulated annealing and weight decay in adaptive learning: the SARPROP algorithm,A neural approach for control of nonlinear systems with feedback linearization,Design of neural networks for fast convergence and accuracy: dynamics and control,Feedforward networks training speed enhancement by optimal initialization of the synaptic coefficients,A general backpropagation algorithm for feedforward neural networks learning
Cellular neural networks: theory,"L. O. Chua, L. Yang, ",1988,3027,CNN universal chips crank up the computing power,TOPS information processing on a single chip,In the blink of a silicon eye,A deterministic built-in self-test generator based on cellular automata structures,A CNN-based passive optical range finder for real-time robotic applications,A cellular neural network for packet selection in a fast packet switching fabric with input buffers,Stability of a class of nonreciprocal cellular neural networks,High-order absolutely stable neural networks,A chaotic attractor with cellular neural networks,A CNN chip for connected component detection,CNN cloning template: connected component detector,CNN cloning template: hole-filler,CNN cloning template: shadow detector,The CCD neural processor: a neural network integrated circuit with 65536 programmable analog synapses,On a class of nonsymmetrical neural networks with application to ADC,Cellular neural networks: applications,Stability of cellular neural networks with opposite-sign templates,Comments with reply on Chaos from third-order phase-locked loops with a slowly varying parameter by Y.-H. Chu et al,A simple algorithm for finding all solutions of piecewise-linear networks,An analytic method for designing simple cellular neural networks,On the analysis of neural networks with asymmetric connection weights or noninvertible transfer functions,Cellular neural network for automated detection of geological lineaments on Radarsat images,Qualitative limitations incurred in implementations of recurrent neural networks,Associative memories via artificial neural networks,Adaptive control and synchronization of uncertain unified chaotic system by cellular neural networks,Smart-pixel cellular neural networks in analog current-mode CMOS technology,Shunting neural network photodetector arrays in analog CMOS,A programmable analog cellular neural network CMOS chip for high speed image processing,Operational transconductance amplifier-based nonlinear function syntheses,Office of Naval Research contributions to neural networks and signal processing in oceanic engineering
Statistical pattern recognition: a review,"A. K. Jain, R. P. W. Duin, Jianchang Mao, ",2000,2665,On classifiers for blind feature-based automatic modulation classification over multiple-input–multiple-output channels,Morphological mapping for non-linear dimensionality reduction,Unsupervised feature selection based on spectral regression from manifold learning for facial expression recognition,Handwritten numeral recognition using non-redundant Stockwell transform and bio-inspired optimal zoning,Thresholding method for dimensionality reduction in recognition systems,Mean shift: a robust approach toward feature space analysis,Content-based image retrieval at the end of the early years,Complexity measures of supervised classification problems,Unsupervised learning of finite mixture models,Clustering in image space for place recognition and visual annotations for human-robot interaction,Three-dimensional computer-aided diagnosis scheme for detection of colonic polyps,Automatic detection of abnormalities in chest radiographs using local texture analysis,An overview of character recognition focused on off-line handwriting,Knowledge management tutorial: an editorial overview,A review of speech-based bimodal recognition,/spl mu/ARTMAP: use of mutual information for category reduction in Fuzzy ARTMAP,Subspace information criterion for nonquadratic regularizers-Model selection for sparse regressors,Image classification for content-based indexing,On-board selection of relevant images: an application to linear feature recognition,Information-Theoretic Feature Selection for Classification,Automatic Target Recognition in Synthetic Aperture Radar Imagery: A State-of-the-Art Review,MLP Neural Network Based Gas Classification System on Zynq SoC,Content Centric Network With Label Aided User Modeling and Cellular Partition,A Respiration-Derived Posture Method Based on Dual-Channel Respiration Impedance Signals,Rolling Bearing Fault Diagnosis Using Modified LFDA and EMD With Sensitive Feature Selection,A Nuclear Norm Based Matrix Regression Based Projections Method for Feature Extraction,Universal no reference image quality assessment metrics based on local dependency,Discriminative model selection for Gaussian mixture models for classification,Classification Based on Boolean Algebra and Its Application to the Prediction of Recurrence of Liver Cancer,A Real Helper Data Scheme
