Content-based image retrieval at the end of the early years,"A. W. M. Smeulders, M. Worring, S. Santini, A. Gupta, R. Jain, ",2000,2535,Multi-scale orderless cross-regions-pooling of deep attributes for image retrieval,Multi-scale saliency detection via inter-regional shortest colour path,Unsupervised discovery of human activities from long-time videos,Automatic image annotation by a loosely joint non-negative matrix factorisation,Local directional mask maximum edge patterns for image retrieval and face recognition,Performance improvement of fuzzy-based algorithms for medical image retrieval,Weighting scheme for image retrieval based on bag-of-visual-words,Accurate system for automatic pill recognition using imprint information,New non-negative sparse feature learning approach for content-based image retrieval,Face detection in color images,Wavelet-based texture retrieval using generalized Gaussian density and Kullback-Leibler distance,Computational media aesthetics: finding meaning beautiful,Understanding Heterogeneous EO Datasets: A Framework for Semantic Representations,Combining feature selectors in a product advertisement classification system,Very Fast Image Retrieval Based on JPEG Huffman Tables,Towards a segmentation and recognition-free approach for content-based document image retrieval of handwritten queries,Modulation domain texture retrieval for CBIR in digital libraries,Efficient speaker identification using distributional speaker model clustering,Efficient speaker identification using distributional speaker model clustering,Compact storage of correlated data for content based retrieval,A Model-Based Interactive Object Segmentation Procedure,Basic Concepts and Distinctions for an Aerospace Ontology of Functions Entities and Problems,Enhanced visual evaluation of feature extractors for image mining,WAY-LOOK4: A CBIR system based on class signature of the images' color and texture features,Content-based image retrieval system using neural network,CBIR using the 2-D ESPRIT method: Application to Coil_100 database,Texture Image Retrieval System Based on Non-Subsampled Contourlet and Generalized Gaussian Density Model,Automatic Identification of Shot Body Region from Clinical Photographies,Combining regional and global features for automatic image annotation based on VQ,Image Retrieval Using Maximum Frequency of Local Histogram Based Color Correlogram
Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik, ",2014,1531,HS-Nets: Estimating Human Body Shape from Silhouettes with Convolutional Neural Networks,Automatic 3D Car Model Alignment for Mixed Image-Based Rendering,Multiview RGB-D Dataset for Object Instance Detection,Joint Semantic Segmentation and Depth Estimation with Deep Convolutional Networks,Fast Single Shot Detection and Pose Estimation,Object Recognition Using Deep Convolutional Features Transformed by a Recursive Network Structure,Multimodal Gesture Recognition Using 3-D Convolution and Convolutional LSTM,Depth Map Reconstruction for Underwater Kinect Camera Using Inpainting and Local Image Mode Filtering,Tree-Wise Discriminative Subtree Selection for Texture Image Labeling,Stacked Sparse Autoencoder-Based Deep Network for Fault Diagnosis of Rotating Machinery,An Improved Faster R-CNN for Same Object Retrieval,Personalized Image Annotation Using Deep Architecture,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,G-CNN: Object Detection via Grid Convolutional Neural Network,Development of Home Intelligent Fall Detection IoT System Based on Feedback Optical Flow Convolutional Neural Network,Cascaded Regional Spatio-Temporal Feature-Routing Networks for Video Object Detection,Dataset Optimization for Real-Time Pedestrian Detection,Analyzing Tongue Images Using a Conceptual Alignment Deep Autoencoder,Fast Fourier Transform Networks for Object Tracking Based on Correlation Filter,Detection of Human Falls on Furniture Using Scene Analysis Based on Deep Learning and Activity Characteristics,Fast and Lightweight Object Detection Network: Detection and Recognition on Resource Constrained Devices,Perceived emotion from images through deep neural networks,Enhanced Camera Capturing Using Object-Detection-Based Autofocus on Smartphones,Enhancing RGB CNNs with depth,Multi-attribute learning for pedestrian attribute recognition in surveillance scenarios,1000fps human segmentation with deep convolutional neural networks,How to initialize the CNN for small datasets: Extracting discriminative filters from pre-trained model,Facial smile detection based on deep learning features,Hierarchical motion evolution for action recognition,Very deep convolutional neural network based image classification using small training sample size
SIMPLIcity: semantics-sensitive integrated matching for picture libraries,"J. Z. Wang, Jia Li, G. Wiederhold, ",2001,961
Fully convolutional networks for semantic segmentation,"Jonathan Long, Evan Shelhamer, Trevor Darrell, ",2015,835,HS-Nets: Estimating Human Body Shape from Silhouettes with Convolutional Neural Networks,Deeper Depth Prediction with Fully Convolutional Residual Networks,CNN-Based Object Segmentation in Urban LIDAR with Missing Points,Joint Semantic Segmentation and Depth Estimation with Deep Convolutional Networks,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,Room Layout Estimation with Object and Material Attributes Information Using a Spherical Camera,3D Human Pose Estimation via Deep Learning from 2D Annotations,Multimodal Gesture Recognition Using 3-D Convolution and Convolutional LSTM,Tree-Wise Discriminative Subtree Selection for Texture Image Labeling,An Improved Faster R-CNN for Same Object Retrieval,Image Segmentation-Based Multi-Focus Image Fusion Through Multi-Scale Convolutional Neural Network,Gaze-Assisted Multi-Stream Deep Neural Network for Action Recognition,Efficient Stereo Matching Leveraging Deep Local and Context Information,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,Development of Home Intelligent Fall Detection IoT System Based on Feedback Optical Flow Convolutional Neural Network,Automatic Magnetic Resonance Image Prostate Segmentation Based on Adaptive Feature Learning Probability Boosting Tree Initialization and CNN-ASM Refinement,BundleNet: Learning with Noisy Label via Sample Correlations,Fast Fourier Transform Networks for Object Tracking Based on Correlation Filter,Quality Assessment of Retargeted Images Using Hand-Crafted and Deep-Learned Features,Martian Fetch: Finding and retrieving sample-tubes on the surface of mars,Training and evaluating object detection pipelines with connected components,Size-Invariant Fully Convolutional Neural Network for vessel segmentation of digital retinal images,Raw waveform-based speech enhancement by fully convolutional networks,Non-native speech conversion with consistency-aware recursive network and generative adversarial network,An effective segmentation algorithm of apple watercore disease region using fully convolutional neural networks,Multi-resolution for disparity estimation with convolutional neural networks,Training a convolutional neural network for multi-class object detection using solely virtual world data,Semantic labeling for improved vehicle detection in aerial imagery,A study on detecting drones using deep convolutional neural networks,Convolutional Neural Network for Combined Classification of Fluorescent Biomarkers and Expert Annotations using White Light Images
Supervised Learning of Semantic Classes for Image Annotation and Retrieval,"Gustavo Carneiro, Antoni B. Chan, Pedro J. Moreno, Nuno Vasconcelos, ",2007,404
Automatic soccer video analysis and summarization,"A. Ekin, A. M. Tekalp, R. Mehrotra, ",2003,394,Flexible soccer video summarization in compressed domain,A two-stage shot boundary detection framework in the presence of fast movements: Application to soccer videos,Impact of China's sports information network construction factors,Representative Frame Decoration using unsharp filter in video summarization,Hierarchical Temporal Association Mining for Video Event Detection in Video Databases,SmartVideoRanking: Video Search by Mining Emotions from Time-Synchronized Comments,Event boundary determination based on attack-defense transition analysis in soccer video,A novel framework of shot boundary detection for uncompressed videos,Application Research of Video Annotation in Sports Video Analysis,Sport Video Intelligence Analysis Using Mid-Level and Low-Level Vision Information,Soccer Video Structure Analysis by Parallel Feature Fusion Network and Hidden-to-Observable Transferring Markov Model,Event detection in soccer videos using shot focus identification,Ground Color Customization of Soccer Videos,Representative selection for big data via sparse graph and geodesic Grassmann manifold distance,A Simple and Fast Segmentation Approach for Sport Scene Images,Counterattack detection in broadcast soccer videos using camera motion estimation,Calibración de una cámara fisheye comercial con el modelo unificado para la observación de objetos múltiples,Soccer Video Annotation Using Ontologies Extended with Visual Prototypes,Action Categorization in Soccer Videos Using String Kernels,Formula 1 onboard camera shot detector using motion activity areas,Event summarization in videos,Color-based maximally stable extremal region for sports genre categorization,On using on-the-fly students' notes in video lecture indexing,Study on Highlights Detection in Soccer Video Based on the Location of Slow Motion Replay and Goal Net Recognition,Overlaid Text Recognition for Matching Soccer-Concept Keywords,Soccer Ball Tracking Using Dynamic Kalman Filter with Velocity Control,An efficient framework for analyzing periodical activities in sports videos,Current and Emerging Topics in Sports Video Processing,Event detection based on generic characteristics of field-sports,Replay Scene Classification in Soccer Video Using Web Broadcast Text
Semantic texton forests for image categorization and segmentation,"Jamie Shotton, Matthew Johnson, Roberto Cipolla, ",2008,347
Discovering objects and their location in images,"J. Sivic, B. C. Russell, A. A. Efros, A. Zisserman, W. T. Freeman, ",2005,342,Boosting the Computational Performance of Feature-Based Multiple 3D Scan Alignment by iat-k-means Clustering,A Semi-Supervised Image Classification Model Based on Improved Ensemble Projection Algorithm,Interesting region detection in aerial video using Bayesian topic models,Temporal structure methods for image-based change analysis,Latent Dirichlet Allocation based organisation of broadcast media archives for deep neural network adaptation,Simultaneous Object Recognition and Localization in Image Collections,Lightweight Binary Voxel Shape Features for 3D Data Matching and Retrieval,Semi-supervised object recognition using flickr images,Search of objects of interest in videos,Face Recognition via Spatial-PLSA,Non-negative Matrix Factorization for Inferring Implicit Preference of Potential Customer,Unsupervised Object Learning with AM-pLSA,Modeling and Classifying Breast Tissue Density in Mammograms,Spatial Weighting for Bag-of-Features,Unsupervised Discovery of Action Classes,Using Multiple Segmentations to Discover Objects and their Extent in Image Collections,Animals on the Web,Beyond Bags of Features: Spatial Pyramid Matching for Recognizing Natural Scene Categories,Depth from Familiar Objects: A Hierarchical Model for 3D Scenes,Region Classification with Markov Field Aspect Models,A Hierarchical Model of Shape and Appearance for Human Action Classification,Learning Color Names from Real-World Images,A Topic-Motion Model for Unsupervised Video Object Discovery,Multiple Class Segmentation Using A Unified Framework over Mean-Shift Patches,Learning Motion Categories using both Semantic and Structural Information,Unsupervised Learning of Hierarchical Semantics of Objects (hSOs),Fusing Local Image Descriptors for Large-Scale Image Retrieval,Unsupervised learning of probabilistic object models (POMs) for object classification segmentation and recognition,Incremental learning of nonparametric Bayesian mixture models,Beyond sliding windows: Object localization by efficient subwindow search
Object categorization by learned universal visual dictionary,"J. Winn, A. Criminisi, T. Minka, ",2005,331,A Survey of Dictionary Learning Algorithms for Face Recognition,Semantic segmentation of objects from airborne imagery,A Novel Method to Construct Visual Vocabulary Based on Maximization of Mutual Information,Traditional Chinese Medicine formula evaluation using multi-instance multi-label framework,Hallucinating faces in the dark,In defense of low-level structural features and SVMs for facial attribute classification: Application to detection of eye state Mouth State and eyeglasses in the wild,A bag of visual words approach for centromere and cytoplasmic staining pattern classification on HEp-2 images,Image Retrieval Based on the Color Textons Descriptor,Spatial Relationship for Object Recognition,Asymmetric learning using a cascade codebook for image classification,Interactive Image Segmentation Based on Region Merging Using Hierarchical Match Mechanism,Discriminative Object Class Models of Appearance and Shape by Correlatons,Hierarchical Statistical Learning of Generic Parts of Object Structure,Principled Hybrids of Generative and Discriminative Models,Using Multiple Segmentations to Discover Objects and their Extent in Image Collections,Tree-based Classifiers for Bilayer Video Segmentation,Beyond Local Appearance: Category Recognition from Pairwise Interactions of Simple Features,Incorporating On-demand Stereo for Real Time Recognition,Discovery of Collocation Patterns: from Visual Words to Visual Phrases,Multiple Class Segmentation Using A Unified Framework over Mean-Shift Patches,Fisher Kernels on Visual Vocabularies for Image Categorization,Discriminative Cluster Refinement: Improving Object Category Recognition Given Limited Training Data,Toward A Discriminative Codebook: Codeword Selection across Multi-resolution,Semantic texton forests for image categorization and segmentation,Unifying discriminative visual codebook generation with classifier training for object category recognition,Unsupervised discovery of visual object class hierarchies,Discriminative learned dictionaries for local image analysis,Learning human actions via information maximization,Performance evaluation of state-of-the-art discrete symmetry detection algorithms,Robust unsupervised segmentation of degraded document images with topic models
Automatic image segmentation by integrating color-edge extraction and seeded region growing,"Jianping Fan, D. K. Y. Yau, A. K. Elmagarmid, W. G. Aref, ",2001,250,Tumor boundary extraction using intensity texture and gradient vector,Automatic Hybrid Genetic Algorithm Based Printed Circuit Board Inspection,A Novel Hybrid Approach of Color Image Segmentation,Insulator Surface Dirt Image Detection Technology Based on Improved Watershed Algorithm,A new seeded region growing algorithm for large object segmentation,Synergy of Symmetric Region Grow and Active Contour in Reconstruction of a 3D Rat,MR brain image segmentation based on wavelet transform and SOM neural network,Fast segmentation based on a hybrid of clustering and morphological approaches,A Markov random fields model for hybrid edge- and region-based color image segmentation,Neural Networks for Color Image Segmentation: Application to Sapwood Assessment,Determination of ripeness and grading of tomato using image analysis on Raspberry Pi,Glomerulus extraction by using genetic algorithm for edge patching,Color-Texture Segmentation of Medical Images Based on Local Contrast Information,Exploiting automatic image segmentation to human detection and depth estimation,Extraction of Semantic Keyframes Based on Visual Attention and Affective Models,Real time target tracking based on nonlinear mean shift and particle filters,Accurate extraction of human faces and their components from color digital images based on a hierarchical model,An improved fuzzy clustering approach using possibilist c-means algorithm: Application to medical image MRI,A Novel Approach of Rectangular Shape Object Detection in Color Images Based on An MRF Model,Integrating Color and Gradient into Real-time Curve Tracking,A Simple Single Seeded Region Growing Algorithm for Color Image Segmentation using Adaptive Thresholding,Efficient Color Boundary Detection with Color-Opponent Mechanisms,Principal Video Shot: Linking Low-Level Perceptional Features to Semantic Video Events,A region-based approach combining marker-controlled active contour model and morphological operator for image segmentation,PolSAR image filtering based on feature detection using the wavelet transform,Object model and two-stage classification for automated object-based analysis of remote sensing imagery,Cloud detection based on segmentation with statistical and geometry features,A Texture and Color Based Method for Color Image Segmentation,Combining feature-based and model-based approaches for robust ellipse detection,Color image segmentation by seeded region growing and region merging
