Overview of the H.264/AVC video coding standard,"T. Wiegand, G. J. Sullivan, G. Bjontegaard, A. Luthra, ",2003,3803,Quantitative Evaluation of Human Visual Perception for Multiple Screens and Multiple Codecs,High Dynamic Range Video Production Delivery and Rendering,Video Compression and Its Role in the History of Television,Quantitative Evaluation of Human Visual Perception for Multiple Screens and Multiple CODECs,Analyzing and Optimizing Video Quality in the New H.265 (HEVC) Standard,A stochastic optimization approach for dynamic adaptive scalable video streaming over NDN,Exploiting computation skip to reduce energy consumption by approximate computing an HEVC encoder case study,Subjective and objective quality assessment of MPEG-2 H.264 and H.265 videos,Improvement of HEVC inter-coding mode using multiple transforms,Reducing computational complexity in HEVC decoder for mobile energy saving,Efficient parallel architecture for a real-time UHD scalable HEVC encoder,Heuristics for tile parallelism in HEVC,QoE based comparison of H.264/AVC and WebM/VP8 in an error-prone wireless network,Visual information exploited hybrid digital-analog scheme for wireless video multicast,DeepCoder: A deep neural network based video compression,Multi-class ranking based most probable prediction unit selection for HEVC encoding,Neural network-based arithmetic coding of intra prediction modes in HEVC,A new method for significance map decoding acceleration in the CABAD regular hardware engine,A Fast Linear-Prediction Fractional-Pixel Search Algorithm,Scalable high efficiency video coding (SHEVC) performance evaluation,SCAST: Wireless Video Multicast Scheme Based on Segmentation and Softcast,Adaptive GoP dividing video coding for wireless broadcast based on power allocation optimization,A prioritization scheme for H.264/AVC video congestion resilience with IEEE 802.11e,Adaptive rateless coding for data-partitioned video streaming over a broadband wireless channel,Decoding Path Selection for Multi-View Video System,An indoor wireless visual sensor network basing on light-fidelity communication,A hybrid no-reference video quality assessment based on region of interest,Hybrid digital-analog video multicast scheme based on H.264/AVC and SoftCast,Energy consumption evaluation of H.264 and HEVC video encoders in high-resolution live streaming,Distributed compressive video coding using Enhanced side information for WSN
"A new, fast, and efficient image codec based on set partitioning in hierarchical trees","A. Said, W. A. Pearlman, ",1996,3209,Efficient complex radial basis function model for multiuser detection in a space division multiple access/multiple-input multiple-output-orthogonal frequency division multiplexing system,Exploiting chrominance planes similarity on listless quadtree coders,Reduced memory low complexity embedded image compression algorithm using hierarchical listless discrete tchebichef transform,High-payload block-based data hiding scheme using hybrid edge detector with minimal distortion,Three-dimensional separate descendant-based SPIHT algorithm for fast compression of high-resolution medical image sequences,Hybrid WPT-BDCT transform for high-quality image compression,Low-complexity and efficient image coder/decoder with quad-tree search model for embedded computing platforms,Wavelet and wavelet packet compression of electrocardiograms,Wavelet compression of ECG signals by the set partitioning in hierarchical trees algorithm,A quality-on-demand algorithm for wavelet-based compression of electrocardiogram signals,Cascaded differential and wavelet compression of chromosome images,Quantization,Data compression and harmonic analysis,Lossy source coding,Distortion-rate bounds for fixed- and variable-rate multiresolution source codes,Statistical imaging and complexity regularization,Tiling and adaptive image compression,Error protection for progressive image transmission over memoryless and fading channels,Progressive source coding for a power constrained Gaussian channel,Structure-significant representation of structured datasets,A DCT-based embedded image coder using wavelet structure of DCT for very low bit rate video codec,Rate-distortion based optimization for zerotree entropy wavelet coding,Fault resilient and compression tolerant digital signature for image authentication,Very low bit rate color image compression by using stack-run-end coding,Image encryption for secure Internet multimedia applications,VLSI design of an efficient embedded zerotree wavelet coder with function of digital watermarking,Robust image transmission over CDMA channels,The JPEG2000 still image coding system: an overview,Robust image communication over wireless channels,SAR image compression with the Gabor transform
Rate-constrained coder control and comparison of video coding standards,"T. Wiegand, H. Schwarz, A. Joch, F. Kossentini, G. J. Sullivan, ",2003,2925,Keeping Video Quality Pristine throughout the Production Process: Introducing 10-bit 4:2:2 AVC/H.264 Encoding,Hybrid digital-analog video multicast scheme based on H.264/AVC and SoftCast,An optimized SIMD implementation of the HEVC/H.265 video decoder,Enhanced prioritization for video streaming over QoS-enabled wireless networks,An Optimized Rate Control Algorithm for H.264 Under Low Delay Constraint,A New Intra Coding Method for Spatial Scalability in Scalable Video Coding,Predictive Picture Refresh Based on Scene-Context Reference Picture for Video Transmission,Fast Motion Estimation with Multilevel Successive Elimination Algorithm and Early Termination for H.264/AVC Video Coding,Joint Iterative Source Channel Decoder for Video Transmitted Stream,Multilevel Cross-Layer Feedback Based Adaptive Video Coding for Wireless Transmission,Robust Video Watermarking Algorithm Based on H.264,Stereo Video Communication Based on Unequal Error Protection Scheme of LDPC Code,Efficient Spatial Interpolation Using a Simplified Up-Sampling Filter for Chrominance Component,Format-Compliant Entropy Coding Encryption Algorithms for Wireless Video System,Streaming Video in Cellular Networks Using Scalable Video Coding Extension of H.264-AVC,A Novel Format-Compliant Video Encryption Scheme for H.264/AVC Stream in Wireless Network,SVC tunneling for media-aware content delivery: Impact on video quality,Decision tree modeling for video routing in cognitive radio mesh networks,Encoding and communication energy consumption trade-off in H.264/AVC based video sensor network,eSMART: Energy-efficient Scalable Multimedia Broadcast for heterogeneous users,Non-integer bit estimation for enhanced inter-picture prediction in H.265/HEVC,Distortion Management Scheme for Multiuser Video Transmission in OFDM Systems,Video Packetization Techniques for Enhancing H.264 Video Transmission over 3G Networks,[Title page i],Estimating an End-User's Received Video Signal at the Transmitter Using Cross-Layer Feedback,A Cross-Layer Architecture for Motion-Adaptive Video Transmission over MIMO Channels,A Low Complexity Rate Control Algorithm for Portable Applications,Scalable and low cost design approach for variable block size motion estimation (VBSME),Broadcasting VBR Traffic in a WiMAX Network,QoS-Aware Scheduling and Resource Allocation for Video Streams in e-MBMS Towards LTE-A System
Embedded image coding using zerotrees of wavelet coefficients,"J. M. Shapiro, ",1993,2919,Projection VQ Applied to Video Sequence Encoding,Optimal compression of vibration data with lifting wavelet transform and context-based arithmetic coding,Symmetric Scalable Multiple Description Scalar Quantization,General Embedded Quantization for Wavelet-Based Lossy Image Coding,Effective Channel Gain Estimation in cellular wireless networks,Social Sparsity! Neighborhood Systems Enrich Structured Shrinkage Operators,Hierarchical Infinite Divisibility for Multiscale Shrinkage,Group Sparse Recovery via the $ell ^0(ell ^2)$ Penalty: Theory and Algorithm,Noise-resistant fitting for spherical harmonics,Hierarchical Tensor Approximation of Multi-Dimensional Visual Data,A Statistical Approach to Volume Data Quality Assessment,Scalable L-Infinite Coding of Meshes,Fixed-Rate Compressed Floating-Point Arrays,Adaptive Multilinear Tensor Product Wavelets,On exploring inter-iteration parallelism within rate-balanced multirate multidimensional DSP algorithms,Non-RAM-based architectural designs of wavelet-based digital systems based on novel nonlinear I/O data space transformations,Reduced-rate retransmissions for spread-spectrum packet radio multimedia networks,A Block-Based Still Image Coder for Parallel Computing,3D-4 Analysis of Ultrasonic 3-D Image Compression Using Non-Uniform Separable Wavelet Transforms,Adaptive 3D ultrasonic data compression using distributed processing engines,Real-time Two-Stage SPECK (TSSP) design and implementation for scalable video coding on embedded systems,The hierarchical signal dependent transform: Creating orthonormal basis that match local signal characteristics,Virtual Data Warehouse architecture for real-time WebGIS,Bandwidth efficient and error resilient image coding for Rayleigh fading channels,UEP of progressive images in wireless channels,Multi-priority video partitioning for CDMA based communication systems,Image fusion using the expectation-maximization algorithm and a hidden Markov model,Tree-Structured Multiple Description Coding for Multiview Mobile TV and Camera-Phone Networks,Dynamic RSVP for mobile IPv6 in wireless networks,Image transmission with multiuser detection over DS/CDMA channels
Secure spread spectrum watermarking for multimedia,"I. J. Cox, J. Kilian, F. T. Leighton, T. Shamoon, ",1997,2680,Fragile and blind watermarking technique based on Weber's law for medical image authentication,Covert communications through mobile voice channels,Image watermark detection in the wavelet domain using Bessel K densities,Robust quantisation index modulation-based approach for image watermarking,Efficient wavelet-based perceptual watermark masking for robust fingerprint image watermarking,Geometric modelling of the wavelet coefficients for image watermarking using optimum detector,Digital image watermarking using partial pivoting lower and upper triangular decomposition into the wavelet domain,Reversible data hiding in JPEG images utilising zero quantised coefficients,Block-based discrete wavelet transform-singular value decomposition image watermarking scheme using human visual system characteristics,Digital video steganalysis toward spread spectrum data hiding,Amplitude-adaptive spread-spectrum data embedding,Tracing traitors,Quantization index modulation: a class of provably good methods for digital watermarking and information embedding,Document identification for copyright protection using centroid detection,Data hiding in images via multiple-based number conversion and lossy compression,A watermarking technique based on one-way hash functions,A programmable DSP solution to a solid state audio player,An adaptive digital image watermarking technique for copyright protection,Fault resilient and compression tolerant digital signature for image authentication,Digital watermarking using zerotree of DCT,Joint wavelet and spatial transformation for digital watermarking,A watermarking sequence using parities of error control coding for image authentication and correction,Multiresolution watermarking for video based on gray-level digital watermark,Attacks on digital watermarks: classification estimation based attacks and benchmarks,Protecting digital image copyrights: a framework,Digital watermarking: from concepts to real-time video applications,Orientation tracking for outdoor augmented reality registration,A New 3D Watermarking Algorithm,Digital watermarks: Shedding light on the invisible,Hiding digital watermarks using multiresolution wavelet transform
Video Google: a text retrieval approach to object matching in videos,"J. Sivic, A. Zisserman, ",2003,2185
Overview of the Scalable Video Coding Extension of the H.264/AVC Standard,"Heiko Schwarz, Detlev Marpe, Thomas Wiegand, ",2007,2075,Layer-based RED-FEC (L-RED-FEC) method for wireless scalable video streaming,Asymmetrically frame-compatible depth video coding,Reliable scalable video streaming using layer weight switching-based unequal Luby transform,Real-time unified architecture for forward/inverse discrete cosine transform in high efficiency video coding,Enhanced unequal error protection coding scheme of Luby transform codes,Design of expanding window fountain codes with unequal power allocation over BIAWGN channels,Window-based adaptive technique for real-time streaming of scalable video over cognitive radio networks,Variable bit rate video traffic prediction based on kernel least mean square method,Pyramid coding based rate control for variable bit rate video streaming,Efficient frame-level bit allocation algorithm for H.265/HEVC,A video distribution game with enhanced quality of experience for wireless networks,Inter-View Rate Allocation Using Efficient Layer Extraction for Stereo Video Streaming Over IP,Multiview plus depth scalable coding in the depth domain,Impact of depth map spatial resolution on 3D video quality and depth perception,Asymmetric spatial scalability in stereoscopic video coding,Process-in-Network for Image Providing Services,P2P Live Streaming System with Content Recommendation Based on Users' Preference,P2P Live Streaming Distribution System with Fast Content Switching and Category-Based Recommendation Function,Wireless Video Surveillance: A Survey,QoE-Enabled Big Video Streaming for Large-Scale Heterogeneous Clients and Networks in Smart Cities,Video Streaming in the Multiuser Indoor Visible Light Downlink,Hierarchical Colour-Shift-Keying Aided Layered Video Streaming for the Visible Light Downlink,Historical Information Aware Unequal Error Protection of Scalable HEVC/H.265 Streaming Over Free Space Optical Channels,MapReduce-Based Distributed Video Encoding Using Content-Aware Video Segmentation and Scheduling,Modeling Dynamic Adaptive Streaming Over Information-Centric Networking,Quantum Search-Aided Multi-User Detection of IDMA-Assisted Multi-Layered Video Streaming,Authentication of Scalable Video Coding Streams Based on Topological Sort on Decoding Dependency Graph,CoolConferencing: Enabling Robust Peer-to-Peer Multi-Party Video Conferencing,A Layered Hybrid-ARQ Scheme for Scalable Video Multicast Over Wireless Networks,Determining efficient bit stream extraction paths in H.264/AVC scalable video coding
Overview of the High Efficiency Video Coding (HEVC) Standard,"Gary J. Sullivan, Jens-Rainer Ohm, Woo-Jin Han, Thomas Wiegand, ",2012,2060
Pfinder: real-time tracking of the human body,"C. R. Wren, A. Azarbayejani, T. Darrell, A. P. Pentland, ",1997,2033,Video object segmentation using background model based on pixel time series clustering,Requirements for stereovision-based access control for physical spaces,Training for physical tasks in virtual environments: Tai Chi,The analysis of human motion and its application for visual surveillance,Multi-camera colour tracking,Robust person tracking in real scenarios with non-stationary background using a statistical computer vision approach,Frame-rate omnidirectional surveillance and tracking of camouflaged and occluded targets,A real-time system for monitoring of cyclists and pedestrians,Video surveillance of interactions,POSTRACK: a low cost real-time motion tracking system for VR application,Efficient occlusion handling for multiple agent tracking by reasoning with surveillance event primitives,Comparison of target detection algorithms using adaptive background models,Performance evaluation of a real time video surveillance system,Evaluation of object tracking for aircraft activity surveillance,Background initialization with a new robust statistical approach,Modeling background from compressed video,Evaluation of Motion Segmentation Quality for Aircraft Activity Surveillance,PETS Metrics: On-Line Performance Evaluation Service,Tracking Multiple Video Objects in Complex Scenes,3D Target Tracking Using Multiple Calibrated Cameras,Real-time visually guided human figure control using IK-based motion synthesis,A Novel Thresholding Approach to Background Subtraction,AirTouch: Interacting with computer systems at a distance,A nonintrusive system for behavioral analysis of children using multiple RGB+depth sensors,Generalized Sum of Gaussians for Real-Time Human Pose Tracking from a Single Depth Sensor,Scene-independent feature- and classifier-based vehicle headlight and shadow removal in video sequences,Research on Dynamic Vehicle Detection and Image Capture Based on Adaptive Background,Real Time People Tracking and Counting in Visual Surveillance,Moving Target Detection in Video Monitoring System,Moving Target Detection Based on Background Modeling by Multi-level Median Filter
Query by image and video content: the QBIC system,"M. Flickner, H. Sawhney, W. Niblack, J. Ashley, Qian Huang, B. Dom, M. Gorkani, J. Hafner, D. Lee, D. Petkovic, D. Steele, P. Yanker, ",1995,1535,A unified framework for semantic shot classification in sports video,Nonparametric motion characterization for robust classification of camera motion patterns,A Learned Lexicon-Driven Paradigm for Interactive Video Retrieval,Major Cast Detection in Video Using Both Speaker and Face Information,Shape Indexing and Recognition Based on Regional Analysis,Motion Flow-Based Video Retrieval,Integrated Mining of Visual Features Speech Features and Frequent Patterns for Semantic Video Annotation,Robust Spatial Matching for Object Retrieval and Its Parallel Implementation on GPU,Extracting semantics from audio-visual content: the final frontier in multimedia retrieval,Blobworld: image segmentation using expectation-maximization and its application to image querying,Matching and retrieval of distorted and occluded shapes using dynamic programming,Unsupervised feature selection applied to content-based retrieval of lung images,Integrating relevance feedback techniques for image retrieval using reinforcement learning,Segmenting Modeling and Matching Video Clips Containing Multiple Moving Objects,Distance Learning for Similarity Estimation,80 Million Tiny Images: A Large Data Set for Nonparametric Object and Scene Recognition,A Statistical Framework for Image Category Search from a Mental Picture,Geometry-Based Image Retrieval in Binary Image Databases,The 3D Wunderkammer: an indexing by placing approach to the image storage and retrieval,Complex Zernike Moments Features for Shape-Based Image Retrieval,A Novel Evolutionary Approach for Optimizing Content-Based Image Indexing Algorithms,A Dynamic User Concept Pattern Learning Framework for Content-Based Image Retrieval,Three-dimensional interfaces for querying by example in content-based image retrieval,Feature Analysis Based on Edge Extraction and Median Filtering for CBIR,A personalized multimedia retrieval frame based on user interest,The semantics of sketch: Flexibility in visual query systems for time series data,A fuzzy feature clustering with relevance feedback approach to content-based image retrieval,An interface for semantic browsing of an images database,Edge detection techniques in image retrieval: the semantic meaning of edge,Virtual image: keyframe or visual icon?
