title,first-author,year,citation
A Fast Learning Algorithm for Deep Belief Nets,Geoffrey E. Hinton,2006,1503,https://ieeexplore.ieee.org/document/6796673/citations?tabFilter=papers
Caffe: Convolutional Architecture for Fast Feature Embedding,Yangqing Jia,2014,1305,https://ieeexplore.ieee.org/document/7660513/citations?tabFilter=papers
Going deeper with convolutions,Christian Szegedy,2015,1078,https://ieeexplore.ieee.org/document/7298594/citations?tabFilter=papers
Representation Learning: A Review and New Perspectives,Yoshua Bengio,2013,1022,https://ieeexplore.ieee.org/document/6472238/citations?tabFilter=papers
Fully convolutional networks for semantic segmentation,Jonathan Long,2015,835,https://ieeexplore.ieee.org/document/7298965/citations?tabFilter=papers
Learning Hierarchical Features for Scene Labeling,Clement Farabet,2013,575,https://ieeexplore.ieee.org/document/6338939/citations?tabFilter=papers
Deep Residual Learning for Image Recognition,Kaiming He,2016,527,https://ieeexplore.ieee.org/document/7780459/citations?tabFilter=papers
3D Convolutional Neural Networks for Human Action Recognition,Shuiwang Ji,2013,516,https://ieeexplore.ieee.org/document/6165309/citations?tabFilter=papers
CNN Features Off-the-Shelf: An Astounding Baseline for Recognition,Ali Sharif Razavian,2014,474,https://ieeexplore.ieee.org/document/6910029/citations?tabFilter=papers
Multi-column deep neural networks for image classification,Dan Ciregan,2012,403,https://ieeexplore.ieee.org/document/6248110/citations?tabFilter=papers
Extracting and composing robust features with denoising autoencoders,Pascal Vincent,2008,376,https://ieeexplore.ieee.org/document/5885554/citations?tabFilter=papers
Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,Honglak Lee,2009,342,https://ieeexplore.ieee.org/document/5886454/citations?tabFilter=papers
Learning hierarchical invariant spatio-temporal features for action recognition with independent subspace analysis,Quoc V. Le,2011,313,https://ieeexplore.ieee.org/document/5995496/citations?tabFilter=papers
FaceNet: A unified embedding for face recognition and clustering,Florian Schroff,2015,259,https://ieeexplore.ieee.org/document/7298682/citations?tabFilter=papers
Long-term recurrent convolutional networks for visual recognition and description,Jeff Donahue,2015,258,https://ieeexplore.ieee.org/document/7298878/citations?tabFilter=papers
"Deep Learning Face Representation from Predicting 10,000 Classes",Yi Sun,2014,243,https://ieeexplore.ieee.org/document/6909640/citations?tabFilter=papers
The relationship between Precision-Recall and ROC curves,Jesse Davis,2006,239,https://ieeexplore.ieee.org/document/7669956/citations?tabFilter=papers
A unified architecture for natural language processing: deep neural networks with multitask learning,Ronan Collobert,2008,236,https://ieeexplore.ieee.org/document/5885437/citations?tabFilter=papers
Conditional Random Fields as Recurrent Neural Networks,Shuai Zheng,2015,223,https://ieeexplore.ieee.org/document/7410536/citations?tabFilter=papers
Deep visual-semantic alignments for generating image descriptions,Andrej Karpathy,2015,212,https://ieeexplore.ieee.org/document/7298932/citations?tabFilter=papers
Image Super-Resolution Using Deep Convolutional Networks,Chao Dong,2016,205,https://ieeexplore.ieee.org/document/7115171/citations?tabFilter=papers
DeepPose: Human Pose Estimation via Deep Neural Networks,Alexander Toshev,2014,203,https://ieeexplore.ieee.org/document/6909610/citations?tabFilter=papers
Deep Machine Learning - A New Frontier in Artificial Intelligence Research [Research Frontier],Itamar Arel,2010,186,https://ieeexplore.ieee.org/document/5605630/citations?tabFilter=papers
MatConvNet: Convolutional Neural Networks for MATLAB,Andrea Vedaldi,2015,177,https://ieeexplore.ieee.org/document/7658523/citations?tabFilter=papers
Learning Deconvolution Network for Semantic Segmentation,Hyeonwoo Noh,2015,170,https://ieeexplore.ieee.org/document/7410535/citations?tabFilter=papers
