Cognitive radio: making software radios more personal,"J. Mitola, G. Q. Maguire, ",1999,4813,Discontinuous spectrum sensing scheme for energy-constrained cognitive radio networks,Spectrum sensing method based on goodness of fit test using chi-square distribution,Spectrum sensing based on goodness of fit test with unilateral alternative hypothesis,Spectrum sensing method based on likelihood ratio goodness-of-fit test,9-bit time–digital-converter-assisted compressive-sensing analogue–digital-converter with 4 GS/s equivalent speed,Efficient cooperative spectrum sensing for three-hop cognitive wireless relay networks,Spectrum sensing and power efficiency trade-off optimisation in cognitive radio networks over fading channels,Relay selection in cognitive radio networks with interference constraints,Total throughput maximisation in a cognitive radio network,Scheme for opportunistic spectrum access in cognitive radio,Joint design of sensing and transmission in energyefficient cognitive radio systems over fading channels,Cooperative spectrum sensing using opportunistic amplify-and-forward relaying over Nakagami-m fading channels,Optimisation of multi-channel cooperative sensing in cognitive radio networks,New algorithm for joint subchannel and power allocation in multi-cell OFDMA-based cognitive radio networks,Rate enhancement for cognitive radios using the relationship between transmission rate and signal-to-interference ratio statistics,Spectrum sensing in cognitive radio networks with known and unknown noise levels,Cooperative communication between cognitive and primary users,Constellation expansion-based sidelobe suppression for cognitive radio systems,Outage probability analysis of cognitive relay network with four relay selection and end-to-end performance with modified quasi-orthogonal space–time coding,Distributed space-time-frequency block code for cognitive wireless relay networks,Power allocation for orthogonal frequency division multiplexing-based cognitive radio networks with cooperative relays,Link decision algorithm in underlay cognitive radio networks over a Rayleigh fading channel,Centralised cooperative spectrum sensing under correlated shadowing,Cooperative spectrum sharing systems with relay selection in the presence of multiple primary receivers,Sliding window Dixon's tests for malicious users' suppression in a cooperative spectrum sensing system,Optimal power allocation for asymmetric analogue network coding in cognitive radio,Energy efficient cognitive radio network based on multiband sensing and spectrum sharing,Blind multiband spectrum sensing for cognitive radio systems with smart antennas,Joint detection scheme for spectrum sensing over time-variant flat fading channels,Joint resource allocation and power control for cellular and device-to-device multicast based on cognitive radio
Outline of a New Approach to the Analysis of Complex Systems and Decision Processes,"Lotfi A. Zadeh, ",1973,4133,A Kind of Learning Gain Design Method for Energy-Function-Based Iterative Learning Control,Multiple drug hemodynamic control by means of a supervisory-fuzzy rule-based adaptive control system: validation on a model,Multiple-drug hemodynamic control using fuzzy decision theory,Depth of anesthesia estimation and control [using auditory evoked potentials],A modular approach to intelligent control of a simulated jointed leg,Fuzzy-logic tools on tap for IC wafers,Fuzzy stochastic gradient decision feedback equalizer for VSB terrestrial HDTV broadcasting,Fuzzy Grading System,An educational tool for fuzzy logic-controlled BDCM,Construction risk assessment by linguistics,A Dempster-Shafer-based approach to compromise decision making with multiattributes applied to product selection,Fuzzy logic applications: Technological and strategic issues,Fuzzy assessment of machine flexibility,A fuzzy-logic-based approach to project selection,Fuzzy handling of measurement errors in instrumentation,Combined channel estimation and data decoding based on fuzzy logic,Fuzzy logic,Integration of fuzzy techniques in a CAD/CAM system,Fuzzy logic for scaling finite element solutions of electromagnetic fields,An artificial intelligence system for a complex electromagnetic field problem. I. Finite element calculations and fuzzy logic development,Integrated decision support system for environmental planning,Design of a fuzzy controller using input and output mapping factors,A referential scheme of fuzzy decision making and its neural network structure,Fuzzy-attribute graph with application to Chinese character recognition,Discrete event fuzzy airport control,A model for a rider-motorcycle system using fuzzy control,Two-layer multiple-variable fuzzy logic controller,A new approach to handling fuzzy decision-making problems,An approximate analogical reasoning approach based on similarity measures,Fuzzy qualitative simulation
Matching pursuits with time-frequency dictionaries,"S. G. Mallat, Zhifeng Zhang, ",1993,4109,Noise reduction in chaotic multi-dimensional time series using dictionary learning,Exact support recovery via orthogonal matching pursuit from noisy measurements,Perceptual orthogonal matching pursuit for speech sparse modelling,Blind iterative maximum likelihood-based frequency and transition time estimation for frequency hopping systems,Sparse channel estimation of pulse-shaping multiple-input–multiple-output orthogonal frequency division multiplexing systems with an approximate gradient l<sub>2</sub> – Sl<sub>0</sub> reconstruction algorithm,Packet loss recovery in audio multimedia streaming by using compressive sensing,Parallel algorithm implementation for multi-object tracking and surveillance,Action recognition from mutually incoherent pose bases in static image,Faulty feeder detection based on mixed atom dictionary and energy spectrum energy for distribution network,Effective two-step method for face hallucination based on sparse compensation on over-complete patches,Omni-gradient-based total variation minimisation for sparse reconstruction of omni-directional image,Tuned depth signal analysis on merged transform domain for view synthesis in free viewpoint systems,Sparse-induced similarity measure: mono-modal image registration via sparse-induced similarity measure,Simultaneous image fusion and denoising with adaptive sparse representation,Colour compressed sensing imaging via sparse difference and fractal minimisation recovery,Colour image steganography method based on sparse representation,Three-dimensional inverse synthetic aperture radar imaging based on compressive sensing,Radar high-resolution range profiles target recognition based on stable dictionary learning,Comparison of the acoustic performance and positioning accuracy of three kinds of planar partial discharge ultrasonic array sensors,Discrimination and identification between mainlobe repeater jamming and target echo by basis pursuit,Exploitation of antenna directivity for compressed indoor radar imaging with ghost suppression,Antenna placement optimisation for compressed sensing-based distributed MIMO radar,Extended orthogonal matching pursuit for robust and fast target localisation in multiple-input multiple-output radar,Compressive sensing via sparse difference and fractal and entropy recognition for mass spectrometry sensing data,New inequalities on sparse representation in pairs of bases,Sparse representation-based feature extraction combined with support vector machine for sense-through- foliage target detection and recognition,Matching pursuit for direction of arrival estimation in the presence of Gaussian noise and impulsive noise,Adaptive variable step algorithm for missing samples recovery in sparse signals,Entropic uncertainty inequalities on sparse representation,Union of low-rank subspaces detector
Gradient-based learning applied to document recognition,"Y. Lecun, L. Bottou, Y. Bengio, P. Haffner, ",1998,3875,Alpha-numeric hand gesture recognition based on fusion of spatial feature modelling and temporal feature modelling,Fisher kernels match deep models,SparseConnect: regularising CNNs on fully connected layers,In-DRAM bitwise processing circuit for low-power and fast computation,Automatic ear detection and feature extraction using Geometric Morphometrics and convolutional neural networks,Deeply vulnerable: a study of the robustness of face recognition to presentation attacks,Genetic algorithm-optimised structure of convolutional neural network for face recognition applications,Driving posture recognition by convolutional neural networks,A comparison of deep multilayer networks and Markov random field matching models for face recognition in the wild,Video anomaly detection using deep incremental slow feature analysis network,Continuous action segmentation and recognition using hybrid convolutional neural network-hidden Markov model model,Deep convolutional neural networks for automatic segmentation of left ventricle cavity from cardiac magnetic resonance images,Retrieval of striated toolmarks using convolutional neural networks,Extensive exploration of comprehensive vehicle attributes using D-CNN with weighted multi-attribute strategy,Chinese vehicle license plate recognition using kernel-based extreme learning machine with deep convolutional features,Traffic light control using deep policy-gradient and value-function-based reinforcement learning,Driver drowsiness detection using facial dynamic fusion information and a DBN,Shape matching and object recognition using shape contexts,Discriminative Filters for Depth from Defocus,Innovating adaptive and neural systems instruction with interactive electronic books,Design and implementation of a biologically realistic olfactory cortex in analog VLSI,Clustering and classification in structured data domains using Fuzzy Lattice Neurocomputing (FLN),Processing directed acyclic graphs with recursive neural networks,Big Data Deep Learning: Challenges and Perspectives,Coupled Auto-Associative Neural Networks for Heterogeneous Face Recognition,StochasticNet: Forming Deep Neural Networks via Stochastic Connectivity,AG-MIC: Azure-Based Generalized Flow for Medical Image Classification,Improving the Robustness of Neural Networks Using K-Support Norm Based Adversarial Training,Multilinear Principal Component Analysis Network for Tensor Object Classification,Enhanced Efficiency 3D Convolution Based on Optimal FPGA Accelerator
Fuzzy logic in control systems: fuzzy logic controller. I,"C. C. Lee, ",1990,3277,Fuzzy PI controlled inverter for grid interactive renewable energy systems,Automatic Generation of Fuzzy Inference Systems Using Unsupervised Learning,Robust Adaptive Control of Uncertain Nonlinear Systems Using Fuzzy Logic Systems,Multiple drug hemodynamic control by means of a supervisory-fuzzy rule-based adaptive control system: validation on a model,Effects of mechanical stress/strain and estrogen on cancellous bone structure predicted by fuzzy decision,A subject-indexed bibliography of discrete event dynamic systems,Outdoor mobile robot learning and adaptation,A fuzzy search algorithm for the estimation of motion vectors,Neural-network-based fuzzy logic control and decision system,An educational tool for fuzzy logic-controlled BDCM,An active vertical-direction gravity compensation system,Optimization of fuzzy logic inference architecture,Fuzzy logic for scaling finite element solutions of electromagnetic fields,An artificial intelligence system for a complex electromagnetic field problem. I. Finite element calculations and fuzzy logic development,Design and implementation of a fuzzy controller for a high performance induction motor drive,A model for a rider-motorcycle system using fuzzy control,Two-layer multiple-variable fuzzy logic controller,On a hierarchical structure for fuzzy modeling and control,Fuzzy gain scheduling of PID controllers,Interpolation completion and learning fuzzy rules,A methodology using fuzzy logic to optimize feedforward artificial neural network configurations,A systematic approach to obtaining fuzzy sets for control systems,A new methodology for designing a fuzzy logic controller,Fuzzy logic controllers are universal approximators,Analysis and synthesis of fuzzy closed-loop control systems,A fuzzy logic based extension to Payton and Rosenblatt's command fusion method for mobile robot navigation,A fuzzy approach to elevator group control system,Including probabilistic uncertainty in fuzzy logic controller modeling using Dempster-Shafer theory,Direct adaptive regulation of unknown nonlinear dynamical systems via dynamic neural networks,Fuzzy logic in control systems: fuzzy logic controller. I
Watersheds in digital spaces: an efficient algorithm based on immersion simulations,"L. Vincent, P. Soille, ",1991,2434,Co-segmentation of multiple similar images using saliency detection and region merging,Robust visual tracking based on watershed regions,Adaptive image segmentation algorithm under the constraint of edge posterior probability,Enhanced X-ray image segmentation method using prior shape,Automatic detection of individual and touching moths from trap images by combining contour-based and region-based segmentation,Annularcut: A graph-cut design for left ventricle segmentation from magnetic resonance images,Adaptive image segmentation by using mean-shift and evolutionary optimisation,Saliency detection framework via linear neighbourhood propagation,Morphological segmentation of sport scenes using color information,The watershed algorithm: a method to segment noisy PET transmission images,Fast object tracking in digital video,Seeded region growing,Geodesic saliency of watershed contours and hierarchical segmentation,Parallel image component labelling with watershed transformation,Segmentation of random fields via borrowed strength density estimation,Relaxation methods for supervised image segmentation,Comments on Geodesic saliency of watershed contours and hierarchical segmentation [with reply],Evaluation of methods for ridge and valley detection,Video segmentation by MAP labeling of watershed segments,Snakes on the watershed,An optimal multiedge detector for SAR image segmentation,Optimal edge detection and edge localization in complex SAR images with correlated speckle,On the bias of the likelihood ratio edge detector for SAR images,Automated assessment in HER-2/neu immunohistochemical expression of breast cancer,Registration of real and CT-derived virtual bronchoscopic images to assist transbronchial biopsy,Ovarian ultrasound image analysis: follicle segmentation,Model-based morphological segmentation and labeling of coronary angiograms,Noninvasive estimation of the aorta input function for measurement of tumor blood flow with [/sup 15/O] water,A new approach of geodesic reconstruction for drusen segmentation in eye fundus images,Region-based video coding using mathematical morphology
Query by image and video content: the QBIC system,"M. Flickner, H. Sawhney, W. Niblack, J. Ashley, Qian Huang, B. Dom, M. Gorkani, J. Hafner, D. Lee, D. Petkovic, D. Steele, P. Yanker, ",1995,1535,A unified framework for semantic shot classification in sports video,Nonparametric motion characterization for robust classification of camera motion patterns,A Learned Lexicon-Driven Paradigm for Interactive Video Retrieval,Major Cast Detection in Video Using Both Speaker and Face Information,Shape Indexing and Recognition Based on Regional Analysis,Motion Flow-Based Video Retrieval,Integrated Mining of Visual Features Speech Features and Frequent Patterns for Semantic Video Annotation,Robust Spatial Matching for Object Retrieval and Its Parallel Implementation on GPU,Extracting semantics from audio-visual content: the final frontier in multimedia retrieval,Blobworld: image segmentation using expectation-maximization and its application to image querying,Matching and retrieval of distorted and occluded shapes using dynamic programming,Unsupervised feature selection applied to content-based retrieval of lung images,Integrating relevance feedback techniques for image retrieval using reinforcement learning,Segmenting Modeling and Matching Video Clips Containing Multiple Moving Objects,Distance Learning for Similarity Estimation,80 Million Tiny Images: A Large Data Set for Nonparametric Object and Scene Recognition,A Statistical Framework for Image Category Search from a Mental Picture,Geometry-Based Image Retrieval in Binary Image Databases,The 3D Wunderkammer: an indexing by placing approach to the image storage and retrieval,Complex Zernike Moments Features for Shape-Based Image Retrieval,A Novel Evolutionary Approach for Optimizing Content-Based Image Indexing Algorithms,A Dynamic User Concept Pattern Learning Framework for Content-Based Image Retrieval,Three-dimensional interfaces for querying by example in content-based image retrieval,Feature Analysis Based on Edge Extraction and Median Filtering for CBIR,A personalized multimedia retrieval frame based on user interest,The semantics of sketch: Flexibility in visual query systems for time series data,A fuzzy feature clustering with relevance feedback approach to content-based image retrieval,An interface for semantic browsing of an images database,Edge detection techniques in image retrieval: the semantic meaning of edge,Virtual image: keyframe or visual icon?
The control of discrete event systems,"P. J. G. Ramadge, W. M. Wonham, ",1989,1402,Observability analysis and observer design for finite automata via matrix approach,Optimal Control of Discrete-Time Hybrid Automata under Safety and Liveness Constraints,Discrete event and hybrid systems in robotics and automation: an overview,Petri net synthesis and analysis of a flexible manufacturing system cell,Optimal supervision of discrete event systems in a temporal logic framework,Incremental design of a power transformer station controller using a controller synthesis methodology,A framework for hybrid control design,A structured adaptive supervisory control methodology for modeling the control of a discrete event manufacturing system,Computational complexity of determining resource loops in re-entrant flow lines,Discrete event representation of qualitative models using Petri nets,Control synthesis of timed discrete event systems based on predicate invariance,Avoidance versus detection and recovery problem in buffer-space allocation of flexibly automated production systems,Specifying goal-oriented network management systems,Application of discrete-event-system theory to flexible manufacturing,Performance evaluation of discrete manufacturing systems,A new matrix model for discrete event systems: application to simulation,Multiagent supervisory control for antifault propagation in serial production systems,Sequential synthesis using S1S,Design of embedded systems: formal models validation and synthesis,A game theoretic approach to controller design for hybrid systems,Logics for hybrid systems,Effective synthesis of switching controllers for linear systems,Supervisory control of hybrid systems,Supervisory control of electric power transmission networks,Distributed control representation for manipulation tasks,Intelligent control of a planning system for astronaut training,Petri net structural analysis for supervisory control,The real-time supervisory control of an experimental manufacturing cell,Deadlock avoidance policies for automated manufacturing cells,Synthesis of fault-tolerant supervisor for automated manufacturing systems: a case study on photolithographic process
"MATPOWER: Steady-State Operations, Planning, and Analysis Tools for Power Systems Research and Education","Ray Daniel Zimmerman, Carlos Edmundo Murillo-Sanchez, Robert John Thomas, ",2011,1342,Detection of false data injection attacks against state estimation in smart grids based on a mixture Gaussian distribution learning method,Adaptive cyber-physical system attack detection and reconstruction with application to power systems,Robust detection and reconstruction of state and sensor attacks for cyber-physical systems using sliding modes,Recent advances on state estimation for power grids with unconventional measurements,Multi-objective transmission reinforcement planning approach for analysing future energy scenarios in the Great Britain network,Identification of voltage stability critical injection region in bulk power systems based on the relative gain of voltage coupling,Comparative study between two market clearing schemes in wind dominant electricity markets,Risk informed design modification of dynamic thermal rating system,Linear approximated formulation of AC optimal power flow using binary discretisation,Storing renewables in the gas network: modelling of power-to-gas seasonal storage flexibility in low-carbon power systems,Estimation of the largest eigenvalue in Chebyshev preconditioner for parallel conjugate gradient method-based power flow computation,Adjustable robust optimal power flow with the price of robustness for large-scale power systems,Adaptive barrier filter-line-search interior point method for optimal power flow with FACTS devices,Quick and effective multiple contingency screening algorithm based on long-tailed distribution,Genetic algorithm-based phasor measurement unit placement method considering observability and security criteria,Calibration of erroneous branch parameters utilising learning automata theory,Probabilistic load flow calculation using cumulants and multiple integrals,Dynamic equivalent model of VSC based on singular perturbation,Scenario reduction network aggregation and DC linearisation: which simplifications matter most in operations and planning optimisation?,Identification of critical generating units for maintenance: a game theory approach,Risk-averse multi-objective generation dispatch considering transient stability under load model uncertainty,Robust optimal transmission switching with the consideration of corrective actions for N − k contingencies,Optimal power flow based on successive linear approximation of power flow equations,Spectral clustering-based partitioning of volt/VAR control areas in bulk power systems,Design of reactive power and reactive power reserve market,Calculation of TTC for multi-area power systems based on improved Ward-PV equivalents,Two-stage heuristic methodology for optimal reconfiguration and Volt/VAr control in the operation of electrical distribution systems,Fully distributed multi-area dynamic economic dispatch method with second-order convergence for active distribution networks,Optimal PMU placement considering state estimation uncertainty and voltage controllability,Voltage stability assessment based on improved coupled single-port method
Fuzzy logic = computing with words,"L. A. Zadeh, ",1996,1278,Bringing fuzzy logic into focus,Hyperbolic optimal control and fuzzy control,Induced ordered weighted averaging operators,Fuzzy relational compression,Veristic variables,Uncertainty representation using fuzzy measures,Tuning certainty factor and local weight of fuzzy production rules by using fuzzy neural network,Granular clustering: a granular signature of data,Fuzzy-controlled Li-ion battery charge system with active state-of-charge controller,Fuzzy logic-a modern perspective,Granular neural networks for numerical-linguistic data fusion and knowledge discovery,From computing with numbers to computing with words. From manipulation of measurements to manipulation of perceptions,On the entropy of fuzzy measures,Affect analysis of text using fuzzy semantic typing,Cognitive Computing: A Brief Survey and Open Research Challenges,Multisensor industrial inspection and grading using ELSA,Adaptive Decision-Making Scheme for Cognitive Radio Networks,Fuzzy Logic-Based Event Notification in Sparse MANETs,Meta-model Design for Internet Multimedia Neurophysiology Interface,Service-centric Inference and Utilization of Confidence on Context,Simulating Human Reasoning in Mine-Like Object Inspection Assignments for a Formation of Unmanned Underwater Vehicles,Towards Situation-Aware Mobile Applications in Mental Health,Energy management optimization of integrated generation systems by fuzzy logic control,A methodology for ranking of MAS reliability measures,PubMed state lines prediction based on interval type-2 fuzzy set,Design of a software quality decision system: a computational intelligence approach,Application of fuzzy logic in CA/LGCA models as a way of dealing with imprecise and vague data,Rough set methods in power system fault classification,The Dynamic Delay Scheduling Algorithm Based on Task Classification,Iris segmentation based on Fuzzy Mathematical Morphology Neural Networks and ontologies
