Energy-efficient communication protocol for wireless microsensor networks,"W. R. Heinzelman, A. Chandrakasan, H. Balakrishnan, ",2000,4478,Improving actuator-sensor-actuator communication performance in WSANs using a multicast approach based on bloom filters,Energy efficient multi-target clustering algorithm for WSN-based distributed consensus filter,An energy-efficient LEACH algorithm for wireless sensor networks,Opportunities for transmission power control protocols in wireless sensor networks,Cluster management in the known area of deployment for wireless sensor network,A constrained shortest-path energy-aware routing algorithm for wireless sensor networks,Energy-aware wireless microsensor networks,Intelligent medium access for mobile ad hoc networks with busy tones and power control,Utility-based decision-making in wireless sensor networks,An architecture for building self-configurable systems,Energy-scalable algorithms and protocols for wireless microsensor networks,Dynamic voltage scaling techniques for distributed microsensor networks,E-LEACH: Improving the LEACH protocol for privacy preservation in secure data aggregation in Wireless Sensor Networks,Target Tracking via Crowdsourcing: A Mechanism Design Approach,Performance Evaluation of a Synchronization Protocol for Rechargeable Sensor Networks,TEECH-ME: Threshold Sensitive Energy Efficient Cluster Heads Based on Maximum Energy Routing Protocol for WSNs,MEET: Multi-hop Energy Efficient Protocol for Energy Hole Avoidance Using Variable Transmission Range in Wireless Sensor Networks,MASEHA: Multi-hop Communication Using Active and Sleep Nodes for Energy Hole Avoidance in Wireless Sensor Networks,REEC: Reliable Energy Efficient Critical Data Routing in Wireless Body Area Networks,Mobility Model for WBANs,SEARCH: A Stochastic Election Approach for Heterogeneous Wireless Sensor Networks,QoS based energy efficient key management in body sensor networks,Secured data integrity routing for Wireless Sensor Networks,A new LEACH-based routing protocol for energy optimization in wireless sensor network,Two stage fuzzy logic based clustering approach wireless sensor network LEACH protocol,Fault tolerant and mobility aware routing protocol for mobile wireless sensor network,Low-latency energy-balanced data collection in wireless sensor networks,A Flow-Weighted Scale-Free Topology for Wireless Sensor Networks,Large Scale Environmental Monitoring and Maintaining Sensing Coverage in Sensor Networks,Energy Efficient Clustering Scheme for Prolonging the Lifetime of Wireless Sensor Network With Isolated Nodes
An application-specific protocol architecture for wireless microsensor networks,"W. B. Heinzelman, A. P. Chandrakasan, H. Balakrishnan, ",2002,4328,Clustering algorithm for non-uniformly distributed nodes in wireless sensor network,Asynchronous data-forwarding strategy to reduce forwarding delay in energy-harvesting wireless sensor networks,Rendezvous points and routing path-selection strategies for wireless sensor networks with mobile sink,Utility-based opportunistic spectrum access for cognitive radio sensor networks: joint spectrum sensing and random access control,EACO and FABC to multi-path data transmission in wireless sensor networks,Benefits of data aggregation on energy consumption in wireless sensor networks,BCoPS: an energy-efficient routing protocol with coverage preservation,Mitigating shadowing effects through cluster-head cooperation techniques,Balanced and energy-efficient multi-hop techniques for routing in wireless sensor networks,Impact of rate of recurrent communication of sensor node on network lifetime in a wireless sensor network,Energy-efficient distributed approach for clustering-based fault detection and diagnosis in image sensor networks,Realisation of a cluster-based protocol using fuzzy C-means algorithm for wireless sensor networks,Correlation-aware cross-layer design for network management of wireless sensor networks,Centralised against distributed medium access control scheduling for environmental monitoring sensors,Data collection using miniature aerial vehicles in wireless sensor networks,NEECP: Novel energy-efficient clustering protocol for prolonging lifetime of WSNs,Critical data real-time routing in industrial wireless sensor networks,Load-balanced energy efficient clustering protocol for wireless sensor networks,Models for integrating wireless sensor networks into the Internet of Things,Fuzzy power-optimised clustering routing algorithm for wireless sensor networks,Survival Continuity on Intrusion Detection System of Wireless Sensor Networks,Cluster-Based Routing for the Mobile Sink in Wireless Sensor Networks With Obstacles,Residence Energy Control System Based on Wireless Smart Socket and IoT,An Efficient Tree-Based Self-Organizing Protocol for Internet of Things,Recent Advances in Energy-Efficient Routing Protocols for Wireless Sensor Networks: A Review,Clustering Hierarchy Protocol in Wireless Sensor Networks Using an Improved PSO Algorithm,Universal and Dynamic Clustering Scheme for Energy Constrained Cooperative Wireless Sensor Networks,Joint Design of Energy-Efficient Clustering and Data Recovery for Wireless Sensor Networks,A Survey on Successors of LEACH Protocol,E2HRC: An Energy-Efficient Heterogeneous Ring Clustering Routing Protocol for Wireless Sensor Networks
Consensus and Cooperation in Networked Multi-Agent Systems,"Reza Olfati-Saber, J. Alex Fax, Richard M. Murray, ",2007,4003,Information weighted consensus-based distributed particle filter for large-scale sparse wireless sensor networks,Consensus of multi-agent systems with general linear dynamics via dynamic output feedback control,Brief paper - Consensus of fractional-order heterogeneous multi-agent systems,Distributed stochastic consensus of multi-agent systems with noisy and delayed measurements,Brief paper: distributed adaptive consensus tracking of a class of networked non-linear systems with parametric uncertainties,Distributed model reference adaptive control for cooperative tracking of uncertain dynamical multi-agent systems,Multi-agent iterative learning control with communication topologies dynamically changing in two directions,Brief paper: a decoupled controller design approach for formation control of autonomous underwater vehicles with time delays,Distributed impulsive consensus for second-order multi-agent systems with input delays,Global consensus of single-integrator agents subject to saturation constraints,Optimal consensus control of linear multi-agent systems with communication time delay,Leader-following consensus of second-order non-linear multi-agent systems with directed intermittent communication,Brief paper - r-consensus control for discrete-time high-order multi-agent systems,Brief paper - Distributed containment control of second-order multi-agent systems with inherent non-linear dynamics,Robust adaptive attitude synchronisation of rigid body networks on SO(3),Fault-tolerant output synchronisation control of multi-vehicle systems,Asynchronous consensus-based time synchronisation in wireless sensor networks using unreliable communication links,Leader-following coordination problem with an uncertain leader in a multi-agent system,Robust synchronisation of networked Lagrangian systems and its applications to multi-robot teleoperation,Brief Paper - Distributed input and state estimation for non-linear discrete-time systems with direct feedthrough,Synchronised tracking control for multiple strict-feedback non-linear systems under switching network,Consensus tracking of linear multi-agent systems under a networked detectability condition with reduced-order protocols,Consensus of nonlinear multi-agent systems with adaptive protocols,Necessary and sufficient conditions for distributed containment control of multi-agent systems without velocity measurement,Distributed consensus protocol design for general linear multi-agent systems: a consensus region approach,Distributed adaptive image-based consensus of networked robotic manipulators without visual velocity measurements,Distributed average consensus based on structural weight-balanceability,Trust-based self-organising network control,Sliding mode leader-following consensus controllers for second-order non-linear multi-agent systems,Decentralised dynamic games for large population stochastic multi-agent systems
"Multilevel inverters: a survey of topologies, controls, and applications","J. Rodriguez, Jih-Sheng Lai, Fang Zheng Peng, ",2002,2728,Research on the control strategy of cascaded H-bridge SVG under grid fault,Branch energy balancing of double wye DC-DC Modular Multilevel Converter,Isolated DC-DC converter based on Silicon Carbide for advanced multilevel topologies,Higher switching speed of power devices in series connection achieved by modifying the gate driver architecture,The application of DC grids to enhance the operation of 25 kV 50 Hz railway systems,Implementation of a multilevel cascaded H-Bridge drive for an Ironless Axial Flux Permanent Magnet motor for electric vehicle applications,Improved SV PWM for dual inverter with real-time minimization of converter power losses,Static shunt and series compensations of an SMIB system using flying capacitor multilevel inverter,A high-power active filtering system with fundamental magnetic flux compensation,Hysteresis Current Control Operation of Flying Capacitor Multilevel Inverter and Its Application in Shunt Compensation of Distribution Systems,State Feedback Control of Multilevel Inverters for DSTATCOM Applications,Two-Leg Three-Phase Inverter Control for STATCOM and SSSC Applications,Dynamic Voltage Restorer Based on Flying Capacitor Multilevel Converters Operated by Repetitive Control,Control Schemes for DC Capacitor Voltages Equalization in Diode-Clamped Multilevel Inverter-Based DSTATCOM,A Novel DC Voltage Detection Technique in the CHB Inverter-Based STATCOM,Multimodule HVDC System Using SHE-PWM With DC Capacitor Voltage Equalization,Detailed and Averaged Models for a 401-Level MMC–HVDC System,Design and Control of a Modular Multilevel HVDC Converter With Redundant Power Modules for Noninterruptible Energy Transfer,Simple Voltage Balancing Approach for CHB Multilevel Inverter Considering Low Harmonic Content Based on a Hybrid Optimal Modulation Strategy,The Alternate Arm Converter: A New Hybrid Multilevel Converter With DC-Fault Blocking Capability,Evaluation of Emerging Modular Multilevel Converters for BESS Applications,Offshore Wind Farm Modeling Accuracy and Efficiency in MMC-Based Multiterminal HVDC Connection,Challenges of Power Converter Operation and Control Under Ferroresonance Conditions,Start-Up Control of an Offshore Integrated MMC Multi-Terminal HVDC System With Reduced DC Voltage,A new compact on and off-grid inverter for photovoltaic applications,Phase-inversion-based selective harmonic elimination (PI-SHE) in multi-level switched-mode tone- and frequency- modulated excitation,A Unique Ultracapacitor Direct Integration Scheme in Multilevel Motor Drives for Large Vehicle Propulsion,A Novel Bidirectional DC/AC Stacked Matrix Converter Design for Electrified Vehicle Applications,Novel self balancing single phase 7 level inverter with coupled inductors,Asymmetrical cascaded multilevel inverter with single DC source using high frequency resonant converter
"HEED: a hybrid, energy-efficient, distributed clustering approach for ad hoc sensor networks","O. Younis, S. Fahmy, ",2004,2011
"MATPOWER: Steady-State Operations, Planning, and Analysis Tools for Power Systems Research and Education","Ray Daniel Zimmerman, Carlos Edmundo Murillo-Sanchez, Robert John Thomas, ",2011,1342,Detection of false data injection attacks against state estimation in smart grids based on a mixture Gaussian distribution learning method,Adaptive cyber-physical system attack detection and reconstruction with application to power systems,Robust detection and reconstruction of state and sensor attacks for cyber-physical systems using sliding modes,Recent advances on state estimation for power grids with unconventional measurements,Multi-objective transmission reinforcement planning approach for analysing future energy scenarios in the Great Britain network,Identification of voltage stability critical injection region in bulk power systems based on the relative gain of voltage coupling,Comparative study between two market clearing schemes in wind dominant electricity markets,Risk informed design modification of dynamic thermal rating system,Linear approximated formulation of AC optimal power flow using binary discretisation,Storing renewables in the gas network: modelling of power-to-gas seasonal storage flexibility in low-carbon power systems,Estimation of the largest eigenvalue in Chebyshev preconditioner for parallel conjugate gradient method-based power flow computation,Adjustable robust optimal power flow with the price of robustness for large-scale power systems,Adaptive barrier filter-line-search interior point method for optimal power flow with FACTS devices,Quick and effective multiple contingency screening algorithm based on long-tailed distribution,Genetic algorithm-based phasor measurement unit placement method considering observability and security criteria,Calibration of erroneous branch parameters utilising learning automata theory,Probabilistic load flow calculation using cumulants and multiple integrals,Dynamic equivalent model of VSC based on singular perturbation,Scenario reduction network aggregation and DC linearisation: which simplifications matter most in operations and planning optimisation?,Identification of critical generating units for maintenance: a game theory approach,Risk-averse multi-objective generation dispatch considering transient stability under load model uncertainty,Robust optimal transmission switching with the consideration of corrective actions for N − k contingencies,Optimal power flow based on successive linear approximation of power flow equations,Spectral clustering-based partitioning of volt/VAR control areas in bulk power systems,Design of reactive power and reactive power reserve market,Calculation of TTC for multi-area power systems based on improved Ward-PV equivalents,Two-stage heuristic methodology for optimal reconfiguration and Volt/VAr control in the operation of electrical distribution systems,Fully distributed multi-area dynamic economic dispatch method with second-order convergence for active distribution networks,Optimal PMU placement considering state estimation uncertainty and voltage controllability,Voltage stability assessment based on improved coupled single-port method
Network reconfiguration in distribution systems for loss reduction and load balancing,"M. E. Baran, F. F. Wu, ",1989,1320,Value based pricing of distribution generations active power in distribution networks,Interval radial power flow using extended DistFlow formulation and Krawczyk iteration method with sparse approximate inverse preconditioner,Multi-criteria optimisation approach to increase the delivered power in radial distribution networks,Optimum tie switches allocation and DG placement based on maximisation of system loadability using discrete artificial bee colony algorithm,Optimal DG allocation and sizing in presence of storage systems considering network configuration effects in distribution systems,Active distribution network expansion planning integrating dispersed energy storage systems,Distribution network reconfiguration validation with uncertain loads – network configuration determination and application,Risk-based reconfiguration of active electric distribution networks,Optimal place size and operation of combined heat and power in multi carrier energy networks considering network reliability power loss and voltage profile,Mixed-integer second-order cone programing model for VAR optimisation and network reconfiguration in active distribution networks,Optimisation-based switch allocation to improve energy losses and service restoration in radial electrical distribution systems,Short-circuit level control through a multi-objective feeder reconfiguration using fault current limiters in the presence of distributed generations,Optimal placement and sizing of DGs in RDS using chaos embedded SOS algorithm,Capacitor placement in distribution systems for power loss reduction and voltage improvement: a new methodology,Robust reactive power optimisation and voltage control method for active distribution networks via dual time-scale coordination,Total supply capability considering distribution network reconfiguration under N − k transformer contingency and the decomposition method,Short-term scheduling problem in smart grid considering reliability improvement in bad weather conditions,Two-stage heuristic methodology for optimal reconfiguration and Volt/VAr control in the operation of electrical distribution systems,Multi-objective Taguchi approach for optimal DG integration in distribution systems,Reconfiguration for loadability limit enhancement of distribution systems,Stochastic assessment of distributed generation hosting capacity and energy efficiency in active distribution networks,Optimal allocation of BESS and MT in a microgrid,Current decomposition method for loss allocation in distribution systems,Dynamic reconfiguration of distribution networks considering the real-time topology variation,Planning the coordination of overcurrent relays for distribution systems considering network reconfiguration and load restoration,Minimum loss operation of distribution networks with photovoltaic generation,Optimum distribution network operation considering distributed generation mode of operations and safety margin,Active distribution power system with multi-terminal DC links,Convex probabilistic allocation of wind generation in smart distribution networks,Improved UFLS with consideration of power deficit during shedding process and flexible load selection
The interacting multiple model algorithm for systems with Markovian switching coefficients,"H. A. P. Blom, Y. Bar-Shalom, ",1988,1231,Quantum particle filter: a multiple mode method for low delay abrupt pedestrian motion tracking,Brief Paper - Distributed consensus filtering for jump Markov linear systems,Brief paper: adaptive filtering for jump markov systems with unknown noise covariance,Linear minimum-mean-square error estimation of Markovian jump linear systems with Stochastic coefficient matrices,Fast filtering algorithm for state estimation of lossy networks,Recursive estimation of transition probabilities for jump Markov linear systems under minimum Kullback–Leibler divergence criterion,Improved diagonal interacting multiple model algorithm for manoeuvering target tracking based on H<sub>∞</sub> filter,Vehicle density estimation of freeway traffic with unknown boundary demand–supply: an interacting multiple model approach,State estimation for networked systems with a Markov plant in the presence of missing and quantised measurements,Consensus-based multiple-model Bayesian filtering for distributed tracking,Multi-sensor track-to-track fusion with target existence in cluttered environments,Set value-based dynamic model development for non-linear manoeuvring target tracking problem in the presence of unknown but bounded disturbances,AFAKF for manoeuvring target tracking based on current statistical model,Recursive Bayesian estimation for Markov jump linear systems with unknown mode-dependent state delays,Rao-Blackwellised particle filtering and smoothing for jump Markov non-linear systems with mode observation,Dynamic error spectrum for estimation performance evaluation: a case study on interacting multiple model algorithm,Joint detection tracking and classification of a manoeuvring target in the finite set statistics framework,Kullback–Leibler divergence for interacting multiple model estimation with random matrices,Fixed-interval smoothing for Markovian switching systems,Time-reversion of a hybrid state stochastic difference system with a jump-linear smoothing application,Prediction with the dynamic Bayesian gamma mixture model,A mixture-of-experts framework for adaptive Kalman filtering,An adaptive direct-sequence spread-spectrum receiver for burst type interference,Image-enhanced estimation methods,IMM estimation for multitarget-multisensor air traffic surveillance,Information type filters for tracking a maneuvering target,Multisensor tracking of a maneuvering target in clutter,Tracking a maneuvering target using input estimation versus the interacting multiple model algorithm,Performance prediction of the interacting multiple model algorithm,Modified input estimation technique using pseudoresiduals
An energy-efficient MAC protocol for wireless sensor networks,"Wei Ye, J. Heidemann, D. Estrin, ",2002,1229,Energy efficient model for data gathering in structured multiclustered wireless sensor network,Security Solutions for Wireless Sensor Networks,Secure Distributed Cluster Formation in Wireless Sensor Networks,Improved cluster routing protocol for wireless sensor network through simplification,Optimized Autonomous Space In-situ Sensor-Web for Volcano Monitoring,A prototype for achieving digital forensic readiness on wireless sensor networks,Clustered and leveled disjoint multipath routing algorithm for wireless sensor networks,Energy efficient cross layer routing for life time maximization in wireless sensor networks,An Adaptive Energy Efficient Transmission Protocol in Wireless Ad-hoc Network,A fault tolerant topology control in wireless sensor networks,Performance comparison of Kalman filter based approaches for energy efficiency in wireless sensor networks,Energy aware routing in high capacity overlays in wireless sensor networks,Exploiting a clustering mechanism for power saving in ad hoc networks: Performance evaluation,Priority-MAC: A priority based medium access control solution with QoS for WSN,Communication Timing Control based on Coupled-Phase Dynamics Coordination,ALLEE-MAC: An Adaptive Low Latency and Energy Efficient MAC Protocol for Wireless Sensor Networks,Geometric broadcast protocol for sensor and actor networks,Senceive: A Middleware for a Wireless Sensor Network,Medium Access Control in Large Scale Clusters for Wireless Sensor Networks,Delay Guaranteed Media Access Control for Wireless Home Automation Networks,An Energy Efficient Distributed Scheduling Scheme for Wireless Mesh Networks,A Preamble Ahead Anycast Protocol for WSNs,DSSP: A Dynamic Sleep Scheduling Protocol for Prolonging the Lifetime of Wireless Sensor Networks,Mobile Jamming Attack and its Countermeasure in Wireless Sensor Networks,Efficient energy management policies for networks with energy harvesting sensor nodes,A context-aware data forwarding algorithm for sensor networks,Performance Measures of Stream-Oriented Power Consumption for Asymmetrical Communication in Wireless Ad-Hoc Networks,SC-MAC: A sender-centric asynchronous MAC protocol for burst traffic in wireless sensor networks,Energy-efficient and mobility-aware MAC protocol for wireless sensor networks,Project management inspired framework for action selection in wireless sensor networks
Hierarchical Control of Droop-Controlled AC and DC Microgrids&mdash;A General Approach Toward Standardization,"Josep M. Guerrero, Juan C. Vasquez, Jos&eacute; Matas, Luis Garc&iacute;a de Vicuna, Miguel Castilla, ",2011,1227,Distributed impulsive control for islanded microgrids with variable communication delays,Automatic droop control for a low voltage DC microgrid,Decentralised coordinated control of microgrid based on multi-agent system,Maximum constant boost approach for controlling quasi-Z-source-based interlinking converters in hybrid AC–DC microgrids,Control strategy of interlinking converters as the key segment of hybrid AC–DC microgrids,Simple and efficient method for steady-state voltage stability analysis of islanded microgrids with considering wind turbine generation and frequency deviation,Hierarchical hybrid control strategy for micro-grid switching stabilisation during operating mode conversion,Seamless control scheme for distributed energy resources in microgrids,Virtual active power filter: a notable feature for hybrid ac/dc microgrids,Decentralised power sharing control strategy in LV microgrids under unbalanced load conditions,Decentralised control method for DC microgrids with improved current sharing accuracy,Real-time verification of new controller to improve small/large-signal stability and fault ride-through capability of multi-DER microgrids,Agent-based distributed and economic automatic generation control for droop-controlled AC microgrids,Power sharing in parallel inverters with different types of loads,S-shaped droop control method with secondary frequency characteristics for inverters in microgrid,Design and implementation of hardware-in-the-loop simulation system for testing control and operation of DC microgrid with multiple distributed generation units,Decentralised secondary voltage and frequency control scheme for islanded microgrid based on adaptive state estimator,Effects of correlated photovoltaic power and load uncertainties on grid-connected microgrid day-ahead scheduling,Autonomous operation of ac-dc microgrids with minimised interlinking energy flow,Autonomous operation of distributed storages in microgrids,Voltage magnitude and frequency control of three-phase voltage source inverter for seamless transfer,Cost-based droop scheme with lower generation costs for microgrids,Energy management by using point of common coupling frequency as an agent for islanded microgrids,Multi-functional distributed generation unit for power quality enhancement,Flexible power weighting distribution for three-phase parallel inverters with networked control,Power decoupling strategy based on ‘virtual negative resistor’ for inverters in low-voltage microgrids,Multi-objective control of multi-functional grid-connected inverter for renewable energy integration and power quality service,Control of photovoltaic-based low-voltage dc microgrid system for power sharing with modified droop algorithm,Frequency-based power management for photovoltaic/battery/fuel cell-electrolyser stand-alone microgrid,Distributed control of multi-time scale DC microgrid based on ADRC
The SPLASH-2 programs: characterization and methodological considerations,"S. C. Woo, M. Ohara, E. Torrie, J. P. Singh, A. Gupta, ",1995,1205,Evaluation of a multithreaded architecture for cellular computing,Bandwidth adaptive snooping,Increasing TLB reach with multiple pages size subblocks,Reducing the latency of L2 misses in shared-memory multiprocessors through on-chip directory integration,Characterizing parallel workloads to reduce multiple writer overhead in shared virtual memory systems,SICOSYS: an integrated framework for studying interconnection network performance in multiprocessor systems,Speculative lock elision: enabling highly concurrent multithreaded execution,An application-centric ccNUMA memory profiler,Parallel simulation of multiprocessor execution: implementation and results for simplescalar,The effects of context switching on branch predictor performance,NetBench: a benchmarking suite for network processors,Silent stores and store value locality,Communication with threads in softw are DSMs,ADir/sub p/NB: a cost-effective way to implement full map directory-based cache coherence protocols,Comparing and combining read miss clustering and software prefetching,Informing algorithms for efficient scheduling of synchronizing threads on multiprogrammed SMPs,Tolerating memory latency through software-controlled pre-execution in simultaneous multithreading processors,The impact of out-of-order message delivery on cache coherence protocols,Simulation support for integrated multiprocessing and memory access scheduling,One-sided communication on the myrinet-based SMP clusters using the GM message-passing library,Efficient fine-grain sharing support for software DSMs through segmentation,A comparison of two strategies of dynamic data prefetching in software DSM,Efficient categorization of memory sharing patterns in software DSM systems,On the exploitation of value prediction and producer identification to reduce barrier synchronization time,Transparent adaptation of sharing granularity in multiview-based DSM systems,On-line debugging and performance monitoring with barriers,An efficient lock protocol for home-based lazy release consistency,Adaptive prefetching technique for shared virtual memory,Reference filtering for distributed simulation of shared memory multiprocessors,Clock selection for performance optimization of control-flow intensive behaviors
