Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
Cooperative diversity in wireless networks: Efficient protocols and outage behavior,"J. N. Laneman, D. N. C. Tse, G. W. Wornell, ",2004,8376,Performance analysis of multi-source multirelay wireless networks with co-channel interference,Outage probability analysis of signal space cooperative communications over Nakagami-m fading channels,Two-way relay networks based on product relay,Outage performance of MIMO cooperative networks with selective OFDMA relaying,Optimised power allocation to maximise secure rate in energy harvesting relay network,Multiple carrier frequency offsets tracking in co-operative space-frequency block-coded orthogonal frequency division multiplexing systems,Joint iterative decoding for LDPC-coded multi-relay cooperation with receive multi-antenna in the destination,On channel estimation of orthogonal frequency-division multiplexing amplify-and-forward cooperative relaying systems,Optimal incremental relaying in cooperative diversity systems,Distributed space-time trellis codes with continuous phase modulation for amplify and forward relaying,Efficient cooperative spectrum sensing for three-hop cognitive wireless relay networks,Delay-limited throughput analysis of cooperative hybrid automatic repeat request in asymmetric fading channels,N-Rth dual best relays opportunistic cooperation schemes and performance analyses over nakagami-m fading channels,Joint signal-to-noise ratio-based transceiver design for amplify-and-forward multiple-input multiple-output relay systems,Optimisation of power allocation for asymmetric relay placement in multi-hop relay systems,Relay selection in cognitive radio networks with interference constraints,Cooperative decode-and-forward relaying with orthogonal space-time block code over doubly correlated Nakagami-m fading channels,Space-time coding scheme for time-frequency asynchronous two-way relay networks,Outage probability analysis of an amplify-and-forward cooperative communication system with multi-path channels and max-min relay selection,Spectral efficiency optimisation in amplify and forward relay network with diversity using adaptive rate and adaptive power transmission,Performance analysis of adaptive M-ary quadrature amplitude modulation for amplify-and-forward opportunistic relaying under outdated channel state information,Optimal diversity multiplexing tradeoff for opportunistic relaying coded cooperation protocols with quantised channel state information feedback,Distributed switch and stay combining with partial relay selection and signal space diversity,A low-complexity relay selection scheme based on switch-and-examine diversity combining for AF relay systems,Adaptive relaying scheme for cognitive radio networks,Survey on cooperative medium access control protocols,Performance analysis and power allocation for full-rate and full-diversity signal space cooperative communications,Multiple-source multiple-destinations relay channels with network coding,Adaptive transmission policy over Rayleigh fading channels for cooperative networks with limited feedback,Relay selection with outdated channel state information in cooperative communication systems
A survey on sensor networks,"I. F. Akyildiz, Weilian Su, Y. Sankarasubramaniam, E. Cayirci, ",2002,6644,Improved solution for node location multilateration algorithms in wireless sensor networks,Expectation-maximisation-based localisation using anchors with uncertainties in wireless sensor networks,Information weighted consensus-based distributed particle filter for large-scale sparse wireless sensor networks,Message Passing localisation algorithm combining BP with VMP for mobile wireless sensor networks,Precoder design for decentralised estimation over MIMO-WSN based on stochastic models,Flocking motion of multi-agent system by dynamic pinning control,Distributed estimation and control of mobile sensor networks based only on position measurements,Energy-efficient network design via modelling: optimal designing point for energy reliability coverage and end-to-end delay,Improved clustering algorithm based on energy consumption in wireless sensor networks,Constrained robust submodular sensor selection with application to multistatic sonar arrays,Mobile-agent-based distributed variational Bayesian algorithm for density estimation in sensor networks,Distributed consensus-based Kalman filtering in sensor networks with quantised communications and random sensor failures,Robust spatial multicasting for randomly distributed sensors,Non-repeatedly marking traceback model for wireless sensor networks,Location aware sensor routing protocol for mobile wireless sensor networks,Impact of cooperative space–time/frequency diversity in OFDM-based wireless sensor systems over mobile multipath channels,Load-balanced energy efficient clustering protocol for wireless sensor networks,Matrix Computational Framework for Discrete Event Control of Wireless Sensor Networks with Some Mobile Agents,Plume Source Position Estimation Using Sensor Networks,Channel distribution fairness in multi-channel wireless ad-hoc networks using a channel distribution index,Data replication in collaborative sensor network systems,Key establishment with source coding and reconciliation for wireless sensor networks,Energy efficiency of a chain-based scheme with Intra-Grid in wireless sensor networks,Prediction Strategies for Self-Adaptive Behavior in Distributed Systems,Simple Tree Based Routing for Data Collection Networks,Applying Data Mining Techniques to Intrusion Detection in Wireless Sensor Networks,Data aggregation using spatial and temporal data correlation,A review on fuzzy logic based clustering algorithms for wireless sensor networks,Decentralized estimation and control of graph connectivity in mobile sensor networks,Fault tolerant event localization in sensor networks using binary data
Consensus problems in networks of agents with switching topology and time-delays,"R. Olfati-Saber, R. M. Murray, ",2004,5221,Privacy preserving consensus under interception attacks,Bipartite consensus of descriptor multi-agent systems via adaptive control,Transmission losses power compensation in a microgrid based on distributed consensus algorithm,Specified finite-time containment tracking for multiple high-order linear multi-agent systems,γ-Adaptive consensus control for multi-agent systems with adjustable convergence speed,Privacy-based cooperation for networked cyber-physcial systems,Consensus of linear multi-agent systems via fully distributed event-triggered protocols,Distributed optimization for multiagent systems over general strongly connected digraph,Adaptive finite-time consensus of nonlinear multi-agent systems with unknown dynamics and disturbances,Impulsive consensus of fractional-order multi-agent systems,Distributed control of a class of second-order nonlinear multi-agent systems with switching topologies,Admissible consensus analysis and control for a class of singular multi-agent systems,Consensus tracking control for lure multi-agent systems with time-delays,Leader-following consensus for linear discrete-time multi-agent systems subject to static networks,Distributed UAV formation control with two-hop relay protocol,Fully distributed containment control for second-order nolinear multi-agent systems under a directed graph,Fully distributed consensus algorithms for double integrators under heterogeneous topologies,Lag consensus of second-order leader-following multiagent systems with communication delays,Distributed encirclement control with arbitrary spacing for multiple anonymous mobile robots,Leader-follower formation control with mismatched compasses,Distributed node-to-node consensus of multi-agent systems via adaptive intermittent pinning control,Graph factorization methods in linear formation control,On dynamic distributed control and its application to multi-robot systems,Autonomous multi-vehicle consensus for high-order systems,Distributed primary frequency control for large networks interconnected by a multi-terminal HVDC grid,Leader-following consensus for a class of fractional-order nonlinear multi-agent systems under fixed and switching topologies,Consensus-based joint target tracking and sensor localization,Distributed filtering over networks based on diffusion strategy,Formation control of multi-agent system considering obstacle avoidance,Adaptive cooperative tracking control for a class of uncertain nonlinear multiagent systems
Identification and control of dynamical systems using neural networks,"K. S. Narendra, K. Parthasarathy, ",1990,4875,Stable adaptive output feedback controller for a class of uncertain non-linear systems,Adaptive multi-dimensional Taylor network tracking control for SISO uncertain stochastic non-linear systems,Review on model reference adaptive system for sensorless vector control of induction motor drives,Artificial neural network-based modelling of compensated multi-crystalline solar-grade silicon under wide temperature variations,A Resetting Neuro-Controller in the Presence of Unmodeled Dynamics,Adaptive Neuro-Fuzzy Control of Non-Affine Nonlinear Systems,Meta-Learning for Adaptive Identification of Non-Linear Dynamical Systems,Real-Time Implementation of Intelligent Modeling and Control Techniques on a PLC Platform,Neural network control of functional neuromuscular stimulation systems: computer simulation studies,Linear and nonlinear ARMA model parameter estimation using an artificial neural network,Adaptive control of arterial blood pressure with a learning controller based on multilayer neural networks,Neural predictive controller for insulin delivery using the subcutaneous route,Optimization using neural networks,Approximation dimension reduction and nonconvex optimization using linear superpositions of Gaussians,A neural network approach for identification and fault diagnosis on dynamic systems,ADC neural modeling,Error compensation of A/D converters using neural networks,Neural networks and pseudo-measurements for real-time monitoring of distribution systems,Experimental neural networks for prediction and identification,On-line fault detection and diagnosis obtained by implementing neural algorithms on a digital signal processor,Case study of the predictive models used for stability improvement of the DC voltage reference source,A neural network approach for the solution of electric and magnetic inverse problems,Neural network controller characteristics with regard to adaptive control,Learning piecewise control strategies in a modular neural network architecture,Direct control and coordination using neural networks,Toward intelligent flight control,Adaptive control of unknown plants using dynamical neural networks,Reinforcement learning for the adaptive control of nonlinear systems,A recurrent neural net approach to one-step ahead control problems,Filtering prediction and learning properties of ECE neural networks
The capacity of wireless networks,"P. Gupta, P. R. Kumar, ",2000,4816,Evaluating the gain of directional antennas in linear VANETs using stochastic geometry,Capacity of cellular wireless network,Throughput-optimal joint routing and scheduling for low-earth-orbit satellite networks,Optical and wireless hybrid access networks: Design and optimization,Zone Routing with Backbone for Tactical Network,A Study on the Optimum Carrier Sensing Range in Wireless Ad Hoc Networks,On the Capacity and Scalability of Wireless Mesh Networks,Complete Extended Independent Set Collision Immune Algorithm for Wireless Channel Assignment,Slotted ALOHA with MIMO Spatial Multiplexing,A method for providing energy efficient neighborhood maintenance in MANETs,An Evolutionary Model for the Study of Wireless Networks,Identity and Pairing-Based Secure Key Management Scheme for Heterogeneous Sensor Networks,Dual-Interface Multiple Channels DSDV Protocol,Self-reconfiguration aggregation scheduling to recover from node and interference faults in WSNs,Optimised scheduling for Wireless Mesh Networks using fixed cycle times,Massive live video distribution using hybrid cellular and ad hoc networks,Experimental evaluation of measurement-based SINR interference models,Measurement-based interference modeling using channel occupancy in wireless mesh networks,Approximation algorithms for Interference Aware Broadcast in wireless networks,Distributed link scheduling in wireless networks with interference cancellation capabilities,Joint compressive data gathering and scheduling in wireless sensor networks under the physical interference model,Xcastor: Secure and scalable group communication in ad hoc networks,Joint Scheduling and Channel Allocation in Wireless Mesh Networks,A Cross-Layer Routing Scheme for Multi-Channel Multi-Hop Wireless Mesh Networks,Cell Capacity for IEEE 802.16 Coverage Extension,Joint Spectrum Sharing and Fair Routing in Cognitive Radio Networks,Architecture and Performance of an Island Genetic Algorithm-Based Cognitive Network,On Optimizing Non-Asymptotic Throughput of Wireless Mesh Networks,Towards Usage of Wireless MEMS Networks in Industrial Context,Study on the Sensitivity of Flow Rate Change after Head Variation in Rotary Blood Pump with Constant Voltages
Cognitive radio: making software radios more personal,"J. Mitola, G. Q. Maguire, ",1999,4813,Discontinuous spectrum sensing scheme for energy-constrained cognitive radio networks,Spectrum sensing method based on goodness of fit test using chi-square distribution,Spectrum sensing based on goodness of fit test with unilateral alternative hypothesis,Spectrum sensing method based on likelihood ratio goodness-of-fit test,9-bit time–digital-converter-assisted compressive-sensing analogue–digital-converter with 4 GS/s equivalent speed,Efficient cooperative spectrum sensing for three-hop cognitive wireless relay networks,Spectrum sensing and power efficiency trade-off optimisation in cognitive radio networks over fading channels,Relay selection in cognitive radio networks with interference constraints,Total throughput maximisation in a cognitive radio network,Scheme for opportunistic spectrum access in cognitive radio,Joint design of sensing and transmission in energyefficient cognitive radio systems over fading channels,Cooperative spectrum sensing using opportunistic amplify-and-forward relaying over Nakagami-m fading channels,Optimisation of multi-channel cooperative sensing in cognitive radio networks,New algorithm for joint subchannel and power allocation in multi-cell OFDMA-based cognitive radio networks,Rate enhancement for cognitive radios using the relationship between transmission rate and signal-to-interference ratio statistics,Spectrum sensing in cognitive radio networks with known and unknown noise levels,Cooperative communication between cognitive and primary users,Constellation expansion-based sidelobe suppression for cognitive radio systems,Outage probability analysis of cognitive relay network with four relay selection and end-to-end performance with modified quasi-orthogonal space–time coding,Distributed space-time-frequency block code for cognitive wireless relay networks,Power allocation for orthogonal frequency division multiplexing-based cognitive radio networks with cooperative relays,Link decision algorithm in underlay cognitive radio networks over a Rayleigh fading channel,Centralised cooperative spectrum sensing under correlated shadowing,Cooperative spectrum sharing systems with relay selection in the presence of multiple primary receivers,Sliding window Dixon's tests for malicious users' suppression in a cooperative spectrum sensing system,Optimal power allocation for asymmetric analogue network coding in cognitive radio,Energy efficient cognitive radio network based on multiband sensing and spectrum sharing,Blind multiband spectrum sensing for cognitive radio systems with smart antennas,Joint detection scheme for spectrum sensing over time-variant flat fading channels,Joint resource allocation and power control for cellular and device-to-device multicast based on cognitive radio
User cooperation diversity. Part I. System description,"A. Sendonaris, E. Erkip, B. Aazhang, ",2003,4758,Outage performance of MIMO cooperative networks with selective OFDMA relaying,Ergodic and outage capacities of relaying channels in spectrum-sharing constrained systems,Multiple carrier frequency offsets tracking in co-operative space-frequency block-coded orthogonal frequency division multiplexing systems,Joint iterative decoding for LDPC-coded multi-relay cooperation with receive multi-antenna in the destination,On channel estimation of orthogonal frequency-division multiplexing amplify-and-forward cooperative relaying systems,Optimal incremental relaying in cooperative diversity systems,Distributed space-time trellis codes with continuous phase modulation for amplify and forward relaying,Efficient cooperative spectrum sensing for three-hop cognitive wireless relay networks,Delay-limited throughput analysis of cooperative hybrid automatic repeat request in asymmetric fading channels,N-Rth dual best relays opportunistic cooperation schemes and performance analyses over nakagami-m fading channels,Spectrum sensing and power efficiency trade-off optimisation in cognitive radio networks over fading channels,Impact of interference power constraint on multi-hop cognitive amplify-and-forward relay networks over Nakagami-m fading,A low-complexity relay selection scheme based on switch-and-examine diversity combining for AF relay systems,Survey on cooperative medium access control protocols,Cooperative communication-aided multi-carrier code division multiple access downlink transmission with transmitter preprocessing: performance results,Decode and forward relaying for energy-efficient multiuser cooperative cognitive radio network with outage constraints,On impact of relay placement for energy-efficient cooperative networks,Performance analysis of randomised space-time block codes for amplify-and-forward cooperative relaying,Extended low-density parity-check codes for feedback-based cooperative diversity schemes,Distributed orthogonal space-time block coding in wireless relay networks,Selective combining for hybrid cooperative networks,Diversity analysis of distributed linear convolutive space-time codes for time-frequency asynchronous cooperative networks,Power allocation for orthogonal frequency division multiplexing-based cognitive radio networks with cooperative relays,Cooperative spectrum sharing systems with relay selection in the presence of multiple primary receivers,Performance analysis of two-way opportunistic decode-and-forward based systems in nakagami-m fading environments,Robust beamforming and power allocation in cognitive radio relay networks with imperfect channel state information,Improved maximum a posteriori signal detection for amplify-and-forward relay networks with imperfect channel state information,Bit error probability of decode-and-forward relaying with efficient partial relay selection in non-identical rayleigh fading channels,Diversity-multiplexing tradeoff of opportunistic relay system with multiple-antenna destination,Low-complexity amplify-and-forward relaying protocol for non-coherent chaos-based communication system
Network information flow,"R. Ahlswede, Ning Cai, S. -Y. R. Li, R. W. Yeung, ",2000,4703,Multiuser analogue network coding with code division multiple access,Wireless physical layer network coding in potential presence of malicious relays – incomplete information game approach,Rate region of unicast routing networks,Delay analysis of network coding nodes and Butterfly network employing stop-and-wait automatic repeat request,Maximum euclidean distance network coded modulation for asymmetric decode-and-forward two-way relaying,Multiple-source multiple-destinations relay channels with network coding,Network-coded rateless coding scheme in erasure multiple-access relay enable communications,Performance analysis of network coding-based content distribution in vehicular ad-hoc networks,Use of matroid theory to construct a class of good binary linear codes,Optimisation of layer rate and wavelength allocation based on network coding for multirate optical multicast,Adaptive time division duplexing network with network coding embedded two-way relay,Design of amplify-and-forward relaying schemes for layered relay networks,Opportunistic relaying with analogue and digital network coding for two-way parallel relay network,User-specific link adaptation scheme for device-to-device network coding multicast,Minimum number of antennas and degrees of freedom of multiple-input–multiple-output multi-user two-way relay X channels,Secrecy outage performance for partial relay selection schemes in cooperative systems,SNR-based selective relaying schemes in network-coded two-way relay channels,Efficient combination of polynomial time algorithm and subtree decomposition for network coding,Source and physical-layer network coding for correlated two-way relaying,Opportunistic scheduling for a two-way relay network using Markov decision process,Merge-and-forward: a cooperative multimedia transmissions protocol using RaptorQ codes,Performance analysis of XOR two-way relay with finite buffers and instant scheduling,Caching efficiency of information-centric networking,Formation of network coding coalitions for cooperative communications,Upper bounds for the failure probability of random linear network coding for multicast network,Reduced functional dependence graphs,Minimum-costs of multiple unicasts wireless networks with inter-session network coding,Timely and reliable packets delivery over internet of vehicles for road accidents prevention: a cross-layer approach,On achievability of an (r l) fractional linear network code,Cooperative diversity routing and transmission for wireless sensor networks
Performance analysis of the IEEE 802.11 distributed coordination function,"G. Bianchi, ",2000,4589,Modelling collision alleviating DCF protocol with finite retry limits,Performance analysis of a k-round contention resolution scheme for WLANs,Performance analysis of packet errors on IEEE 802.11-based DCF and EDCF,Saturation throughput analysis of IEEE 802.11ac TXOP sharing mode,Enhanced BlockACK method for A-MPDU transmission in IEEE 802.11n/ac/ad WLANs,Performance analysis of hybrid MAC scheme with multi-slot reservation,Wireless local area network service providers' price competition in presence of heterogeneous user demand,Saturated distributed coordination function Markov model for noisy soft-real-time industrial wireless networks,Raptor codes-aided relaying for vehicular infotainment applications,Performance analysis of network coding-based content distribution in vehicular ad-hoc networks,Single-band full-duplex MAC protocol for distributed access networks,Considerations on the multiplexing and diversity tradeoff in ieee 802.11 networks,Delay analysis for cognitive ad hoc networks using multi-channel medium access control,Multi-hop delay reduction for safety-related message broadcasting in vehicle-to-vehicle communications,Modelling and performance analysis of dynamic contention window scheme for periodic broadcast in vehicular ad hoc networks,Bit error rate and outage analysis of an interference cancellation technique for cooperative spectrum sharing cognitive radio systems,Adaptive stochastic radio access selection scheme for cellular-WLAN heterogeneous communication systems,Cross-layer aware joint design of sensing and frame durations in cognitive radio networks,Delay model of multicast protocols co-existing with legacy unicast in IEEE 802.11 wireless local area network,Power and bandwidth efficiency of wireless mesh networks,Performance analysis of collision alleviating distributed coordination function protocol in congested wireless networks - a markov chain analysis,Increasing throughput in IEEE 802.11 by optimal selection of backoff parameters,Performance analysis of contention-based access periods and service periods of 802.11ad hybrid medium access control,Performance improvement for IEEE 802.15.4 CSMA/CA scheme in large-scale wireless multi-hop sensor networks,Medium access control schemes for flat mobile wireless sensor networks,The delay distribution of IEEE 802.11e EDCA and 802.11 DCF,Estimation over Wireless Sensor Networks,Networked state estimation over a shared communication medium,Radio Interface Evolution Towards 5G and Enhanced Local Area Communications,Goodbye ALOHA!
Deep Neural Networks for Acoustic Modeling in Speech Recognition: The Shared Views of Four Research Groups,"Geoffrey Hinton, Li Deng, Dong Yu, George E. Dahl, Abdel-rahman Mohamed, Navdeep Jaitly, Andrew Senior, Vincent Vanhoucke, Patrick Nguyen, Tara N. Sainath, Brian Kingsbury, ",2012,1334,Radar HRRP recognition based on discriminant deep autoencoders with small training data size,Speech reconstruction using a deep partially supervised neural network,Speaker verification with short utterances: a review of challenges trends and opportunities,Two-layer discriminative model for human activity recognition,Assessment of PD severity in gas-insulated switchgear with an SSAE,Artificial bandwidth extension using deep neural network-based spectral envelope estimation and enhanced excitation estimation,FPGA-based Acceleration of Deep Neural Networks Using High Level Method,Large-Scale Deep Belief Nets With MapReduce,Big Data Deep Learning: Challenges and Perspectives,Learning Deep Features for DNA Methylation Data Analysis,Hand Gesture Recognition Using Micro-Doppler Signatures With Convolutional Neural Network,Smartphone-Assisted Pronunciation Learning Technique for Ambient Intelligence,Phoneme Classification Using the Auditory Neurogram,Recognizing Emotions From Whispered Speech Based on Acoustic Feature Transfer Learning,DNN Filter Bank Cepstral Coefficients for Spoofing Detection,Enhanced Efficiency 3D Convolution Based on Optimal FPGA Accelerator,Input Layer Regularization of Multilayer Feedforward Neural Networks,Bearing Fault Diagnosis Using Fully-Connected Winner-Take-All Autoencoder,3-D BLE Indoor Localization Based on Denoising Autoencoder,3D Convolutional Neural Networks for Cross Audio-Visual Matching Recognition,Who Used My Smart Object? A Flexible Approach for the Recognition of Users,Hybrid Deep Neural Network--Hidden Markov Model (DNN-HMM) Based Speech Emotion Recognition,Sparse Autoencoder-Based Feature Transfer Learning for Speech Emotion Recognition,Recognition of emotional speech with convolutional neural networks by means of spectral estimates,Deep neural networks for anger detection from real life speech data,Evaluating Multi-Modal Speech Visualization Application for Deaf and Hard of Hearing People,On the interplay of network structure and gradient convergence in deep learning,A case study of speech recognition in Spanish: From conventional to deep approach,Deep neural networks for syllable based acoustic modeling in Chinese speech recognition,Context-dependent deep neural networks for commercial Mandarin speech recognition applications
