A new look at the statistical model identification,"H. Akaike, ",1974,18090,Fault diagnosis based on parameter estimation in closed-loop systems,Continuous-time linear time-varying system identification with a frequency-domain kernel-based estimator,Improving short-term traffic forecasts: to combine models or not to combine?,Approach for modelling trust in cluster-based wireless ad hoc networks,Optimal frequency increment selection in frequency diverse multiple-input–multiple-output radar,Super-resolution 3D imaging in MIMO radar using spectrum estimation theory,Measurement and modelling of the dynamic radar cross-section of an unmanned aerial vehicle,Short-term forecasting of ionospheric total electron content over a low-latitude global navigation satellite system station,Change detection in a distillation column using non-linear auto-regressive moving average with exogenous input model and Hellinger distance,Instantaneous fundamental frequency estimation of non-stationary periodic signals using non-linear recursive filters,Estimating the number of sources in white Gaussian noise: simple eigenvalues based approaches,Gene regulatory network discovery using pairwise granger causality,Identifying latent dynamic components in biological systems,A quantitative and qualitative description of electromyographic linear envelopes for synergy analysis,Investigation on parametric analysis of dynamic EMG signals by a muscle-structured simulation model,Goodness-of-fit and local identifiability of a receptor-binding radio-pharmacokinetic system,Latency of the pupillary response,Electrical analogs for monitoring vascular properties in artificial heart studies,Forward and inverse problems of electrocardiography: modeling and recovery of epicardial potentials in humans,Bias and variability of diagnostic spectral parameters extracted from closing sounds produced by bioprosthetic valves implanted in the mitral position,Distribution of aortic mechanical prosthetic valve closure sound model parameters on the surface of the chest,A parametric modeling of membrane current fluctuations with its application to the estimation of the kinetic properties of single ionic channels,Autoregressive spectral estimation of fetal breathing movement,Predicting patterns of epicardial potentials during ventricular fibrillation,An efficient approach to ARMA modeling of biological systems with multiple inputs and delays,A stochastic deconvolution method to reconstruct insulin secretion rate after a glucose stimulus,Dominant frequency analysis of EEG reveals brain's response during injury and recovery,Analysis of the posture control system under fixed and sway-referenced support conditions,A new method for myocardial activation imaging,Analysis of abnormal signals within the QRS complex of the high-resolution electrocardiogram
A Computational Approach to Edge Detection,"John Canny, ",1986,10308,Edge-based spatial concealment of digital dropout error in degraded archived media,Edge localisation in MRI for images with signal-dependent noise,Geometric feature extraction by FTAs for finger-based biometrics system,Text detection and recognition in natural scene with edge analysis,Perceptual edge detection via entropy-driven gradient evaluation,Object virtual viewing using adaptive tri-view morphing,Edge detection for illumination varying images using wavelet similarity,Detection of local invariant features using contour,Edge-preserving colour-to-greyscale conversion,Image fusion using multiscale edge-preserving decomposition based on weighted least squares filter,High-payload block-based data hiding scheme using hybrid edge detector with minimal distortion,Human perception-based image segmentation using optimising of colour quantisation,Corner detection using Gabor filters,RANdom sample consensus (RANSAC) algorithm for enhancing overlapped etched track counting,Efficient iris localisation using a guided filter,Context aware image enhancement for online fish behaviour monitoring,Fast three-dimensional video coding encoding algorithms based on edge information of depth map,Estimation of edge displacement against brightness and camera-to-object distance,Low-complexity face recognition using contour-based binary descriptor,Multiscale adaptive regularisation Savitzky–Golay method for speckle noise reduction in ultrasound images,Hybrid model of diffusion based on the Jeffreys-type equation for noise reduction on images,Biometric analysis using fused feature set from side face texture and electrocardiogram,Image gradient histogram's fitting and calculation,Development of a Camber Measurement System in a Hot Rolling Mill,Visualization of multimodality cardiac imagery,A moment-based three-dimensional edge operator,A parametric fitting algorithm for segmentation of cell images,Automatic cardiac LV boundary detection and tracking using hybrid fuzzy temporal and fuzzy multiscale edge detection,Multiscale characterization of chronobiological signals based on the discrete wavelet transform,Detection and measurement of retinal vessels in fundus images using amplitude modified second-order Gaussian filter
A theory for multiresolution signal decomposition: the wavelet representation,"S. G. Mallat, ",1989,10221,Diffusion LMP algorithm with adaptive variable power,Code generator for implementing dual tree complex wavelet transform on reconfigurable architectures for mobile applications,High-frequency-based features for low and high retina haemorrhage classification,Motion artefact removals for wearable ECG using stationary wavelet transform,Fault detection classification and location for transmission lines and distribution systems: a review on the methods,Singular value decomposition and wavelet-based iris biometric watermarking,Robust transcale decentralised estimation fusion for multisensor systems based on wavelet packet decomposition,Addressing the illumination challenge in two-dimensional face recognition: a survey,Fusion of structural and textural features for melanoma recognition,Condition monitoring of 11 kV overhead power distribution line insulators using combined wavelet and LBP-HF features,Reduced memory low complexity embedded image compression algorithm using hierarchical listless discrete tchebichef transform,Medical image denoising by generalised Gaussian mixture modelling with edge information,Bayesian denoising of ultrasound images using heavy-tailed Levy distribution,Image segmentation framework based on multiple feature spaces,Content-based image retrieval using fuzzy class membership and rules based on classifier confidence,Sparse representation based on vector extension of reduced quaternion matrix for multiscale image denoising,Scheme for unsupervised colour–texture image segmentation using neutrosophic set and non-subsampled contourlet transform,Texture classification by multifractal spectrum and barycentric coordinates of bit planes of wavelet coefficients,Fast Coiflet magnetic field integral equation for scattering from open rough surfaces,Development of backscatter sounding single-site location system,Short-term forecasting of ionospheric total electron content over a low-latitude global navigation satellite system station,Real-time fault analysis of transmission lines using wavelet multi-resolution analysis based frequency-domain approach,Proposal of a novel fitness function for evaluation of wavelet shrinkage parameters on partial discharge denoising,Robust zero-point attraction least mean square algorithm on near sparse system identification,Comparative study of automatic speech recognition techniques,Robust transcale state estimation for multiresolution discrete-time systems based on wavelet transform,Improved sub-band adaptive thresholding function for denoising of satellite image based on evolutionary algorithms,Search of a robust defect signature in gear systems across adaptive Morlet wavelet of vibration signals,Transforming the SMV model into MMV model based on the characteristics of wavelet coefficients,Computing the proximity operator of the ℓ<sub>p</sub> norm with 0 &lt; p &lt; 1
Compressed sensing,"D. L. Donoho, ",2006,10179,Blind sparsity weak subspace pursuit for compressed sensing,High-quality decoding method based on resampling and re-reconstruction,Regularised reweighted BPDN for compressed video sensing,Improved bounds on restricted isometry constant for orthogonal matching pursuit,Tree-structured complex wavelet-based Bayesian compressive sensing method,2D SAR imaging scheme based on compressive sensing,Divide and conquer method for sparsity estimation within compressed sensing framework,Compressive sensing of images based on discrete periodic radon transform,Sensing and measurement dictionaries design for block OMP algorithm,Fast sparse reconstruction algorithm for multidimensional signals,High-resolution inverse synthetic aperture radar imaging of manoeuvring targets with sparse aperture,Impact of compressed sensing on clinically relevant metrics for ambulatory ECG monitoring,MMSE-based version of OMP for recovery of discrete-valued sparse signals,Exploiting random convolution and random subsampling for image encryption and compression,Distributed perceptual compressed sensing framework for multiview images,L<sub>q</sub> regularisation-based synthetic aperture radar image feature enhancement via iterative thresholding algorithm,Exact support recovery via orthogonal matching pursuit from noisy measurements,2D single snapshot imaging using MIMO radar based on SR,VQ-based compressive sensing with high compression quality,Improved analysis of orthogonal matching pursuit in general perturbations,Compressive sampling for time critical microwave imaging applications,Diagnostic measure to quantify loss of clinical components in multi-lead electrocardiogram,Sparse block circulant matrices for compressed sensing,Impact of channel models on compressed sensing recovery algorithms-based ultra-wideband channel estimation,Reconstruction method for pulse position modulationultra wideband communication signal based on compressed sensing,Despread-ahead cyclic-prefix code division multiple access receiver with compressive sensing channel impulse response estimation,Sparse channel estimation of pulse-shaping multiple-input–multiple-output orthogonal frequency division multiplexing systems with an approximate gradient l<sub>2</sub> – Sl<sub>0</sub> reconstruction algorithm,Stable adaptive sparse filtering algorithms for estimating multiple-input–multiple-output channels,Adaptive multi-task compressive sensing for localisation in wireless local area networks,Gradient-based compressive sensing for noise image and video reconstruction
A tutorial on hidden Markov models and selected applications in speech recognition,"L. R. Rabiner, ",1989,8788,Speaker adaptation using probabilistic linear discriminant analysis for continuous speech recognition,Facial expression recognition with regional hidden Markov models,Adaptation of hidden markov model mean parameters using two-dimensional PCA with constraint on speaker weight,Continuous fine-grained arm action recognition using motion spectrum mixture models,Scheme for opportunistic spectrum access in cognitive radio,Using hidden Markov models to evaluate performance of cooperative spectrum sensing,Blind continuous hidden Markov model-based spectrum sensing and recognition for primary user with multiple power levels,Optimal sensing interval in cognitive radio networks with imperfect spectrum sensing,Performance analysis of orthogonal frequency division multiplexing systems in dispersive indoor power line channels inflicting asynchronous impulsive noise,Brief paper - Finite-time stabilisation for markov jump systems with gaussian transition probabilities,Convolutional recurrent neural networks with hidden Markov model bootstrap for scene text recognition,Fault classification and diagnostic system for unmanned aerial vehicle electrical networks based on hidden Markov models,Image segmentation by a new weighted student's t-mixture model,Effective fuzzy clustering algorithm with Bayesian model and mean template for image segmentation,Image segmentation by dirichlet process mixture model with generalised mean,New interface for musical instruments using lip reading,Context-based prediction filtering of impulse noise images,Image segmentation using a hierarchical student's-t mixture model,Driving behaviour-based event data recorder,Trajectory-based anomalous behaviour detection for intelligent traffic surveillance,Spectrum sensing and sharing for cognitive radars,Study on the consistency analysis between the prosody and the spectrum for Mandarin speech,Comparative study of automatic speech recognition techniques,Voicing detection based on adaptive aperiodicity thresholding for speech enhancement in non-stationary noise,Modified student's t-hidden Markov model for pattern recognition and classification,Hidden Markov model-based speech enhancement using multivariate Laplace and Gaussian distributions,Polynomial segment model for radar target recognition using Gibbs sampling approach,Comprehensive study of tumour single nucleotide polymorphism array data reveals significant driver aberrations and disrupted signalling pathways in human hepatocellular cancer,Maximum Likelihood Diagnosis in Partially Observable Finite State Machines,An approach to cardiac arrhythmia analysis using hidden Markov models
Image quality assessment: from error visibility to structural similarity,"Zhou Wang, A. C. Bovik, H. R. Sheikh, E. P. Simoncelli, ",2004,8442
"Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images","Stuart Geman, Donald Geman, ",1984,7900,Automatic object segmentation of unstructured scenes using colour and depth maps,Bhattacharyya distance-based irregular pyramid method for image segmentation,Vertebral body segmentation using a probabilistic and universal shape model,A comparison of deep multilayer networks and Markov random field matching models for face recognition in the wild,Integrating wavelet transformation with Markov random field analysis for the depth estimation of light-field images,Image segmentation by a new weighted student's t-mixture model,Image segmentation by dirichlet process mixture model with generalised mean,Texture and edge preserving multiframe super-resolution,Synthetic aperture radar image segmentation using fuzzy label field-based triplet Markov fields model,Robust moving object detection using compressed sensing,Insights into prior learning for despeckling SAR images,A neural network architecture for preattentive vision,Entropy reduction and decorrelation in visual coding by oriented neural receptive fields,Multiple current dipole estimation using simulated annealing,A Bayesian approach to introducing anatomo-functional priors in the EEG/MEG inverse problem,Global optimization in the localization of neuromagnetic sources,Combined MEG and EEG source imaging by minimization of mutual information,Three-dimensional blind deconvolution of SPECT images,Bayesian analysis of blood glucose time series from diabetes home monitoring,A multiresolution framework to MEG/EEG source imaging,Bayesian approach to segmentation of statistical parametric maps,A sensor array processing approach to object region detection,Digital systems for artificial neural networks,On the RLSA antenna optimum design for DBS reception,Cooperative vision integration through data-parallel neural computations,Programmable BIST space compactors,A theoretical analysis of Monte Carlo algorithms for the simulation of Gibbs random field images,Recursive structure of noncausal Gauss-Markov random fields,A generalized wavelet transform for Fourier analysis: the multiresolution Fourier transform and its application to image and audio signal analysis,Vector quantization by deterministic annealing
A survey on sensor networks,"I. F. Akyildiz, Weilian Su, Y. Sankarasubramaniam, E. Cayirci, ",2002,6644,Improved solution for node location multilateration algorithms in wireless sensor networks,Expectation-maximisation-based localisation using anchors with uncertainties in wireless sensor networks,Information weighted consensus-based distributed particle filter for large-scale sparse wireless sensor networks,Message Passing localisation algorithm combining BP with VMP for mobile wireless sensor networks,Precoder design for decentralised estimation over MIMO-WSN based on stochastic models,Flocking motion of multi-agent system by dynamic pinning control,Distributed estimation and control of mobile sensor networks based only on position measurements,Energy-efficient network design via modelling: optimal designing point for energy reliability coverage and end-to-end delay,Improved clustering algorithm based on energy consumption in wireless sensor networks,Constrained robust submodular sensor selection with application to multistatic sonar arrays,Mobile-agent-based distributed variational Bayesian algorithm for density estimation in sensor networks,Distributed consensus-based Kalman filtering in sensor networks with quantised communications and random sensor failures,Robust spatial multicasting for randomly distributed sensors,Non-repeatedly marking traceback model for wireless sensor networks,Location aware sensor routing protocol for mobile wireless sensor networks,Impact of cooperative space–time/frequency diversity in OFDM-based wireless sensor systems over mobile multipath channels,Load-balanced energy efficient clustering protocol for wireless sensor networks,Matrix Computational Framework for Discrete Event Control of Wireless Sensor Networks with Some Mobile Agents,Plume Source Position Estimation Using Sensor Networks,Channel distribution fairness in multi-channel wireless ad-hoc networks using a channel distribution index,Data replication in collaborative sensor network systems,Key establishment with source coding and reconciliation for wireless sensor networks,Energy efficiency of a chain-based scheme with Intra-Grid in wireless sensor networks,Prediction Strategies for Self-Adaptive Behavior in Distributed Systems,Simple Tree Based Routing for Data Collection Networks,Applying Data Mining Techniques to Intrusion Detection in Wireless Sensor Networks,Data aggregation using spatial and temporal data correlation,A review on fuzzy logic based clustering algorithms for wireless sensor networks,Decentralized estimation and control of graph connectivity in mobile sensor networks,Fault tolerant event localization in sensor networks using binary data
Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information,"E. J. Candes, J. Romberg, T. Tao, ",2006,6454,Regularised reweighted BPDN for compressed video sensing,Compressive sensing of images based on discrete periodic radon transform,Fast sensing matrix construction method oriented towards frequency-sparse signal,Frequency-based image deblurring with periodic point spread function,Weighted overlapped recovery for blocking artefacts reduction in block-based compressive sensing of images,Sparse super-resolution imaging for airborne single channel forward-looking radar in expanded beam space via l<sub>p</sub> regularisation,Exploiting random convolution and random subsampling for image encryption and compression,Gradient-based signal reconstruction algorithm in Hermite transform domain,9-bit time–digital-converter-assisted compressive-sensing analogue–digital-converter with 4 GS/s equivalent speed,Exact support recovery via orthogonal matching pursuit from noisy measurements,VQ-based compressive sensing with high compression quality,Compressive sampling for time critical microwave imaging applications,Towards sparse characterisation of on-body ultra-wideband wireless channels,Noise-aware dictionary-learning-based sparse representation framework for detection and removal of single and combined noises from ECG signal,Sparse block circulant matrices for compressed sensing,Difference sets-based compressive sensing as denoising method for narrow-band power line communications,Impact of channel models on compressed sensing recovery algorithms-based ultra-wideband channel estimation,Reconstruction method for pulse position modulationultra wideband communication signal based on compressed sensing,Despread-ahead cyclic-prefix code division multiple access receiver with compressive sensing channel impulse response estimation,Stable adaptive sparse filtering algorithms for estimating multiple-input–multiple-output channels,Adaptive multi-task compressive sensing for localisation in wireless local area networks,Sparsity-aware channel order-blind pilot placement with channel estimation in orthogonal frequency division multiplexing systems,Sparse K-best detector for generalised space shift keying in large-scale multiple-input–multiple-output systems,Low-complexity large-scale multiple-input multiple-output channel estimation using affine combination of sparse least mean square filters,Frequency-domain wideband compressive spectrum sensing,Restricted isometry constant improvement based on a singular value decomposition-weighted measurement matrix for compressed sensing,Regularised estimation for ARMAX process with measurements subject to outliers,Kernel sparse tracking with compressive sensing,Content-based image retrieval system via sparse representation,Method for detecting text information leakage in electromagnetic radiation from a computer display
A new look at the statistical model identification,"H. Akaike, ",1974,18090,Fault diagnosis based on parameter estimation in closed-loop systems,Continuous-time linear time-varying system identification with a frequency-domain kernel-based estimator,Improving short-term traffic forecasts: to combine models or not to combine?,Approach for modelling trust in cluster-based wireless ad hoc networks,Optimal frequency increment selection in frequency diverse multiple-input–multiple-output radar,Super-resolution 3D imaging in MIMO radar using spectrum estimation theory,Measurement and modelling of the dynamic radar cross-section of an unmanned aerial vehicle,Short-term forecasting of ionospheric total electron content over a low-latitude global navigation satellite system station,Change detection in a distillation column using non-linear auto-regressive moving average with exogenous input model and Hellinger distance,Instantaneous fundamental frequency estimation of non-stationary periodic signals using non-linear recursive filters,Estimating the number of sources in white Gaussian noise: simple eigenvalues based approaches,Gene regulatory network discovery using pairwise granger causality,Identifying latent dynamic components in biological systems,A quantitative and qualitative description of electromyographic linear envelopes for synergy analysis,Investigation on parametric analysis of dynamic EMG signals by a muscle-structured simulation model,Goodness-of-fit and local identifiability of a receptor-binding radio-pharmacokinetic system,Latency of the pupillary response,Electrical analogs for monitoring vascular properties in artificial heart studies,Forward and inverse problems of electrocardiography: modeling and recovery of epicardial potentials in humans,Bias and variability of diagnostic spectral parameters extracted from closing sounds produced by bioprosthetic valves implanted in the mitral position,Distribution of aortic mechanical prosthetic valve closure sound model parameters on the surface of the chest,A parametric modeling of membrane current fluctuations with its application to the estimation of the kinetic properties of single ionic channels,Autoregressive spectral estimation of fetal breathing movement,Predicting patterns of epicardial potentials during ventricular fibrillation,An efficient approach to ARMA modeling of biological systems with multiple inputs and delays,A stochastic deconvolution method to reconstruct insulin secretion rate after a glucose stimulus,Dominant frequency analysis of EEG reveals brain's response during injury and recovery,Analysis of the posture control system under fixed and sway-referenced support conditions,A new method for myocardial activation imaging,Analysis of abnormal signals within the QRS complex of the high-resolution electrocardiogram
