PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Yang, Hyunjin; Massoudi, Mehrdad								Conduction and convection heat transfer in a dense granular suspension								APPLIED MATHEMATICS AND COMPUTATION				332				351	362		10.1016/j.amc.2018.03.056					SEP 1 2018	2018										0	0	0	0	0	0			0096-3003	1873-5649		WOS:000432739500029		
J	Thirumalaisamy, Ramakrishnan; Natarajan, Ganesh; Dalal, Amaresh								Towards an improved conservative approach for simulating electrohydrodynamic two-phase flows using volume-of-fluid								JOURNAL OF COMPUTATIONAL PHYSICS				367				391	398		10.1016/j.jcp.2018.04.024					AUG 15 2018	2018										0	0	0	0	0	0			0021-9991	1090-2716		WOS:000432926800019		
J	Formalev, V. F.; Kolesnik, S. A.								Temperature-dependent anisotropic bodies thermal conductivity tensor components identification method								INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER				123				994	998		10.1016/j.ijheatmasstransfer.2018.03.014					AUG 2018	2018										0	0	0	0	0	0			0017-9310	1879-2189		WOS:000434887000083		
J	Kang, Hyunsuk; Lee, Ki-Ahm								Harnack inequality and pinching estimates for anisotropic curvature flow of hypersurfaces								JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS				464	1			32	57		10.1016/j.jmaa.2018.03.062					AUG 1 2018	2018										0	0	0	0	0	0			0022-247X	1096-0813		WOS:000431934500002		
J	Masutani, Evan M.; Contijoch, Francisco; Kyubwa, Espoir; Cheng, Joseph; Alley, Marcus T.; Vasanawala, Shreyas; Hsiao, Albert					Cheng, Joseph/0000-0002-6559-0473; Hsiao, Albert/0000-0002-9412-1369			Volumetric segmentation-free method for rapid visualization of vascular wall shear stress using 4D flow MRI								MAGNETIC RESONANCE IN MEDICINE				80	2			748	755		10.1002/mrm.27159					AUG 2018	2018										0	0	0	0	0	0			0740-3194	1522-2594		WOS:000430469300033	29516632	
J	Chacko, Rahul N.; Mari, Romain; Fielding, Suzanne M.; Cates, Michael E.								Shear reversal in dense suspensions: the challenge to fabric evolution models from simulation data								JOURNAL OF FLUID MECHANICS				847				700	734		10.1017/jfm.2018.279					JUL 25 2018	2018										0	0	0	0	0	0			0022-1120	1469-7645		WOS:000434255400028		
J	Lai, Jiawei; Wacks, Daniel H.; Chakraborty, Nilanjan								Flow topology distribution in head-on quenching of turbulent premixed flame: A Direct Numerical Simulation analysis								FUEL				224				186	209		10.1016/j.fuel.2018.03.021					JUL 15 2018	2018										0	0	0	0	0	0			0016-2361	1873-7153		WOS:000432920900019		
J	Li, Yi								Long time existence and bounded scalar curvature in the Ricci-harmonic flow								JOURNAL OF DIFFERENTIAL EQUATIONS				265	1			69	97		10.1016/j.jde.2018.02.028					JUL 5 2018	2018										0	0	0	0	0	0			0022-0396	1090-2732		WOS:000430281500003		
J	Surana, K. S.; Long, S. W.; Reddy, J. N.								Necessity of law of balance/equilibrium of moment of moments in non-classical continuum theories for fluent continua								ACTA MECHANICA				229	7			2801	2833		10.1007/s00707-018-2143-1					JUL 2018	2018										0	0	0	0	0	0			0001-5970	1619-6937		WOS:000435774800006		
J	Ricardo, Ana M.; Grigoriadis, Dimokratis G. E.; Ferreira, Rui M. L.								Numerical simulations of turbulent flows within an infinite array of randomly placed cylinders								JOURNAL OF FLUIDS AND STRUCTURES				80				245	261		10.1016/j.jfluidstructs.2018.04.004					JUL 2018	2018										0	0	0	0	0	0			0889-9746			WOS:000435046100014		
J	Dopazo, Cesar; Martin, Jesus; Cifuentes, Luis; Hierro, Juan					Cifuentes, Luis/0000-0001-9077-2597			Strain, Rotation and Curvature of Non-material Propagating Iso-scalar Surfaces in Homogeneous Turbulence								FLOW TURBULENCE AND COMBUSTION				101	1			1	32		10.1007/s10494-017-9888-9					JUL 2018	2018										0	0	0	0	0	0			1386-6184	1573-1987		WOS:000434708500001		
J	Klus, Stefan; Gelss, Patrick; Peitz, Sebastian; Schuette, Christof								Tensor-based dynamic mode decomposition								NONLINEARITY				31	7			3359	3380		10.1088/1361-6544/aabc8f					JUL 2018	2018										0	0	0	0	0	0			0951-7715	1361-6544		WOS:000434282900004		
J	Jansson, J.; Gustafsson, T.; Salomonsson, K.; Olofsson, J.; Johansson, J.; Appelsved, P.; Palm, M.								An anisotropic non-linear material model for glass fibre reinforced plastics								COMPOSITE STRUCTURES				195				93	98		10.1016/j.compstruct.2018.04.044					JUL 1 2018	2018										0	0	0	0	0	0			0263-8223	1879-1085		WOS:000432491400009		
J	Clayton, J. D.				Clayton, John/C-7760-2009				Generalized pseudo-Finsler geometry applied to the nonlinear mechanics of torsion of crystalline solids								INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS				15	7					1850113	10.1142/S021988781850113X					JUL 2018	2018										0	0	0	0	0	0			0219-8878	1793-6977		WOS:000433119300008		
J	Li, Wanai; Pan, Jianhua; Ren, Yu-Xin								The discontinuous Galerkin spectral element methods for compressible flows on two-dimensional mixed grids								JOURNAL OF COMPUTATIONAL PHYSICS				364				314	346		10.1016/j.jcp.2018.03.001					JUL 1 2018	2018										0	0	0	0	0	0			0021-9991	1090-2716		WOS:000432481000015		
J	Berdichevsky, V. L.								Entropy and temperature of microstructure in crystal plasticity								INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE				128				24	30		10.1016/j.ijengsci.2018.03.001					JUL 2018	2018										0	0	0	0	0	0			0020-7225	1879-2197		WOS:000432646300003		
J	Abels, Helmut; Liu, Yuning								Sharp Interface Limit for a Stokes/Allen-Cahn System								ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS				229	1			417	502		10.1007/s00205-018-1220-x					JUL 2018	2018										0	0	0	0	0	0			0003-9527	1432-0673		WOS:000431644400009		
J	Zhang, Zhu-Hong								FOUR-DIMENSIONAL GRADIENT SHRINKING SOLITONS WITH PINCHED CURVATURE								PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY				146	7			3049	3056		10.1090/proc/13859					JUL 2018	2018										0	0	0	0	0	0			0002-9939	1088-6826		WOS:000430427700027		
J	Nishiguchi, Koji; Okazawa, Shigenobu; Tsubokura, Makoto								Multimaterial Eulerian finite element formulation for pressure-sensitive adhesives								INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING				114	13			1368	1388		10.1002/nme.5790					JUN 29 2018	2018										0	0	0	0	0	0			0029-5981	1097-0207		WOS:000434116100002		
J	Kumar, Rajiv; Gu, Wei-Min								The 2D Disk Structure with Advective Transonic Inflow-Outflow Solutions around Black Holes								ASTROPHYSICAL JOURNAL				860	2					114	10.3847/1538-4357/aac328					JUN 20 2018	2018										0	0	0	0	0	0			0004-637X	1538-4357		WOS:000435654900004		
J	de Laborderie, J.; Duchaine, F.; Gicquel, L.; Vermorel, O.; Wang, G.; Moreau, S.					Moreau, Stephane/0000-0002-9306-8375			Numerical analysis of a high-order unstructured overset grid method for compressible LES of turbomachinery								JOURNAL OF COMPUTATIONAL PHYSICS				363				371	398		10.1016/j.jcp.2018.02.045					JUN 15 2018	2018										0	0	0	0	0	0			0021-9991	1090-2716		WOS:000429576400021		
J	Choo, Jinhyun; Sun, WaiChing				Sun, WaiChing/A-2638-2009	Sun, WaiChing/0000-0002-3078-5086; Choo, Jinhyun/0000-0002-5861-3796			Cracking and damage from crystallization in pores: Coupled chemo-hydro-mechanics and phase-field modeling								COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING				335				347	379		10.1016/j.cma.2018.01.044					JUN 15 2018	2018										0	0	0	0	0	0			0045-7825	1879-2138		WOS:000430071900014		
J	Kim, Jihoon								A new numerically stable sequential algorithm for coupled finite-strain elastoplastic geomechanics and flow								COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING				335				538	562		10.1016/j.cma.2018.02.024					JUN 15 2018	2018										0	0	0	0	0	0			0045-7825	1879-2138		WOS:000430071900021		
