A Threshold Selection Method from Gray-Level Histograms,"Nobuyuki Otsu, ",1979,8999,Perceptual sharpness metric based on human visual system,Approach for transient interference detection based on straight line extraction for high-frequency sky-wave radar,Automated stationary human target detector for 3D through-wall radar imagery,Offline writer verification using pen pressure information from infrared image,Cosine similarity for analysis and verification of static signatures,Off-line verification technique for Hindi signatures,Personal identification based on multiple keypoint sets of dorsal hand vein images,Off-line signature verification: upper and lower envelope shape analysis using chord moments,Global variational method for fingerprint segmentation by three-part decomposition,Long range correlation of preceded pixels relations and application to off-line signature verification,Thermal image processing for real-time non-contact respiration rate monitoring,Set of bilateral and radial symmetry shape descriptor based on contour information,Real-time embedded implementation of robust speed-limit sign recognition using a novel centroid-to-contour description method,Using mel-frequency audio features from footstep sound and spatial segmentation techniques to improve frame-based moving object detection,Retinal vessel segmentation by improved matched filtering: evaluation on a new high-resolution fundus image database,Surface fitting for individual image thresholding and beyond,Segmentation and localisation of whole slide images using unsupervised learning,Stabilising illumination variations in motion detection for surveillance applications,Human perception-based image segmentation using optimising of colour quantisation,Segmentation with saliency map using colour and depth images,Automated segmentation of the epidermis area in skin whole slide histopathological images,Signal-walking-driven active contour model,Capillary extraction by detecting polarity in circular profiles,Handwritten numeral recognition using non-redundant Stockwell transform and bio-inspired optimal zoning,Classification of malignant melanoma and benign skin lesions: implementation of automatic ABCD rule,Adaptive scene-text binarisation on images captured by smartphones,Minimisation of local within-class variance for image segmentation,Image enhancement based on intuitionistic fuzzy sets theory,Segmentation of the left ventricle in short-axis sequences by combining deformation flow and optical flow,Text segmentation using superpixel clustering
A tutorial on particle filters for online nonlinear/non-Gaussian Bayesian tracking,"M. S. Arulampalam, S. Maskell, N. Gordon, T. Clapp, ",2002,5062,Adaptive iterated particle filter,Least-squares particle filter,Particle filter for nonlinear systems with multiple step randomly delayed measurements,Towards multispectral multi-sensor indoor positioning and target identification,Theoretical and experimental analyses on location/channel parameters estimation for implantable medical devices,Reduced-complexity tracking scheme based on adaptive weighting for location estimation,Range-based localisation and tracking in non-line-of sight wireless channels with gaussian scatterer distribution model,Information weighted consensus-based distributed particle filter for large-scale sparse wireless sensor networks,Joint frequency domain equalisation and phase noise estimation for single-carrier modulations in doubly-selective channels,Hybrid global navigation satellite systems differential navigation satellite systems and time of arrival cooperative positioning based on iterative finite difference particle filter,Bayesian blind turbo equaliser with reduced complexity based on channel estimate monitoring,Distributed estimation using online semi-supervised particle filter for mobile sensor networks,Adaptive earth movers distance-based Bayesian multi-target tracking,Dezert–Smarandache theory for multiple targets tracking in natural environment,Object tracking using firefly algorithm,Multiple instance learning tracking method with local sparse representation,Particle filter framework for salient object detection in videos,Face tracking based on differential harmony search,Particle filter with spline resampling and global transition model,Spider monkey optimisation assisted particle filter for robust object tracking,Social-spider optimised particle filtering for tracking of targets with discontinuous measurement data,Derivative-free square-root cubature Kalman filter for non-linear brushless DC motors,Particle filter-based dual estimation for synchronous generators,Multimodal non-rigid registration methods based on local variability measures in computed tomography and magnetic resonance brain images,Integration of colour and uniform interlaced derivative patterns for object tracking,Robust detection system of illegal lane changes based on tracking of feature points,Circular particle fusion filter applied to map matching,Improved bearings-only target tracking with iterated Gaussian mixture measurements,PIAPF for manoeuvring target tracking in the presence of multiplicative noise,Robustness versus accuracy: multipath effects on land mobile satellite navigation
A model of saliency-based visual attention for rapid scene analysis,"L. Itti, C. Koch, E. Niebur, ",1998,4146
A new optimizer using particle swarm theory,"R. Eberhart, J. Kennedy, ",1995,3871,Robust Optimization in HTS Cable Based on DEPSO and Design for Six Sigma,Design of an alpha-beta filter by combining fuzzy logic with evolutionary methods,Optimal trajectory generation of launch vehicle using PSO algorithm,Optimization of PID controller with first order noise filter,Multiple UAV path planning using anytime algorithms,A new technique to optimize single neuron models using experimental spike train data,Particle Swarm Optimization of Matsuoka's oscillator parameters in human-like control of rhythmic movements,A wind farm active power dispatch strategy for fatigue load reduction,Clustering Hierarchy Protocol in Wireless Sensor Networks Using an Improved PSO Algorithm,Capacity Prognostics of Lithium-Ion Batteries using EMD Denoising and Multiple Kernel RVM,Self-Adaptive Gravitational Search Algorithm With a Modified Chaotic Local Search,Self-Organizing Hierarchical Particle Swarm Optimization of Correlation Filters for Object Recognition,Influence Maximization-Cost Minimization in Social Networks Based on a Multiobjective Discrete Particle Swarm Optimization Algorithm,An Adaptive SVR for High-Frequency Stock Price Forecasting,Optimal Design of PID-Based Low-Pass Filter for Gas Turbine Using Intelligent Method,Current/voltage ripple minimization of DC/DC interface system for renewable energies,Continuous emotion recognition using a particle swarm optimized NARX neural network,Acoustic model topology optimization using evolutionary methods,A particle swarm optimization-least mean squares algorithm for adaptive filtering,Comparison of Cat Swarm Optimization with particle swarm optimization for IIR system identification,Conjointly well localized modulated lapped orthogonal transforms,A two stage learning technique for dual learning in the pursuit-evasion differential game,Considering the series compensation in optimal coordination of directional overcurrent protections using PSO technique,A Methodology for Optimum Sensor Localization/Selection in Fault Diagnosis,Concept development of a multi-vehicle system for an operationally responsive mission,Adaptive Formation Control and Bio-inspired Optimization of a Cluster-based Satellite Wireless Sensor Network,Self-Scaling Evolution of analog computation circuits with digital accuracy refinement,Optimizing Fuzzy K-means for network anomaly detection using PSO,GPSO: An improved search algorithm for resource allocation in cloud databases,Improved Particle Swarm Optimization Algorithm Based on Social Psychology
Eigenfaces for Recognition,"Matthew Turk, Alex Pentland, ",1991,3868,Gabor feature based classification using the enhanced fisher linear discriminant model for face recognition,Localization of human faces fusing color segmentation and depth from stereo,Shape matching and object recognition using shape contexts,Towards robust face recognition from video,Face recognition using kernel principal component analysis,Segmentation for robust tracking in the presence of severe occlusion,A pure learning approach to background-invariant object recognition using pedagogical support vector learning,Constructing facial identity surfaces in a nonlinear discriminating space,Anti-sequences: event detection by frame stacking,On representing edge structure for model matching,A weighted non-negative matrix factorization for local representations,Tracking the optic nerve head in OCT video using dual eigenspaces and an adaptive vascular distribution model,Decomposed eigenface for face recognition under various lighting conditions,Illumination invariant face recognition using thermal infrared imagery,Object recognition using boosted discriminants,A two-step approach to hallucinating faces: global parametric model and local nonparametric model,Linear image coding for regression and classification using the tensor-rank principle,A selective attention-based method for visual pattern recognition with application to handwritten digit recognition and face recognition,Monte Carlo simulation techniques for probabilistic tracking,Face recognition method based on virtual sample,Detecting faces in images: a survey,Eigendecomposition-based pose detection in the presence of occlusion,Detection of faces under shadows and lighting variations,Robust matching by dynamic space warping for accurate face recognition,3D face pose discrimination using wavelets,Joint audio-video object tracking,Real time tracking of 3D objects with occultations,A proposal for a face plane,Capturing image semantics with low-level descriptors,Automatic location of optic disk in retinal images
Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,"Gerard J. Foschini, ",1996,3120,Quantized frame expansions in a wireless environment,Linear receivers for multiple-antenna communication channels: an asymptotic analysis,A simple and asymptotically tight upper bound on the symbol error probability of adaptive antennas with optimum combining,Orthogonal space-time coding for CPM system with fast decoding,Optimal STBC over PSK signal sets from cyclotomic field extensions,Coding for multiple antenna transmission in fast fading and in OFDM,Channel diagonalization through orthogonal space-time coding,Performance comparison of layered space time codes,Trellis coding for diagonally layered space-time systems,A simplified bit allocation for V-BLAST based OFDM MIMO systems in frequency selective fading channels,Layered space-time equalization of multiple-input multiple-output frequency selective channels,Training-based channel estimation for continuous flat fading BLAST,Systematic design of space-time codes employing multiple trellis coded modulation,Outdoor BLAST measurement system at 2.44 GHz: calibration and initial results,Capacity of MIMO systems based on measured wireless channels,Optimal designs for space-time linear precoders and decoders,Keyholes correlations and capacities of multielement transmit and receive antennas,Data throughputs using multiple-input multiple-output (MIMO) techniques in a noise-limited cellular environment,Detection techniques for V-BLAST in frequency selective fading channels,An investigation of carrier recovery techniques for space-time coded MIMO wireless systems,Trellis-coded differential unitary space-time modulation in slow flat fading channels with interleaver,Iterative bit &amp; power allocation for V-BLAST based OFDM MIMO system in frequency selective fading channel,Estimation of continuous flat fading MIMO channels,Improved quasi-orthogonal codes,Statistical characterization of multiple-input multiple-output (MIMO) channel capacity,A novel spread space-spectrum multiple access scheme for the forward link,Structured unitary space-time autocoding constellations,Multiuser capacity in block fading with no channel state information,Finite-length MIMO equalization using canonical correlation analysis,Evaluation of capacity of indoor wireless MIMO channel using ray tracing
RADAR: an in-building RF-based user location and tracking system,"P. Bahl, V. N. Padmanabhan, ",2000,2913
Kernel-based object tracking,"D. Comaniciu, V. Ramesh, P. Meer, ",2003,2512
Channel coding with multilevel/phase signals,"G. Ungerboeck, ",1982,2457,Cooperative communication between cognitive and primary users,Set partitioning of Gaussian integer constellations and its application to two-dimensional interleaving,Method of blind reconstruction for trellis-coded modulation codes,Recursive method for generating column weight 3 low-density parity-check codes based on three-partite graphs,Complexity reduced turbo-bit-interleaved coded modulation with iterative decoding,Evaluation of channel coding modulation and interference of digital ATV terrestrial transmission systems,Transmission of all-digital advanced television: state of the art and future directions,Prediction/cancellation techniques for fading broadcasting channels. I. PSK signals,Defining performance limits for turbo-code assisted synchronization in DVB-S systems,Trellis-coded vector quantization,Trellis shaping,Trellis precoding: combined coding precoding and shaping for intersymbol interference channels,Entropy-constrained trellis-coded quantization,Geometrically uniform codes,Optimization of signal sets for partial-response channels. I. Numerical techniques,Shaping using variable-size regions,Upper bounds for small trellis codes,On the Hamming distance properties of group codes,Lattice and trellis quantization with lattice- and trellis-bounded codebooks-High-rate theory for memoryless sources,Decoding spherical codes for the Gaussian channel,A lower bound on the minimum Euclidean distance of trellis-coded modulation schemes,Spectrum distance and receiver complexity of encoded continuous phase modulation,Trellis coding with multidimensional QAM signal sets,Block-coded M-PSK modulation over GF(M),Coding for the discretely phase ambiguous additive white Gaussian channel,The cutoff rate of time correlated fading channels,Finite-state codes,Coset codes. I. Introduction and geometrical classification,Nearest neighbor algorithm for spherical codes from the Leech lattice,Asymptotic error performance of modulation codes in the presence of severe intersymbol interference
Unscented filtering and nonlinear estimation,"S. J. Julier, J. K. Uhlmann, ",2004,2406,Estimation of angular velocity and rate-gyro noise for sensor health monitoring,Nonlinear estimation by Hermite polynomial-based uncorrelated conversion within LMMSE framework,A superimposed intensity multi-sensor GM-PHD filter for passive multi-target tracking,An augmented cubature Kalman filter for nonlinear dynamical systems with random parameters,Information geometric approach for nonlinear filtering,Recursive nonlinear filtering with event-triggered data transmission and random time delays,A distributed UKF method based on improved joint probability data association,The variational Bayesian-variable structure filter for uncertain system with model imprecision and unknown measurement noise,Fault diagnosis for induction motor with rotor broken bar fault based on multiple-model estimation,Autonomous state space models for recursive signal estimation beyond least squares,An approximate minimum variance filter for nonlinear systems with randomly delayed observations,Speech enhancement using modulation-domain Kalman filtering with active speech level normalized log-spectrum global priors,From competitive to cooperative filter design,Performance evaluation of nonlinearity and non-Gaussianity measures in state estimation,Performance ranking of multiple nonlinear filters using ranking vector and voting fusion,Comparison of measures of nonlinearity for bearing-only and GMTI filtering,A numerically stable formulation of the square root unscented Kalman filter for state estimation,Student-t process quadratures for filtering of non-linear systems with heavy-tailed noise,Mobile localization via high-degree cubature Kalman filter with sensor position uncertainties,Kernel based filter for nonlinear estimation,Gaussian sum filtering using uncorrelated conversion for nonlinear estimation,Enhancements to bearing-only filtering,Nonlinear toroidal filtering based on bivariate wrapped normal distributions,A sensor scheduling algorithm with radiation control based on POMDP,An innovative nonlinear filter for radar kinematic estimation of maneuvering targets in 2D,On variational Bayes for identification of nonlinear state-space models with linearly dependent unknown parameters,Generalized Recursive Track-Before-Detect With Proposal Partitioning for Tracking Varying Number of Multiple Targets in Low SNR,Sequential Estimation of Hidden ARMA Processes by Particle Filtering—Part I,Improved Cubature Kalman Filter for GNSS/INS Based on Transformation of Posterior Sigma-Points Error,Multiple Conversions of Measurements for Nonlinear Estimation
